Question,Answer,Percentage of Electorate,Clinton,Sanders
Gender,,,,
,Men,43,60,37
,Women,57,76,23
Age,,,,
,18-29,17,42,58
,30-44,19,53,42
,45-64,41,80,19
,65 and older,24,81,16
Age,,,,
,18-24,10,N/A,N/A
,25-29,7,N/A,N/A
,30-39,13,57,41
,40-49,15,61,32
,50-64,32,82,18
,65 and older,24,81,16
Age,,,,
,18-44,35,48,49
,45 and older,65,80,18
Race,,,,
,White,67,62,35
,Black,27,91,9
,Latino,3,N/A,N/A
,Asian,0,N/A,N/A
,Other race,3,N/A,N/A
Race,,,,
,White,67,62,35
,Non-white,33,83,17
Education,,,,
,High school or less,30,72,25
,Some college,25,64,36
,College graduate,23,63,34
,Postgraduate,21,76,22
Are you a college graduate?,,,,
,Yes,44,70,28
,No,56,68,30
Education and race,,,,
,White college graduates,33,66,31
,Whites no degree,34,59,38
,Non-whites college grads,11,81,19
,Non-whites no degree,22,83,16
Income,,,,
,Less than $30K,30,67,31
,$30K-50K,21,71,26
,$50K-100K,28,69,29
,$100K-200K,16,67,33
,$200K or more,5,N/A,N/A
Income,,,,
,Under $50K,51,69,29
,$50K or More,49,69,29
Income,,,,
,Under $100K,79,69,29
,$100K or more,21,70,29
Income,,,,
,Under $50K,51,69,29
,$50K-$100K,28,69,29
,$100K or more,21,70,29
Ever voted in a Democratic presidential primary?,,,,
,Voted before,82,78,20
,First-time voter,16,N/A,N/A
Party ID,,,,
,Democrats,72,80,19
,Republicans,4,N/A,N/A
,Independents,24,41,55
Ideology,,,,
,Very liberal,22,64,36
,Somewhat liberal,28,67,33
,Moderate,34,74,21
,Conservative,16,N/A,N/A
Ideology,,,,
,Liberal,50,66,34
,Moderate,34,74,21
,Conservative,16,N/A,N/A
Ideology ,,,,
,Liberal,50,66,34
,Moderate/Conservative,50,72,24
Marital status,,,,
,Married,55,72,24
,Unmarried,45,64,35
Marital status and gender,,,,
,Married men,25,66,29
,Married women,30,78,20
,Unmarried men,21,N/A,N/A
,Unmarried women,24,76,23
Attend religious services:,,,,
,More than once a week,23,75,18
,Once a week,25,76,24
,A few times a month,15,N/A,N/A
,A few times a year,16,N/A,N/A
,Never,20,48,52
Attend religious services:,,,,
,Weekly,48,75,21
,Occasionally,31,74,26
,Never,20,48,52
Most important issue,,,,
,Health care,23,80,20
,Economy/Jobs,38,68,29
,Terrorism,13,69,26
,Income inequality,23,57,43
Top candidate quality,,,,
,Electability,12,88,10
,Cares,28,56,43
,Honest,23,42,53
,Experience,35,90,9
Who shares your values?,,,,
,Only Clinton,33,99,1
,Only Sanders,18,3,94
,Both,39,81,19
