question,pollname,state,region,subregion,answer,percent,clinton,sanders
Gender,SEX,CT,Northeast,New England,Men,39,43,55
Gender,SEX,CT,Northeast,New England,Women,61,57,41
Age,XAGE,CT,Northeast,New England,17-29,15,17,83
Age,XAGE,CT,Northeast,New England,30-44,22,45,54
Age,XAGE,CT,Northeast,New England,45-64,42,58,40
Age,XAGE,CT,Northeast,New England,65 and older,21,70,27
Age,XAGE65,CT,Northeast,New England,17-24,9,15,85
Age,XAGE65,CT,Northeast,New England,25-29,6,N/A,N/A
Age,XAGE65,CT,Northeast,New England,30-39,15,41,59
Age,XAGE65,CT,Northeast,New England,40-49,17,51,47
Age,XAGE65,CT,Northeast,New England,50-64,32,61,37
Age,XAGE65,CT,Northeast,New England,65 and older,21,70,27
Age,XAGE45,CT,Northeast,New England,17-44 year olds,37,34,66
Age,XAGE45,CT,Northeast,New England,45 and older,63,62,35
Race,RACE,CT,Northeast,New England,White,74,48,50
Race,RACE,CT,Northeast,New England,Black,15,69,30
Race,RACE,CT,Northeast,New England,Latino,8,N/A,N/A
Race,RACE,CT,Northeast,New England,Asian,1,N/A,N/A
Race,RACE,CT,Northeast,New England,Other race,2,N/A,N/A
Race,RACE2B,CT,Northeast,New England,White,74,48,50
Race,RACE2B,CT,Northeast,New England,Non-white,26,62,37
Education,EDUC12R,CT,Northeast,New England,High school or less,11,52,43
Education,EDUC12R,CT,Northeast,New England,Some college,26,45,54
Education,EDUC12R,CT,Northeast,New England,College graduate,26,45,54
Education,EDUC12R,CT,Northeast,New England,Postgraduate,37,61,38
Are you a college graduate?,EDUCCOLL,CT,Northeast,New England,Yes,62,54,44
Are you a college graduate?,EDUCCOLL,CT,Northeast,New England,No,38,47,51
Education and race,EDUCWHITE,CT,Northeast,New England,White college graduates,49,54,45
Education and race,EDUCWHITE,CT,Northeast,New England,Whites no degree,25,36,60
Education and race,EDUCWHITE,CT,Northeast,New England,Non-whites college grads,13,56,42
Education and race,EDUCWHITE,CT,Northeast,New England,Non-whites no degree,13,67,33
Income,INCOME16,CT,Northeast,New England,Less than $30K,13,47,51
Income,INCOME16,CT,Northeast,New England,$30K-50K,15,44,55
Income,INCOME16,CT,Northeast,New England,$50K-100K,29,43,56
Income,INCOME16,CT,Northeast,New England,$100K-200K,30,56,41
Income,INCOME16,CT,Northeast,New England,$200K or more,14,67,32
Income,INC50K,CT,Northeast,New England,Under $50K,28,45,53
Income,INC50K,CT,Northeast,New England,$50K or more,72,53,45
Income,INC100K,CT,Northeast,New England,Under $100K,56,44,54
Income,INC100K,CT,Northeast,New England,$100K or more,44,60,39
Income,INCOME3,CT,Northeast,New England,Under $50K,28,45,53
Income,INCOME3,CT,Northeast,New England,$50K-$100K,29,43,56
Income,INCOME3,CT,Northeast,New England,$100K or more,44,60,39
Party ID,PARTY,CT,Northeast,New England,Democrats,78,60,39
Party ID,PARTY,CT,Northeast,New England,Republicans,2,N/A,N/A
Party ID,PARTY,CT,Northeast,New England,Independents,20,23,74
Ideology,PHIL4,CT,Northeast,New England,Very liberal,30,50,49
Ideology,PHIL4,CT,Northeast,New England,Somewhat liberal,39,53,47
Ideology,PHIL4,CT,Northeast,New England,Moderate,25,53,43
Ideology,PHIL4,CT,Northeast,New England,Conservative,5,N/A,N/A
Ideology,PHIL3X,CT,Northeast,New England,Liberal,70,52,48
Ideology,PHIL3X,CT,Northeast,New England,Moderate,25,53,43
Ideology,PHIL3X,CT,Northeast,New England,Conservative,5,N/A,N/A
Ideology ,PHIL2D,CT,Northeast,New England,Liberal,70,52,48
