question,pollname,state,region,subregion,answer,percentage of electorate,clinton,sanders
Gender,SEX,GA,South,South Atlantic,Men,38,66,33
Gender,SEX,GA,South,South Atlantic,Women,62,76,23
Age,AGE,GA,South,South Atlantic,18-29,14,46,54
Age,AGE,GA,South,South Atlantic,30-44,22,65,35
Age,AGE,GA,South,South Atlantic,45-64,48,80,19
Age,AGE,GA,South,South Atlantic,65 and older,16,80,19
Age,AGE65,GA,South,South Atlantic,18-24,7,38,61
Age,AGE65,GA,South,South Atlantic,25-29,6,N/A,N/A
Age,AGE65,GA,South,South Atlantic,30-39,14,61,38
Age,AGE65,GA,South,South Atlantic,40-49,19,77,23
Age,AGE65,GA,South,South Atlantic,50-64,37,80,19
Age,AGE65,GA,South,South Atlantic,65 and older,16,80,19
Age,AGE45,GA,South,South Atlantic,18-44,36,58,42
Age,AGE45,GA,South,South Atlantic,45 and older,64,80,19
Race,RACE,GA,South,South Atlantic,White,38,58,41
Race,RACE,GA,South,South Atlantic,Black,51,85,14
Race,RACE,GA,South,South Atlantic,Latino,7,N/A,N/A
Race,RACE,GA,South,South Atlantic,Asian,1,N/A,N/A
Race,RACE,GA,South,South Atlantic,Other race,2,N/A,N/A
Race,RACE2B,GA,South,South Atlantic,White,38,58,41
Race,RACE2B,GA,South,South Atlantic,Non-white,62,81,19
Race by gender,SEXBYRACE,GA,South,South Atlantic,White men,16,48,51
Race by gender,SEXBYRACE,GA,South,South Atlantic,White women,22,65,34
Race by gender,SEXBYRACE,GA,South,South Atlantic,Black men,19,84,16
Race by gender,SEXBYRACE,GA,South,South Atlantic,Black women,33,86,14
Race by gender,SEXBYRACE,GA,South,South Atlantic,Latino men,2,N/A,N/A
Race by gender,SEXBYRACE,GA,South,South Atlantic,Latino women,5,N/A,N/A
Race by gender,SEXBYRACE,GA,South,South Atlantic,Others,3,N/A,N/A
Education,EDUC12R,GA,South,South Atlantic,High school or less,15,80,20
Education,EDUC12R,GA,South,South Atlantic,Some college,31,69,30
Education,EDUC12R,GA,South,South Atlantic,College graduate,33,71,28
Education,EDUC12R,GA,South,South Atlantic,Postgraduate,22,70,30
Are you a college graduate?,EDUCCOLL,GA,South,South Atlantic,Yes,54,71,29
Are you a college graduate?,EDUCCOLL,GA,South,South Atlantic,No,46,73,27
Education and race,EDUCWHITE,GA,South,South Atlantic,White college graduates,25,59,40
Education and race,EDUCWHITE,GA,South,South Atlantic,Whites no degree,13,55,44
Education and race,EDUCWHITE,GA,South,South Atlantic,Non-whites college grads,29,81,18
Education and race,EDUCWHITE,GA,South,South Atlantic,Non-whites no degree,33,80,20
Income,INCOME16,GA,South,South Atlantic,Less than $30K,21,73,26
Income,INCOME16,GA,South,South Atlantic,$30K-50K,22,67,32
Income,INCOME16,GA,South,South Atlantic,$50K-100K,31,69,30
Income,INCOME16,GA,South,South Atlantic,$100K-200K,21,76,24
Income,INCOME16,GA,South,South Atlantic,$200K or more,5,N/A,N/A
Income,INC50K,GA,South,South Atlantic,Under $50K,43,70,29
Income,INC50K,GA,South,South Atlantic,$50K or More,57,72,28
Income,INC100K,GA,South,South Atlantic,Under $100K,74,70,30
Income,INC100K,GA,South,South Atlantic,$100K or more,26,75,24
Income,INCOME3,GA,South,South Atlantic,Under $50K,43,70,29
Income,INCOME3,GA,South,South Atlantic,$50K-$100K,31,69,30
Income,INCOME3,GA,South,South Atlantic,$100K or more,26,75,24
Ever voted in a Democratic presidential primary?,PREVPRIDEM,GA,South,South Atlantic,Voted before,85,76,24
Ever voted in a Democratic presidential primary?,PREVPRIDEM,GA,South,South Atlantic,First-time voter,13,N/A,N/A
Party ID,PARTY,GA,South,South Atlantic,Democrats,76,77,22
Party ID,PARTY,GA,South,South Atlantic,Republicans,4,N/A,N/A
Party ID,PARTY,GA,South,South Atlantic,Independents,20,51,48
Ideology,PHIL4,GA,South,South Atlantic,Very liberal,23,65,35
Ideology,PHIL4,GA,South,South Atlantic,Somewhat liberal,33,68,32
Ideology,PHIL4,GA,South,South Atlantic,Moderate,36,79,21
Ideology,PHIL4,GA,South,South Atlantic,Conservative,9,73,26
Ideology,PHIL3X,GA,South,South Atlantic,Liberal,56,66,33
Ideology,PHIL3X,GA,South,South Atlantic,Moderate,36,79,21
Ideology,PHIL3X,GA,South,South Atlantic,Conservative,9,73,26
Ideology ,PHIL2D,GA,South,South Atlantic,Liberal,56,66,33
Ideology ,PHIL2D,GA,South,South Atlantic,Moderate/Conservative,44,78,22
Attend religious services:,ATTEND,GA,South,South Atlantic,More than once a week,20,83,16
Attend religious services:,ATTEND,GA,South,South Atlantic,Once a week,22,82,18
Attend religious services:,ATTEND,GA,South,South Atlantic,A few times a month,19,78,22
Attend religious services:,ATTEND,GA,South,South Atlantic,A few times a year,18,70,30
Attend religious services:,ATTEND,GA,South,South Atlantic,Never,19,47,53
Attend religious services:,ATTEND2,GA,South,South Atlantic,Weekly,43,82,17
Attend religious services:,ATTEND2,GA,South,South Atlantic,Occasionally,38,74,26
Attend religious services:,ATTEND2,GA,South,South Atlantic,Never,19,47,53
Most important issue,ISSDEM16,GA,South,South Atlantic,Health care,20,78,22
Most important issue,ISSDEM16,GA,South,South Atlantic,Economy/Jobs,40,75,25
Most important issue,ISSDEM16,GA,South,South Atlantic,Terrorism,10,75,22
Most important issue,ISSDEM16,GA,South,South Atlantic,Income inequality,26,59,40
Top candidate quality,QLT16DEMPRI,GA,South,South Atlantic,Electability,12,85,15
Top candidate quality,QLT16DEMPRI,GA,South,South Atlantic,Cares,28,59,40
Top candidate quality,QLT16DEMPRI,GA,South,South Atlantic,Honest,21,46,54
Top candidate quality,QLT16DEMPRI,GA,South,South Atlantic,Experience,37,91,8
Who shares your values?,VALUESDEM16,GA,South,South Atlantic,Only Clinton,27,99,1
Who shares your values?,VALUESDEM16,GA,South,South Atlantic,Only Sanders,14,11,88
Who shares your values?,VALUESDEM16,GA,South,South Atlantic,Both,55,74,26
Who shares your values?,VALUESDEM16,GA,South,South Atlantic,Neither,4,N/A,N/A
Does Clinton share your values?,VALUESCLIN,GA,South,South Atlantic,Yes,81,82,18
Does Clinton share your values?,VALUESCLIN,GA,South,South Atlantic,No,17,21,77
Does Sanders share your values?,VALUESSANDERS,GA,South,South Atlantic,Yes,68,61,38
Does Sanders share your values?,VALUESSANDERS,GA,South,South Atlantic,No,30,94,5
Who is honest and trustworthy?,HONESTDEM16,GA,South,South Atlantic,Only Clinton,24,99,1
Who is honest and trustworthy?,HONESTDEM16,GA,South,South Atlantic,Only Sanders,22,17,83
Who is honest and trustworthy?,HONESTDEM16,GA,South,South Atlantic,Both,43,83,17
Who is honest and trustworthy?,HONESTDEM16,GA,South,South Atlantic,Neither,9,N/A,N/A
Is Clinton honest and trustworthy?,HONESTDEM16CLIN,GA,South,South Atlantic,Yes,67,89,11
Is Clinton honest and trustworthy?,HONESTDEM16CLIN,GA,South,South Atlantic,No,31,33,65
Is Sanders honest and trustworthy?,HONESTDEM16SAND,GA,South,South Atlantic,Yes,65,61,39
Is Sanders honest and trustworthy?,HONESTDEM16SAND,GA,South,South Atlantic,No,33,91,7
Who do you trust in an international crisis?,INTCRISISDEM16,GA,South,South Atlantic,Only Clinton,50,97,3
Who do you trust in an international crisis?,INTCRISISDEM16,GA,South,South Atlantic,Only Sanders,9,N/A,N/A
Who do you trust in an international crisis?,INTCRISISDEM16,GA,South,South Atlantic,Both,37,56,43
Who do you trust in an international crisis?,INTCRISISDEM16,GA,South,South Atlantic,Neither,3,N/A,N/A
Trust Clinton in an international crisis?,INTCRISISDEMCLIN,GA,South,South Atlantic,Yes,87,79,20
Trust Clinton in an international crisis?,INTCRISISDEMCLIN,GA,South,South Atlantic,No,12,N/A,N/A
Trust Sanders in an international crisis?,INTCRISISDEMSANDERS,GA,South,South Atlantic,Yes,46,47,52
Trust Sanders in an international crisis?,INTCRISISDEMSANDERS,GA,South,South Atlantic,No,53,94,5
Who do you trust to handle race relations?,RACERELDEM16,GA,South,South Atlantic,Only Clinton,34,98,1
Who do you trust to handle race relations?,RACERELDEM16,GA,South,South Atlantic,Only Sanders,14,11,89
Who do you trust to handle race relations?,RACERELDEM16,GA,South,South Atlantic,Both,48,71,29
Who do you trust to handle race relations?,RACERELDEM16,GA,South,South Atlantic,Neither,3,N/A,N/A
Race relations in this country have:,RACEREL14,GA,South,South Atlantic,Gotten better,16,80,20
Race relations in this country have:,RACEREL14,GA,South,South Atlantic,Stayed the same,34,73,27
Race relations in this country have:,RACEREL14,GA,South,South Atlantic,Gotten worse,49,69,30
Trust Clinton to handle race relations?,RACERELCLIN,GA,South,South Atlantic,Yes,81,82,18
Trust Clinton to handle race relations?,RACERELCLIN,GA,South,South Atlantic,No,17,21,78
Trust Sanders to handle race relations?,RACERELSANDERS,GA,South,South Atlantic,Yes,62,57,43
Trust Sanders to handle race relations?,RACERELSANDERS,GA,South,South Atlantic,No,36,96,3
Did either candidate attack the other unfairly?,UNFAIRDEM16,GA,South,South Atlantic,Only Clinton did,9,N/A,N/A
Did either candidate attack the other unfairly?,UNFAIRDEM16,GA,South,South Atlantic,Only Sanders did,7,N/A,N/A
Did either candidate attack the other unfairly?,UNFAIRDEM16,GA,South,South Atlantic,Both did,18,71,28
Did either candidate attack the other unfairly?,UNFAIRDEM16,GA,South,South Atlantic,Neither did,61,73,26
Did Clinton attack Sanders unfairly?,UNFAIRDEM16CLIN,GA,South,South Atlantic,Yes,27,60,39
Did Clinton attack Sanders unfairly?,UNFAIRDEM16CLIN,GA,South,South Atlantic,No,68,75,24
Did Sanders attack Clinton unfairly?,UNFAIRDEM16SAND,GA,South,South Atlantic,Yes,25,78,21
Did Sanders attack Clinton unfairly?,UNFAIRDEM16SAND,GA,South,South Atlantic,No,70,69,31
Better handle Supreme Court nominations?,SCOTUSDEM16,GA,South,South Atlantic,Clinton,73,93,6
Better handle Supreme Court nominations?,SCOTUSDEM16,GA,South,South Atlantic,Sanders,25,12,87
The next president should:,OBAMAPLCY,GA,South,South Atlantic,Continue Obama's policies,65,82,17
The next president should:,OBAMAPLCY,GA,South,South Atlantic,Be more liberal,21,44,56
The next president should:,OBAMAPLCY,GA,South,South Atlantic,Be less liberal,10,N/A,N/A
U.S. economic system generally:,ECONFAIR,GA,South,South Atlantic,Favors the wealthy,79,72,28
U.S. economic system generally:,ECONFAIR,GA,South,South Atlantic,Is fair to most Americans,18,75,25
Worried about U.S. economy?,ECONWORR,GA,South,South Atlantic,Very worried,43,68,32
Worried about U.S. economy?,ECONWORR,GA,South,South Atlantic,Somewhat worried,39,71,28
Worried about U.S. economy?,ECONWORR,GA,South,South Atlantic,Not too worried,13,81,19
Worried about U.S. economy?,ECONWORR,GA,South,South Atlantic,Not at all worried,5,N/A,N/A
Worried about U.S. economy?,ECOWORR2,GA,South,South Atlantic,Yes,82,69,30
Worried about U.S. economy?,ECOWORR2,GA,South,South Atlantic,No,18,81,19
Feelings about the federal government,GOVTANGR16,GA,South,South Atlantic,Enthusiastic,6,N/A,N/A
Feelings about the federal government,GOVTANGR16,GA,South,South Atlantic,Satisfied,34,80,20
Feelings about the federal government,GOVTANGR16,GA,South,South Atlantic,Dissatisfied,42,68,31
Feelings about the federal government,GOVTANGR16,GA,South,South Atlantic,Angry,16,56,43
Feelings about the federal government,GOVTANGR16B,GA,South,South Atlantic,Enthusiastic/Satisfied,39,81,18
Feelings about the federal government,GOVTANGR16B,GA,South,South Atlantic,Dissatisfied/Angry,58,65,34
Next president should be:,OUTSIDER16,GA,South,South Atlantic,Experienced in politics,86,76,24
Next president should be:,OUTSIDER16,GA,South,South Atlantic,Outside the establishment,10,N/A,N/A
Satisfied if Clinton wins the nomination?,SATHCLIN,GA,South,South Atlantic,Yes,84,84,16
Satisfied if Clinton wins the nomination?,SATHCLIN,GA,South,South Atlantic,No,15,10,89
