question,pollname,state,region,subregion,answer,percent,clinton,sanders
Gender,SEX,IN,Midwest,East North Central,Men,41,43,57
Gender,SEX,IN,Midwest,East North Central,Women,59,50,50
Age,XAGE,IN,Midwest,East North Central,17-29,19,26,74
Age,XAGE,IN,Midwest,East North Central,30-44,27,36,64
Age,XAGE,IN,Midwest,East North Central,45-64,39,57,43
Age,XAGE,IN,Midwest,East North Central,65 and older,16,67,33
Age,XAGE65,IN,Midwest,East North Central,17-24,10,18,82
Age,XAGE65,IN,Midwest,East North Central,25-29,8,35,65
Age,XAGE65,IN,Midwest,East North Central,30-39,19,30,70
Age,XAGE65,IN,Midwest,East North Central,40-49,17,54,46
Age,XAGE65,IN,Midwest,East North Central,50-64,30,57,43
Age,XAGE65,IN,Midwest,East North Central,65 and older,16,67,33
Age,XAGE45,IN,Midwest,East North Central,17-44 year olds,46,32,68
Age,XAGE45,IN,Midwest,East North Central,45 and older,54,60,40
Race,RACE,IN,Midwest,East North Central,White,72,41,59
Race,RACE,IN,Midwest,East North Central,Black,19,74,26
Race,RACE,IN,Midwest,East North Central,Latino,6,N/A,N/A
Race,RACE,IN,Midwest,East North Central,Asian,1,N/A,N/A
Race,RACE,IN,Midwest,East North Central,Other race,2,N/A,N/A
Race,RACE2B,IN,Midwest,East North Central,White,72,41,59
Race,RACE2B,IN,Midwest,East North Central,Non-white,28,63,37
Education,EDUC12R,IN,Midwest,East North Central,High school or less,17,56,44
Education,EDUC12R,IN,Midwest,East North Central,Some college,31,37,63
Education,EDUC12R,IN,Midwest,East North Central,College graduate,30,49,51
Education,EDUC12R,IN,Midwest,East North Central,Postgraduate,22,51,49
Are you a college graduate?,EDUCCOLL,IN,Midwest,East North Central,Yes,52,50,50
Are you a college graduate?,EDUCCOLL,IN,Midwest,East North Central,No,48,44,56
Education and race,EDUCWHITE,IN,Midwest,East North Central,White college graduates,39,45,55
Education and race,EDUCWHITE,IN,Midwest,East North Central,Whites no degree,33,35,65
Education and race,EDUCWHITE,IN,Midwest,East North Central,Non-whites college grads,13,64,36
Education and race,EDUCWHITE,IN,Midwest,East North Central,Non-whites no degree,15,64,36
Income,INCOME16,IN,Midwest,East North Central,Less than $30K,23,53,47
Income,INCOME16,IN,Midwest,East North Central,$30K-50K,22,46,54
Income,INCOME16,IN,Midwest,East North Central,$50K-100K,31,46,54
