question,pollname,state,region,subregion,answer,percent,clinton,sanders
Gender,SEX,MA,Northeast,New England,Men,42,41,58
Gender,SEX,MA,Northeast,New England,Women,58,57,42
Age,AGE,MA,Northeast,New England,18-29,19,35,65
Age,AGE,MA,Northeast,New England,30-44,23,55,44
Age,AGE,MA,Northeast,New England,45-64,39,51,48
Age,AGE,MA,Northeast,New England,65 and older,19,59,39
Age,AGE65,MA,Northeast,New England,18-24,11,28,71
Age,AGE65,MA,Northeast,New England,25-29,9,42,58
Age,AGE65,MA,Northeast,New England,30-39,15,53,47
Age,AGE65,MA,Northeast,New England,40-49,14,55,44
Age,AGE65,MA,Northeast,New England,50-64,32,51,48
Age,AGE65,MA,Northeast,New England,65 and older,19,59,39
Age,AGE45,MA,Northeast,New England,18-44,43,46,54
Age,AGE45,MA,Northeast,New England,45 and older,57,54,45
Race,RACE,MA,Northeast,New England,White,85,49,50
Race,RACE,MA,Northeast,New England,Black,4,N/A,N/A
Race,RACE,MA,Northeast,New England,Latino,6,N/A,N/A
Race,RACE,MA,Northeast,New England,Asian,4,N/A,N/A
Race,RACE,MA,Northeast,New England,Other race,1,N/A,N/A
Race,RACE2B,MA,Northeast,New England,White,85,49,50
Race,RACE2B,MA,Northeast,New England,Non-white,15,59,41
Education,EDUC12R,MA,Northeast,New England,High school or less,8,43,57
Education,EDUC12R,MA,Northeast,New England,Some college,24,40,60
Education,EDUC12R,MA,Northeast,New England,College graduate,32,50,49
Education,EDUC12R,MA,Northeast,New England,Postgraduate,35,58,41
Are you a college graduate?,EDUCCOLL,MA,Northeast,New England,Yes,67,54,45
Are you a college graduate?,EDUCCOLL,MA,Northeast,New England,No,33,41,59
Education and race,EDUCWHITE,MA,Northeast,New England,White college graduates,58,53,46
Education and race,EDUCWHITE,MA,Northeast,New England,Whites no degree,27,40,60
Education and race,EDUCWHITE,MA,Northeast,New England,Non-whites college grads,9,66,32
Education and race,EDUCWHITE,MA,Northeast,New England,Non-whites no degree,6,N/A,N/A
Income,INCOME16,MA,Northeast,New England,Less than $30K,13,47,50
Income,INCOME16,MA,Northeast,New England,$30K-50K,18,40,60
Income,INCOME16,MA,Northeast,New England,$50K-100K,33,46,54
Income,INCOME16,MA,Northeast,New England,$100K-200K,30,57,42
Income,INCOME16,MA,Northeast,New England,$200K or more,7,N/A,N/A
Income,INC50K,MA,Northeast,New England,Under $50K,31,43,56
Income,INC50K,MA,Northeast,New England,$50K or more,69,53,46
Income,INC100K,MA,Northeast,New England,Under $100K,63,45,55
Income,INC100K,MA,Northeast,New England,$100K or more,37,59,39
Income,INCOME3,MA,Northeast,New England,Under $50K,31,43,56
Income,INCOME3,MA,Northeast,New England,$50K-$100K,33,46,54
