question,pollname,state,region,subregion,answer,percent,clinton,sanders
Gender,SEX,MD,South,South Atlantic,Men,39,55,40
Gender,SEX,MD,South,South Atlantic,Women,61,68,29
Age,XAGE,MD,South,South Atlantic,17-29,14,29,68
Age,XAGE,MD,South,South Atlantic,30-44,27,55,44
Age,XAGE,MD,South,South Atlantic,45-64,41,77,19
Age,XAGE,MD,South,South Atlantic,65 and older,18,70,22
Age,XAGE65,MD,South,South Atlantic,17-24,8,26,74
Age,XAGE65,MD,South,South Atlantic,25-29,6,N/A,N/A
Age,XAGE65,MD,South,South Atlantic,30-39,19,52,47
Age,XAGE65,MD,South,South Atlantic,40-49,18,67,31
Age,XAGE65,MD,South,South Atlantic,50-64,31,79,17
Age,XAGE65,MD,South,South Atlantic,65 and older,18,70,22
Age,XAGE45,MD,South,South Atlantic,17-44 year olds,41,46,52
Age,XAGE45,MD,South,South Atlantic,45 and older,59,75,20
Race,RACE,MD,South,South Atlantic,White,43,52,42
Race,RACE,MD,South,South Atlantic,Black,46,75,22
Race,RACE,MD,South,South Atlantic,Latino,6,N/A,N/A
Race,RACE,MD,South,South Atlantic,Asian,2,N/A,N/A
Race,RACE,MD,South,South Atlantic,Other race,3,N/A,N/A
Race,RACE2B,MD,South,South Atlantic,White,43,52,42
Race,RACE2B,MD,South,South Atlantic,Non-white,57,72,26
Education,EDUC12R,MD,South,South Atlantic,High school or less,12,68,29
Education,EDUC12R,MD,South,South Atlantic,Some college,30,62,34
Education,EDUC12R,MD,South,South Atlantic,College graduate,29,57,40
Education,EDUC12R,MD,South,South Atlantic,Postgraduate,29,67,30
Are you a college graduate?,EDUCCOLL,MD,South,South Atlantic,Yes,58,62,35
Are you a college graduate?,EDUCCOLL,MD,South,South Atlantic,No,42,64,33
Education and race,EDUCWHITE,MD,South,South Atlantic,White college graduates,29,57,39
Education and race,EDUCWHITE,MD,South,South Atlantic,Whites no degree,13,43,52
Education and race,EDUCWHITE,MD,South,South Atlantic,Non-whites college grads,29,67,30
Education and race,EDUCWHITE,MD,South,South Atlantic,Non-whites no degree,28,74,24
Income,INCOME16,MD,South,South Atlantic,Less than $30K,12,58,39
Income,INCOME16,MD,South,South Atlantic,$30K-50K,15,59,36
Income,INCOME16,MD,South,South Atlantic,$50K-100K,30,59,37
Income,INCOME16,MD,South,South Atlantic,$100K-200K,32,65,32
Income,INCOME16,MD,South,South Atlantic,$200K or more,11,77,21
Income,INC50K,MD,South,South Atlantic,Under $50K,27,58,37
Income,INC50K,MD,South,South Atlantic,$50K or more,73,64,33
Income,INC100K,MD,South,South Atlantic,Under $100K,57,59,37
Income,INC100K,MD,South,South Atlantic,$100K or more,43,68,29
Income,INCOME3,MD,South,South Atlantic,Under $50K,27,58,37
Income,INCOME3,MD,South,South Atlantic,$50K-$100K,30,59,37
Income,INCOME3,MD,South,South Atlantic,$100K or more,43,68,29
Party ID,PARTY,MD,South,South Atlantic,Democrats,80,69,30
Party ID,PARTY,MD,South,South Atlantic,Republicans,3,N/A,N/A
Party ID,PARTY,MD,South,South Atlantic,Independents,17,39,51
Ideology,PHIL4,MD,South,South Atlantic,Very liberal,24,58,41
Ideology,PHIL4,MD,South,South Atlantic,Somewhat liberal,38,62,35
Ideology,PHIL4,MD,South,South Atlantic,Moderate,33,69,27
Ideology,PHIL4,MD,South,South Atlantic,Conservative,5,N/A,N/A
