question,pollname,state,region,subregion,answer,percent,clinton,sanders
Gender,SEX,MI,Midwest,East North Central,Men,45,44,55
Gender,SEX,MI,Midwest,East North Central,Women,55,51,45
Age,AGE,MI,Midwest,East North Central,18-29,19,19,81
Age,AGE,MI,Midwest,East North Central,30-44,26,42,53
Age,AGE,MI,Midwest,East North Central,45-64,35,57,41
Age,AGE,MI,Midwest,East North Central,65 and older,20,69,30
Age,AGE65,MI,Midwest,East North Central,18-24,11,15,85
Age,AGE65,MI,Midwest,East North Central,25-29,8,24,75
Age,AGE65,MI,Midwest,East North Central,30-39,17,36,59
Age,AGE65,MI,Midwest,East North Central,40-49,17,55,41
Age,AGE65,MI,Midwest,East North Central,50-64,27,57,41
Age,AGE65,MI,Midwest,East North Central,65 and older,20,69,30
Age,AGE45,MI,Midwest,East North Central,18-44,45,32,65
Age,AGE45,MI,Midwest,East North Central,45 and older,55,62,37
Race,RACE,MI,Midwest,East North Central,White,70,42,56
Race,RACE,MI,Midwest,East North Central,Black,21,68,28
Race,RACE,MI,Midwest,East North Central,Latino,3,N/A,N/A
Race,RACE,MI,Midwest,East North Central,Asian,2,N/A,N/A
Race,RACE,MI,Midwest,East North Central,Other race,4,N/A,N/A
Race,RACE2B,MI,Midwest,East North Central,White,70,42,56
Race,RACE2B,MI,Midwest,East North Central,Non-white,30,63,34
Race by gender,SEXBYRACE,MI,Midwest,East North Central,White men,33,37,62
Race by gender,SEXBYRACE,MI,Midwest,East North Central,White women,37,47,51
Race by gender,SEXBYRACE,MI,Midwest,East North Central,Black men,7,N/A,N/A
Race by gender,SEXBYRACE,MI,Midwest,East North Central,Black women,14,66,28
Race by gender,SEXBYRACE,MI,Midwest,East North Central,Latino men,1,N/A,N/A
Race by gender,SEXBYRACE,MI,Midwest,East North Central,Latino women,1,N/A,N/A
Race by gender,SEXBYRACE,MI,Midwest,East North Central,Others,6,N/A,N/A
Education,EDUC12R,MI,Midwest,East North Central,High school or less,17,61,37
Education,EDUC12R,MI,Midwest,East North Central,Some college,37,43,55
Education,EDUC12R,MI,Midwest,East North Central,College graduate,26,41,54
