question,pollname,state,region,subregion,answer,percent,clinton,sanders
Gender,SEX,MO,Midwest,West North Central,Men,45,44,56
Gender,SEX,MO,Midwest,West North Central,Women,55,54,44
Age,AGE,MO,Midwest,West North Central,18-29,16,21,78
Age,AGE,MO,Midwest,West North Central,30-44,25,39,61
Age,AGE,MO,Midwest,West North Central,45-64,37,58,41
Age,AGE,MO,Midwest,West North Central,65 and older,22,69,30
Age,AGE65,MO,Midwest,West North Central,18-24,8,21,78
Age,AGE65,MO,Midwest,West North Central,25-29,8,21,78
Age,AGE65,MO,Midwest,West North Central,30-39,17,30,70
Age,AGE65,MO,Midwest,West North Central,40-49,18,55,43
Age,AGE65,MO,Midwest,West North Central,50-64,28,60,40
Age,AGE65,MO,Midwest,West North Central,65 and older,22,69,30
Age,AGE45,MO,Midwest,West North Central,18-44,41,32,67
Age,AGE45,MO,Midwest,West North Central,45 and older,59,62,37
Race,RACE,MO,Midwest,West North Central,White,72,45,54
Race,RACE,MO,Midwest,West North Central,Black,21,67,32
Race,RACE,MO,Midwest,West North Central,Latino,3,N/A,N/A
Race,RACE,MO,Midwest,West North Central,Asian,2,N/A,N/A
Race,RACE,MO,Midwest,West North Central,Other race,2,N/A,N/A
Race,RACE2B,MO,Midwest,West North Central,White,72,45,54
Race,RACE2B,MO,Midwest,West North Central,Non-white,28,61,38
Race by gender,SEXBYRACE,MO,Midwest,West North Central,White men,33,38,61
Race by gender,SEXBYRACE,MO,Midwest,West North Central,White women,40,51,48
Race by gender,SEXBYRACE,MO,Midwest,West North Central,Black men,9,N/A,N/A
Race by gender,SEXBYRACE,MO,Midwest,West North Central,Black women,12,70,30
Race by gender,SEXBYRACE,MO,Midwest,West North Central,Latino men,1,N/A,N/A
Race by gender,SEXBYRACE,MO,Midwest,West North Central,Latino women,2,N/A,N/A
Race by gender,SEXBYRACE,MO,Midwest,West North Central,Others,4,N/A,N/A
Education,EDUC12R,MO,Midwest,West North Central,High school or less,15,62,37
Education,EDUC12R,MO,Midwest,West North Central,Some college,33,46,53
Education,EDUC12R,MO,Midwest,West North Central,College graduate,29,45,55
Education,EDUC12R,MO,Midwest,West North Central,Postgraduate,23,51,49
Are you a college graduate?,EDUCCOLL,MO,Midwest,West North Central,Yes,52,48,52
Are you a college graduate?,EDUCCOLL,MO,Midwest,West North Central,No,48,51,48
Education and race,EDUCWHITE,MO,Midwest,West North Central,White college graduates,39,43,57
