question,pollname,state,region,subregion,answer,percentage of electorate,clinton,sanders
Gender,SEX,MS,South,East South Central,Men,36,79,19
Gender,SEX,MS,South,East South Central,Women,64,85,15
Age,XAGE,MS,South,East South Central,17-29,15,62,37
Age,XAGE,MS,South,East South Central,30-44,25,79,20
Age,XAGE,MS,South,East South Central,45-64,40,90,9
Age,XAGE,MS,South,East South Central,65 and older,20,91,9
Age,XAGE65,MS,South,East South Central,17-24,8,N/A,N/A
Age,XAGE65,MS,South,East South Central,25-29,7,N/A,N/A
Age,XAGE65,MS,South,East South Central,30-39,15,72,27
Age,XAGE65,MS,South,East South Central,40-49,19,91,9
Age,XAGE65,MS,South,East South Central,50-64,30,89,10
Age,XAGE65,MS,South,East South Central,65 and older,20,91,9
Age,XAGE45,MS,South,East South Central,17-44 year olds,40,72,27
Age,XAGE45,MS,South,East South Central,45 and older,60,90,9
Race,RACE,MS,South,East South Central,White,24,68,31
Race,RACE,MS,South,East South Central,Black,71,89,11
Race,RACE,MS,South,East South Central,Latino,1,N/A,N/A
Race,RACE,MS,South,East South Central,Asian,0,N/A,N/A
Race,RACE,MS,South,East South Central,Other race,4,N/A,N/A
Race,RACE2B,MS,South,East South Central,White,24,68,31
Race,RACE2B,MS,South,East South Central,Non-white,76,88,11
Race by gender,SEXBYRACE,MS,South,East South Central,White men,10,N/A,N/A
Race by gender,SEXBYRACE,MS,South,East South Central,White women,14,71,29
Race by gender,SEXBYRACE,MS,South,East South Central,Black men,23,86,13
Race by gender,SEXBYRACE,MS,South,East South Central,Black women,47,90,10
Race by gender,SEXBYRACE,MS,South,East South Central,Latino men,1,N/A,N/A
Race by gender,SEXBYRACE,MS,South,East South Central,Latino women,0,N/A,N/A
Race by gender,SEXBYRACE,MS,South,East South Central,Others,4,N/A,N/A
Education,EDUC12R,MS,South,East South Central,High school or less,23,93,7
Education,EDUC12R,MS,South,East South Central,Some college,33,84,16
Education,EDUC12R,MS,South,East South Central,College graduate,26,74,24
Education,EDUC12R,MS,South,East South Central,Postgraduate,17,84,16
Are you a college graduate?,EDUCCOLL,MS,South,East South Central,Yes,43,78,21
Are you a college graduate?,EDUCCOLL,MS,South,East South Central,No,57,88,12
Education and race,EDUCWHITE,MS,South,East South Central,White college graduates,15,62,36
Education and race,EDUCWHITE,MS,South,East South Central,Whites no degree,9,N/A,N/A
Education and race,EDUCWHITE,MS,South,East South Central,Non-whites college grads,29,86,12
Education and race,EDUCWHITE,MS,South,East South Central,Non-whites no degree,48,90,10
Income,INCOME16,MS,South,East South Central,Less than $30K,39,85,14
Income,INCOME16,MS,South,East South Central,$30K-50K,25,80,20
Income,INCOME16,MS,South,East South Central,$50K-100K,24,80,20
Income,INCOME16,MS,South,East South Central,$100K-200K,10,N/A,N/A
Income,INCOME16,MS,South,East South Central,$200K or more,2,N/A,N/A
Income,INC50K,MS,South,East South Central,Under $50K,64,83,16
Income,INC50K,MS,South,East South Central,$50K or More,36,83,16
Income,INC100K,MS,South,East South Central,Under $100K,88,82,17
Income,INC100K,MS,South,East South Central,$100K or more,12,89,9
