question,pollname,state,region,subregion,answer,percent,clinton,sanders
Gender,SEX,NH,Northeast,New England,Men,45,32,67
Gender,SEX,NH,Northeast,New England,Women,55,44,55
Race,RACE,NH,Northeast,New England,White,93,37,61
Race,RACE,NH,Northeast,New England,Black,2,N/A,N/A
Race,RACE,NH,Northeast,New England,Latino,1,N/A,N/A
Race,RACE,NH,Northeast,New England,Asian,2,N/A,N/A
Race,RACE,NH,Northeast,New England,Other race,2,N/A,N/A
Race,RACE2B,NH,Northeast,New England,White,93,37,61
Race,RACE2B,NH,Northeast,New England,Non-white,7,49,50
Age,AGE,NH,Northeast,New England,18-29,19,16,83
Age,AGE,NH,Northeast,New England,30-44,22,32,66
Age,AGE,NH,Northeast,New England,45-64,42,45,54
Age,AGE,NH,Northeast,New England,65 and older,18,54,45
Age,AGE65,NH,Northeast,New England,18-24,12,17,82
Age,AGE65,NH,Northeast,New England,25-29,7,14,85
Age,AGE65,NH,Northeast,New England,30-39,14,27,72
Age,AGE65,NH,Northeast,New England,40-49,17,38,60
Age,AGE65,NH,Northeast,New England,50-64,33,48,51
Age,AGE65,NH,Northeast,New England,65 and older,18,54,45
Age,AGE45,NH,Northeast,New England,18-44,41,25,74
Age,AGE45,NH,Northeast,New England,45 and older,59,48,51
Education,EDUC12R,NH,Northeast,New England,High school or less,12,34,64
Education,EDUC12R,NH,Northeast,New England,Some college,28,30,69
Education,EDUC12R,NH,Northeast,New England,College graduate,32,38,60
Education,EDUC12R,NH,Northeast,New England,Postgraduate,28,48,51
Did you attend college?,EDUCHS,NH,Northeast,New England,Yes,88,39,60
Did you attend college?,EDUCHS,NH,Northeast,New England,No,12,34,64
Are you a college graduate?,EDUCCOLL,NH,Northeast,New England,Yes,60,43,56
Are you a college graduate?,EDUCCOLL,NH,Northeast,New England,No,40,31,67
Education and race,EDUCWHITE,NH,Northeast,New England,White college graduates,57,42,57
Education and race,EDUCWHITE,NH,Northeast,New England,Whites no degree,37,30,68
Education and race,EDUCWHITE,NH,Northeast,New England,Non-whites college grads,4,N/A,N/A
Education and race,EDUCWHITE,NH,Northeast,New England,Non-whites no degree,3,N/A,N/A
Income,INCOME16,NH,Northeast,New England,Less than $30K,14,24,72
Income,INCOME16,NH,Northeast,New England,$30K-50K,18,39,60
Income,INCOME16,NH,Northeast,New England,$50K-100K,33,35,64
Income,INCOME16,NH,Northeast,New England,$100K-200K,27,44,55
Income,INCOME16,NH,Northeast,New England,$200K or more,8,53,46
Income,INC50K,NH,Northeast,New England,Under $50K,31,32,65
Income,INC50K,NH,Northeast,New England,$50K or more,69,41,58
Income,INC100K,NH,Northeast,New England,Under $100K,65,34,65
Income,INC100K,NH,Northeast,New England,$100K or more,35,46,53
Income,INCOME3,NH,Northeast,New England,Under $50K,31,32,65
Income,INCOME3,NH,Northeast,New England,$50K-$100K,33,35,64
Income,INCOME3,NH,Northeast,New England,$100K or more,35,46,53
Ever voted in a Democratic presidential primary?,PREVPRIDEM,NH,Northeast,New England,Voted before,83,41,57
Ever voted in a Democratic presidential primary?,PREVPRIDEM,NH,Northeast,New England,First-time voter,16,21,78
Party ID,PARTY,NH,Northeast,New England,Democrats,58,48,52
Party ID,PARTY,NH,Northeast,New England,Republicans,2,N/A,N/A
Party ID,PARTY,NH,Northeast,New England,Independents,40,25,73
Ideology,PHIL4,NH,Northeast,New England,Very liberal,26,33,67
Ideology,PHIL4,NH,Northeast,New England,Somewhat liberal,42,43,57
