question,pollname,state,region,subregion,answer,percent,clinton,sanders
Gender,SEX,NY,Northeast,Middle Atlantic,Men,41,50,50
Gender,SEX,NY,Northeast,Middle Atlantic,Women,59,63,37
Age,AGE,NY,Northeast,Middle Atlantic,18-29,18,35,65
Age,AGE,NY,Northeast,Middle Atlantic,30-44,24,53,47
Age,AGE,NY,Northeast,Middle Atlantic,45-64,39,63,37
Age,AGE,NY,Northeast,Middle Atlantic,65 and older,19,73,27
Age,AGE65,NY,Northeast,Middle Atlantic,18-24,7,19,81
Age,AGE65,NY,Northeast,Middle Atlantic,25-29,10,47,53
Age,AGE65,NY,Northeast,Middle Atlantic,30-39,18,52,48
Age,AGE65,NY,Northeast,Middle Atlantic,40-49,13,59,41
Age,AGE65,NY,Northeast,Middle Atlantic,50-64,32,63,37
Age,AGE65,NY,Northeast,Middle Atlantic,65 and older,19,73,27
Age,AGE45,NY,Northeast,Middle Atlantic,18-44,41,45,55
Age,AGE45,NY,Northeast,Middle Atlantic,45 and older,59,66,34
Race,RACE,NY,Northeast,Middle Atlantic,White,59,50,50
Race,RACE,NY,Northeast,Middle Atlantic,Black,22,75,25
Race,RACE,NY,Northeast,Middle Atlantic,Latino,14,64,36
Race,RACE,NY,Northeast,Middle Atlantic,Asian,2,N/A,N/A
Race,RACE,NY,Northeast,Middle Atlantic,Other race,3,N/A,N/A
Race,RACE2B,NY,Northeast,Middle Atlantic,White,59,50,50
Race,RACE2B,NY,Northeast,Middle Atlantic,Non-white,41,68,32
Race by gender,SEXBYRACE,NY,Northeast,Middle Atlantic,White men,25,43,57
Race by gender,SEXBYRACE,NY,Northeast,Middle Atlantic,White women,34,56,44
Race by gender,SEXBYRACE,NY,Northeast,Middle Atlantic,Black men,8,67,33
Race by gender,SEXBYRACE,NY,Northeast,Middle Atlantic,Black women,14,79,21
Race by gender,SEXBYRACE,NY,Northeast,Middle Atlantic,Latino men,6,N/A,N/A
Race by gender,SEXBYRACE,NY,Northeast,Middle Atlantic,Latino women,8,67,33
Race by gender,SEXBYRACE,NY,Northeast,Middle Atlantic,Others,5,N/A,N/A
Education,EDUC12R,NY,Northeast,Middle Atlantic,High school or less,15,71,29
Education,EDUC12R,NY,Northeast,Middle Atlantic,Some college,27,52,48
Education,EDUC12R,NY,Northeast,Middle Atlantic,College graduate,32,55,45
Education,EDUC12R,NY,Northeast,Middle Atlantic,Postgraduate,26,58,42
Are you a college graduate?,EDUCCOLL,NY,Northeast,Middle Atlantic,Yes,58,56,44
Are you a college graduate?,EDUCCOLL,NY,Northeast,Middle Atlantic,No,42,58,42
Education and race,EDUCWHITE,NY,Northeast,Middle Atlantic,White college graduates,40,53,47
Education and race,EDUCWHITE,NY,Northeast,Middle Atlantic,Whites no degree,20,45,55
Education and race,EDUCWHITE,NY,Northeast,Middle Atlantic,Non-whites college grads,18,64,36
Education and race,EDUCWHITE,NY,Northeast,Middle Atlantic,Non-whites no degree,22,71,29
Income,INCOME16,NY,Northeast,Middle Atlantic,Less than $30K,19,60,40
Income,INCOME16,NY,Northeast,Middle Atlantic,$30K-50K,20,57,43
Income,INCOME16,NY,Northeast,Middle Atlantic,$50K-100K,31,54,46
Income,INCOME16,NY,Northeast,Middle Atlantic,$100K-200K,23,55,45
Income,INCOME16,NY,Northeast,Middle Atlantic,$200K or more,7,N/A,N/A
Income,INC50K,NY,Northeast,Middle Atlantic,Under $50K,39,58,42
Income,INC50K,NY,Northeast,Middle Atlantic,$50K or more,61,57,43
Income,INC100K,NY,Northeast,Middle Atlantic,Under $100K,70,57,43
Income,INC100K,NY,Northeast,Middle Atlantic,$100K or more,30,59,41
Income,INCOME3,NY,Northeast,Middle Atlantic,Under $50K,39,58,42
Income,INCOME3,NY,Northeast,Middle Atlantic,$50K-$100K,31,54,46
Income,INCOME3,NY,Northeast,Middle Atlantic,$100K or more,30,59,41
Party ID,PARTY,NY,Northeast,Middle Atlantic,Democrats,83,62,38
Party ID,PARTY,NY,Northeast,Middle Atlantic,Republicans,3,N/A,N/A
Party ID,PARTY,NY,Northeast,Middle Atlantic,Independents,14,28,72
Ideology,PHIL4,NY,Northeast,Middle Atlantic,Very liberal,29,44,56
Ideology,PHIL4,NY,Northeast,Middle Atlantic,Somewhat liberal,37,59,41
Ideology,PHIL4,NY,Northeast,Middle Atlantic,Moderate,29,67,33
Ideology,PHIL4,NY,Northeast,Middle Atlantic,Conservative,5,N/A,N/A
Ideology,PHIL3X,NY,Northeast,Middle Atlantic,Liberal,66,52,48
Ideology,PHIL3X,NY,Northeast,Middle Atlantic,Moderate,29,67,33
