question,pollname,state,region,subregion,answer,percent,clinton,sanders
Gender,SEX,OH,Midwest,East North Central,Men,44,48,51
Gender,SEX,OH,Midwest,East North Central,Women,56,63,36
Age,AGE,OH,Midwest,East North Central,18-29,15,19,81
Age,AGE,OH,Midwest,East North Central,30-44,22,45,54
Age,AGE,OH,Midwest,East North Central,45-64,41,66,32
Age,AGE,OH,Midwest,East North Central,65 and older,21,77,23
Age,AGE65,OH,Midwest,East North Central,18-24,8,15,85
Age,AGE65,OH,Midwest,East North Central,25-29,7,23,77
Age,AGE65,OH,Midwest,East North Central,30-39,15,41,57
Age,AGE65,OH,Midwest,East North Central,40-49,15,54,46
Age,AGE65,OH,Midwest,East North Central,50-64,33,69,30
Age,AGE65,OH,Midwest,East North Central,65 and older,21,77,23
Age,AGE45,OH,Midwest,East North Central,18-44,38,34,65
Age,AGE45,OH,Midwest,East North Central,45 and older,62,70,29
Race,RACE,OH,Midwest,East North Central,White,74,53,47
Race,RACE,OH,Midwest,East North Central,Black,20,71,28
Race,RACE,OH,Midwest,East North Central,Latino,2,N/A,N/A
Race,RACE,OH,Midwest,East North Central,Asian,1,N/A,N/A
Race,RACE,OH,Midwest,East North Central,Other race,2,N/A,N/A
Race,RACE2B,OH,Midwest,East North Central,White,74,53,47
Race,RACE2B,OH,Midwest,East North Central,Non-white,26,67,32
Race by gender,SEXBYRACE,OH,Midwest,East North Central,White men,33,42,57
Race by gender,SEXBYRACE,OH,Midwest,East North Central,White women,41,61,38
Race by gender,SEXBYRACE,OH,Midwest,East North Central,Black men,8,73,26
Race by gender,SEXBYRACE,OH,Midwest,East North Central,Black women,12,69,29
Race by gender,SEXBYRACE,OH,Midwest,East North Central,Latino men,1,N/A,N/A
Race by gender,SEXBYRACE,OH,Midwest,East North Central,Latino women,1,N/A,N/A
Race by gender,SEXBYRACE,OH,Midwest,East North Central,Others,4,N/A,N/A
Education,EDUC12R,OH,Midwest,East North Central,High school or less,17,62,37
Education,EDUC12R,OH,Midwest,East North Central,Some college,34,50,49
Education,EDUC12R,OH,Midwest,East North Central,College graduate,28,54,46
Education,EDUC12R,OH,Midwest,East North Central,Postgraduate,21,63,37
Are you a college graduate?,EDUCCOLL,OH,Midwest,East North Central,Yes,49,57,42
Are you a college graduate?,EDUCCOLL,OH,Midwest,East North Central,No,51,54,45
Education and race,EDUCWHITE,OH,Midwest,East North Central,White college graduates,39,54,45
Education and race,EDUCWHITE,OH,Midwest,East North Central,Whites no degree,36,50,49
Education and race,EDUCWHITE,OH,Midwest,East North Central,Non-whites college grads,10,70,30
Education and race,EDUCWHITE,OH,Midwest,East North Central,Non-whites no degree,15,64,34
Income,INCOME16,OH,Midwest,East North Central,Less than $30K,21,59,38
Income,INCOME16,OH,Midwest,East North Central,$30K-50K,21,51,48
Income,INCOME16,OH,Midwest,East North Central,$50K-100K,32,56,44
Income,INCOME16,OH,Midwest,East North Central,$100K-200K,23,51,49
Income,INCOME16,OH,Midwest,East North Central,$200K or more,4,N/A,N/A
Income,INC50K,OH,Midwest,East North Central,Under $50K,42,55,43
Income,INC50K,OH,Midwest,East North Central,$50K or more,58,54,46
Income,INC100K,OH,Midwest,East North Central,Under $100K,74,55,43
Income,INC100K,OH,Midwest,East North Central,$100K or more,26,51,49
Income,INCOME3,OH,Midwest,East North Central,Under $50K,42,55,43
Income,INCOME3,OH,Midwest,East North Central,$50K-$100K,32,56,44
Income,INCOME3,OH,Midwest,East North Central,$100K or more,26,51,49
Party ID,PARTY,OH,Midwest,East North Central,Democrats,74,64,35
Party ID,PARTY,OH,Midwest,East North Central,Republicans,2,N/A,N/A
Party ID,PARTY,OH,Midwest,East North Central,Independents,24,33,66
Ideology,PHIL4,OH,Midwest,East North Central,Very liberal,23,48,52
Ideology,PHIL4,OH,Midwest,East North Central,Somewhat liberal,36,53,46
Ideology,PHIL4,OH,Midwest,East North Central,Moderate,34,63,36
Ideology,PHIL4,OH,Midwest,East North Central,Conservative,7,58,38
Ideology,PHIL3X,OH,Midwest,East North Central,Liberal,59,51,48
Ideology,PHIL3X,OH,Midwest,East North Central,Moderate,34,63,36
Ideology,PHIL3X,OH,Midwest,East North Central,Conservative,7,58,38
Ideology ,PHIL2D,OH,Midwest,East North Central,Liberal,59,51,48
Ideology ,PHIL2D,OH,Midwest,East North Central,Moderate/Conservative,41,62,36
Marital status,MARRIED,OH,Midwest,East North Central,Married,56,58,41
Marital status,MARRIED,OH,Midwest,East North Central,Unmarried,44,54,46
Marital status and gender,SEXWED,OH,Midwest,East North Central,Married men,26,50,48
Marital status and gender,SEXWED,OH,Midwest,East North Central,Married women,30,65,34
Marital status and gender,SEXWED,OH,Midwest,East North Central,Unmarried men,18,45,55
Marital status and gender,SEXWED,OH,Midwest,East North Central,Unmarried women,25,61,39
Union household?,UNIONHH12,OH,Midwest,East North Central,Yes,24,55,45
Union household?,UNIONHH12,OH,Midwest,East North Central,No,76,54,44
Most important issue,ISSDEM16,OH,Midwest,East North Central,Health care,23,59,41
