Question,pollname,Answer,Percentage of Electorate,Clinton,Sanders
Gender,SEX,Men,46,33,60
Gender,SEX,Women,54,48,46
Age,AGE,18-29,12,17,82
Age,AGE,30-44,21,26,73
Age,AGE,45-64,39,48,44
Age,AGE,65 and older,28,53,36
Age,AGE65,18-24,7,N/A,N/A
Age,AGE65,25-29,6,N/A,N/A
Age,AGE65,30-39,15,22,76
Age,AGE65,40-49,13,44,49
Age,AGE65,50-64,32,48,45
Age,AGE65,65 and older,28,53,36
Age,AGE45,18-44,33,23,76
Age,AGE45,45 and older,67,50,41
Race,RACE,White,74,36,56
Race,RACE,Black,14,71,27
Race,RACE,Latino,4,N/A,N/A
Race,RACE,Asian,1,N/A,N/A
Race,RACE,Other race,8,N/A,N/A
Race,RACE2B,White,74,36,56
Race,RACE2B,Non-white,26,56,40
Education,EDUC12R,High school or less,18,39,54
Education,EDUC12R,Some college,33,35,56
Education,EDUC12R,College graduate,26,40,52
Education,EDUC12R,Postgraduate,23,52,47
Are you a college graduate?,EDUCCOLL,Yes,49,45,50
Are you a college graduate?,EDUCCOLL,No,51,36,55
Education and race,EDUCWHITE,White college graduates,39,43,51
Education and race,EDUCWHITE,Whites no degree,35,28,63
Education and race,EDUCWHITE,Non-whites college grads,10,N/A,N/A
Education and race,EDUCWHITE,Non-whites no degree,15,55,37
Income,INCOME16,Less than $30K,20,44,54
Income,INCOME16,$30K-50K,24,38,54
Income,INCOME16,$50K-100K,34,36,54
Income,INCOME16,$100K-200K,18,46,49
Income,INCOME16,$200K or more,4,N/A,N/A
Income,INC50K,Under $50K,44,41,54
Income,INC50K,$50K or More,56,41,51
Income,INC100K,Under $100K,79,39,54
Income,INC100K,$100K or more,21,48,46
Income,INCOME3,Under $50K,44,41,54
Income,INCOME3,$50K-$100K,34,36,54
Income,INCOME3,$100K or more,21,48,46
Ever voted in a Democratic presidential primary?,PREVPRIDEM,Voted before,84,46,48
Ever voted in a Democratic presidential primary?,PREVPRIDEM,First-time voter,15,16,73
Party ID,PARTY,Democrats,66,52,43
Party ID,PARTY,Republicans,7,N/A,N/A
Party ID,PARTY,Independents,27,21,69
Ideology,PHIL4,Very liberal,18,42,58
Ideology,PHIL4,Somewhat liberal,27,42,55
Ideology,PHIL4,Moderate,36,48,47
Ideology,PHIL4,Conservative,19,22,54
Ideology,PHIL3X,Liberal,45,42,56
Ideology,PHIL3X,Moderate,36,48,47
Ideology,PHIL3X,Conservative,19,22,54
Ideology ,PHIL2D,Liberal,45,42,56
Ideology ,PHIL2D,Moderate/Conservative,55,39,50
Marital status,MARRIED,Married,61,42,51
Marital status,MARRIED,Unmarried,39,39,55
Marital status and gender,SEXWED,Married men,28,34,58
Marital status and gender,SEXWED,Married women,32,48,44
Marital status and gender,SEXWED,Unmarried men,18,30,61
Marital status and gender,SEXWED,Unmarried women,22,47,50
Most important issue,ISSDEM16,Health care,21,48,50
Most important issue,ISSDEM16,Economy/Jobs,42,41,50
Most important issue,ISSDEM16,Terrorism,14,N/A,N/A
Most important issue,ISSDEM16,Income inequality,20,34,65
Top candidate quality,QLT16DEMPRI,Electability,13,75,25
Top candidate quality,QLT16DEMPRI,Cares,29,28,69
Top candidate quality,QLT16DEMPRI,Honest,32,17,68
Top candidate quality,QLT16DEMPRI,Experience,22,78,20
Who is honest and trustworthy?,HONESTDEM16,Only Clinton,12,N/A,N/A
Who is honest and trustworthy?,HONESTDEM16,Only Sanders,33,4,95
Who is honest and trustworthy?,HONESTDEM16,Both,35,67,32
Who is honest and trustworthy?,HONESTDEM16,Neither,18,N/A,N/A
Is Clinton honest and trustworthy?,HONESTDEM16CLIN,Yes,47,75,25
Is Clinton honest and trustworthy?,HONESTDEM16CLIN,No,51,9,78
Is Sanders honest and trustworthy?,HONESTDEM16SAND,Yes,68,37,63
Is Sanders honest and trustworthy?,HONESTDEM16SAND,No,30,50,30
Who do you trust in an international crisis?,INTCRISISDEM16,Only Clinton,27,94,5
Who do you trust in an international crisis?,INTCRISISDEM16,Only Sanders,17,0,100
Who do you trust in an international crisis?,INTCRISISDEM16,Both,37,36,63
Who do you trust in an international crisis?,INTCRISISDEM16,Neither,17,N/A,N/A
Trust Clinton in an international crisis?,INTCRISISDEMCLIN,Yes,64,60,38
Trust Clinton in an international crisis?,INTCRISISDEMCLIN,No,35,6,78
Trust Sanders in an international crisis?,INTCRISISDEMSANDERS,Yes,54,25,74
Trust Sanders in an international crisis?,INTCRISISDEMSANDERS,No,45,61,25
Better handle Supreme Court nominations?,SCOTUSDEM16,Clinton,45,89,10
Better handle Supreme Court nominations?,SCOTUSDEM16,Sanders,50,2,93
The next president should:,OBAMAPLCY,Continue Obama's policies,38,64,34
The next president should:,OBAMAPLCY,Be more liberal,31,26,70
The next president should:,OBAMAPLCY,Be less liberal,28,24,59
U.S. economic system generally:,ECONFAIR,Favors the wealthy,89,41,54
U.S. economic system generally:,ECONFAIR,Is fair to most Americans,11,N/A,N/A
Next president should be:,OUTSIDER16,Experienced in politics,74,50,47
Next president should be:,OUTSIDER16,Outside the establishment,23,16,69
Clinton's positions on the issues are:,CLINTONLIB,Too liberal,22,11,69
Clinton's positions on the issues are:,CLINTONLIB,Not liberal enough,23,14,83
Clinton's positions on the issues are:,CLINTONLIB,About right,51,68,31
Sanders' positions on the issues are:,SANDERSLIB,Too liberal,28,57,28
Sanders' positions on the issues are:,SANDERSLIB,Not liberal enough,10,N/A,N/A
Sanders' positions on the issues are:,SANDERSLIB,About right,57,28,72
When did you decide whom to vote for?,TIMENH16,Just today,13,N/A,N/A
When did you decide whom to vote for?,TIMENH16,In the last few days,9,N/A,N/A
When did you decide whom to vote for?,TIMENH16,Sometime last week,4,N/A,N/A
When did you decide whom to vote for?,TIMENH16,In the last month,18,31,67
When did you decide whom to vote for?,TIMENH16,Before that,56,49,46
When did you decide whom to vote for?,TIMEPRIFEWDAYS,Last few days,22,32,52
When did you decide whom to vote for?,TIMEPRIFEWDAYS,Earlier,78,44,52
When did you decide whom to vote for?,TIMEPRIWK,In the last week,25,31,55
When did you decide whom to vote for?,TIMEPRIWK,Earlier,74,44,51
Area type,SIZEPLC3,Urban area,39,52,45
Area type,SIZEPLC3,Suburban area,35,34,57
Area type,SIZEPLC3,Rural area,26,36,57
Region,GEOCOD,Tulsa/East,41,42,50
Region,GEOCOD,Oklahoma City,20,50,48
Region,GEOCOD,Okla. City Suburbs,15,35,57
Region,GEOCOD,Central/West,24,N/A,N/A
