question,pollname,state,region,subregion,answer,percent,clinton,sanders
Gender,SEX,PA,Northeast,Middle Atlantic,Men,40,49,50
Gender,SEX,PA,Northeast,Middle Atlantic,Women,60,60,39
Age,AGE,PA,Northeast,Middle Atlantic,18-29,12,17,83
Age,AGE,PA,Northeast,Middle Atlantic,30-44,24,47,53
Age,AGE,PA,Northeast,Middle Atlantic,45-64,41,65,34
Age,AGE,PA,Northeast,Middle Atlantic,65 and older,23,67,31
Age,AGE65,PA,Northeast,Middle Atlantic,18-24,6,N/A,N/A
Age,AGE65,PA,Northeast,Middle Atlantic,25-29,6,N/A,N/A
Age,AGE65,PA,Northeast,Middle Atlantic,30-39,16,43,57
Age,AGE65,PA,Northeast,Middle Atlantic,40-49,17,59,40
Age,AGE65,PA,Northeast,Middle Atlantic,50-64,31,66,33
Age,AGE65,PA,Northeast,Middle Atlantic,65 and older,23,67,31
Age,AGE45,PA,Northeast,Middle Atlantic,18-44,36,37,63
Age,AGE45,PA,Northeast,Middle Atlantic,45 and older,64,66,33
Race,RACE,PA,Northeast,Middle Atlantic,White,68,51,47
Race,RACE,PA,Northeast,Middle Atlantic,Black,19,70,30
Race,RACE,PA,Northeast,Middle Atlantic,Latino,10,N/A,N/A
Race,RACE,PA,Northeast,Middle Atlantic,Asian,1,N/A,N/A
Race,RACE,PA,Northeast,Middle Atlantic,Other race,2,N/A,N/A
Race,RACE2B,PA,Northeast,Middle Atlantic,White,68,51,47
Race,RACE2B,PA,Northeast,Middle Atlantic,Non-white,32,64,36
Education,EDUC12R,PA,Northeast,Middle Atlantic,High school or less,23,58,41
Education,EDUC12R,PA,Northeast,Middle Atlantic,Some college,32,52,47
Education,EDUC12R,PA,Northeast,Middle Atlantic,College graduate,24,53,46
Education,EDUC12R,PA,Northeast,Middle Atlantic,Postgraduate,21,61,39
Are you a college graduate?,EDUCCOLL,PA,Northeast,Middle Atlantic,Yes,45,56,43
Are you a college graduate?,EDUCCOLL,PA,Northeast,Middle Atlantic,No,55,55,45
Education and race,EDUCWHITE,PA,Northeast,Middle Atlantic,White college graduates,35,53,46
