Question,Answer,Percentage of Electorate,Clinton,Sanders
Gender,,,,
,Men,39,68,32
,Women,61,79,21
Age,,,,
,17-29,15,46,54
,30-44,20,75,25
,45-64,47,77,22
,65 and older,19,88,11
Age,,,,
,17-24,7,40,60
,25-29,8,52,48
,30-39,13,70,30
,40-49,16,79,21
,50-64,38,78,22
,65 and older,19,88,11
Age,,,,
,17-44 year olds,35,63,37
,45 and older,65,81,19
Race,,,,
,White,35,54,46
,Black,61,86,14
,Latino,2,N/A,N/A
,Asian,1,N/A,N/A
,Other race,1,N/A,N/A
Race,,,,
,White,35,54,46
,Non-white,65,85,14
Race by gender,,,,
,White men,14,44,56
,White women,21,60,40
,Black men,24,82,18
,Black women,37,89,11
,Latino men,1,N/A,N/A
,Latino women,1,N/A,N/A
,Others,2,N/A,N/A
Education,,,,
,High school or less,23,86,14
,Some college,37,71,29
,College graduate,24,70,30
,Postgraduate,16,70,30
Are you a college graduate?,,,,
,Yes,40,70,30
,No,60,77,23
Education and race,,,,
,White college graduates,21,52,48
,Whites no degree,15,57,43
,Non-whites college grads,20,89,11
,Non-whites no degree,44,83,16
Income,,,,
,Less than $30K,33,81,19
,$30K-50K,28,71,29
,$50K-100K,24,66,33
,$100K-200K,13,70,30
,$200K or more,2,N/A,N/A
Income,,,,
,Under $50K,61,76,23
,$50K or More,39,68,32
Income,,,,
,Under $100K,85,74,26
,$100K or more,15,70,30
Income,,,,
,Under $50K,61,76,23
,$50K-$100K,24,66,33
,$100K or more,15,70,30
Ever voted in a Democratic presidential primary?,,,,
,Voted before,85,82,18
,First-time voter,13,37,63
Party ID,,,,
,Democrats,82,80,20
,Republicans,3,N/A,N/A
,Independents,16,46,53
Ideology,,,,
,Very liberal,23,70,30
,Somewhat liberal,30,70,30
,Moderate,35,78,21
,Conservative,11,72,28
Ideology,,,,
,Liberal,54,70,30
,Moderate,35,78,21
,Conservative,11,72,28
Ideology ,,,,
,Liberal,54,70,30
,Moderate/Conservative,46,77,23
Marital status,,,,
,Married,52,72,27
,Unmarried,48,73,27
Marital status and gender,,,,
,Married men,24,64,36
,Married women,28,80,20
,Unmarried men,14,N/A,N/A
,Unmarried women,34,75,25
Attend religious services:,,,,
,More than once a week,27,88,11
,Once a week,26,84,16
,A few times a month,16,74,26
,A few times a year,19,65,34
,Never,11,N/A,N/A
Attend religious services:,,,,
,Weekly,54,86,14
,Occasionally,35,69,30
