question,pollname,state,region,subregion,answer,percent,clinton,sanders
Gender,SEX,TX,South,West South Central,Men,42,61,38
Gender,SEX,TX,South,West South Central,Women,58,70,28
Age,AGE,TX,South,West South Central,18-29,20,40,59
Age,AGE,TX,South,West South Central,30-44,22,58,40
Age,AGE,TX,South,West South Central,45-64,40,75,24
Age,AGE,TX,South,West South Central,65 and older,18,87,12
Age,AGE65,TX,South,West South Central,18-24,12,36,62
Age,AGE65,TX,South,West South Central,25-29,8,45,55
Age,AGE65,TX,South,West South Central,30-39,14,55,43
Age,AGE65,TX,South,West South Central,40-49,18,68,32
Age,AGE65,TX,South,West South Central,50-64,30,76,21
Age,AGE65,TX,South,West South Central,65 and older,18,87,12
Age,AGE45,TX,South,West South Central,18-44,42,50,49
Age,AGE45,TX,South,West South Central,45 and older,58,78,20
Race,RACE,TX,South,West South Central,White,43,57,41
Race,RACE,TX,South,West South Central,Black,19,83,15
Race,RACE,TX,South,West South Central,Latino,32,71,29
Race,RACE,TX,South,West South Central,Asian,3,N/A,N/A
Race,RACE,TX,South,West South Central,Other race,4,N/A,N/A
Race,RACE2B,TX,South,West South Central,White,43,57,41
Race,RACE2B,TX,South,West South Central,Non-white,57,73,25
Race by gender,SEXBYRACE,TX,South,West South Central,White men,19,49,49
Race by gender,SEXBYRACE,TX,South,West South Central,White women,24,63,35
Race by gender,SEXBYRACE,TX,South,West South Central,Black men,6,79,20
Race by gender,SEXBYRACE,TX,South,West South Central,Black women,12,86,13
Race by gender,SEXBYRACE,TX,South,West South Central,Latino men,14,69,30
Race by gender,SEXBYRACE,TX,South,West South Central,Latino women,17,72,27
Race by gender,SEXBYRACE,TX,South,West South Central,Others,7,N/A,N/A
Education,EDUC12R,TX,South,West South Central,High school or less,14,76,22
Education,EDUC12R,TX,South,West South Central,Some college,34,64,35
Education,EDUC12R,TX,South,West South Central,College graduate,33,65,33
Education,EDUC12R,TX,South,West South Central,Postgraduate,19,66,34
Are you a college graduate?,EDUCCOLL,TX,South,West South Central,Yes,51,65,33
Are you a college graduate?,EDUCCOLL,TX,South,West South Central,No,49,67,31
Education and race,EDUCWHITE,TX,South,West South Central,White college graduates,26,59,39
Education and race,EDUCWHITE,TX,South,West South Central,Whites no degree,17,53,46
Education and race,EDUCWHITE,TX,South,West South Central,Non-whites college grads,25,71,28
Education and race,EDUCWHITE,TX,South,West South Central,Non-whites no degree,32,75,24
Income,INCOME16,TX,South,West South Central,Less than $30K,18,72,28
Income,INCOME16,TX,South,West South Central,$30K-50K,20,61,38
Income,INCOME16,TX,South,West South Central,$50K-100K,34,64,33
Income,INCOME16,TX,South,West South Central,$100K-200K,19,67,33
Income,INCOME16,TX,South,West South Central,$200K or more,8,72,26
Income,INC50K,TX,South,West South Central,Under $50K,38,66,33
Income,INC50K,TX,South,West South Central,$50K or more,62,66,32
Income,INC100K,TX,South,West South Central,Under $100K,73,65,33
