question,pollname,state,region,subregion,answer,percent,clinton,sanders
Gender,SEX,VA,South,South Atlantic,Men,43,57,42
Gender,SEX,VA,South,South Atlantic,Women,57,70,30
Age,XAGE,VA,South,South Atlantic,17-29,16,30,69
Age,XAGE,VA,South,South Atlantic,30-44,25,57,43
Age,XAGE,VA,South,South Atlantic,45-64,37,72,28
Age,XAGE,VA,South,South Atlantic,65 and older,22,85,15
Age,XAGE65,VA,South,South Atlantic,17-24,10,26,72
Age,XAGE65,VA,South,South Atlantic,25-29,6,N/A,N/A
Age,XAGE65,VA,South,South Atlantic,30-39,15,52,48
Age,XAGE65,VA,South,South Atlantic,40-49,18,67,33
Age,XAGE65,VA,South,South Atlantic,50-64,28,73,27
Age,XAGE65,VA,South,South Atlantic,65 and older,22,85,15
Age,XAGE45,VA,South,South Atlantic,17-44 year olds,41,46,53
Age,XAGE45,VA,South,South Atlantic,45 and older,59,77,23
Race,RACE,VA,South,South Atlantic,White,63,57,42
Race,RACE,VA,South,South Atlantic,Black,26,84,16
Race,RACE,VA,South,South Atlantic,Latino,7,N/A,N/A
Race,RACE,VA,South,South Atlantic,Asian,2,N/A,N/A
Race,RACE,VA,South,South Atlantic,Other race,3,N/A,N/A
Race,RACE2B,VA,South,South Atlantic,White,63,57,42
Race,RACE2B,VA,South,South Atlantic,Non-white,37,76,24
Race by gender,SEXBYRACE,VA,South,South Atlantic,White men,28,48,50
Race by gender,SEXBYRACE,VA,South,South Atlantic,White women,35,64,36
Race by gender,SEXBYRACE,VA,South,South Atlantic,Black men,10,81,19
Race by gender,SEXBYRACE,VA,South,South Atlantic,Black women,16,85,15
Race by gender,SEXBYRACE,VA,South,South Atlantic,Latino men,3,N/A,N/A
Race by gender,SEXBYRACE,VA,South,South Atlantic,Latino women,4,N/A,N/A
Race by gender,SEXBYRACE,VA,South,South Atlantic,Others,4,N/A,N/A
Education,EDUC12R,VA,South,South Atlantic,High school or less,11,67,33
Education,EDUC12R,VA,South,South Atlantic,Some college,25,61,37
Education,EDUC12R,VA,South,South Atlantic,College graduate,29,57,43
Education,EDUC12R,VA,South,South Atlantic,Postgraduate,35,69,30
Are you a college graduate?,EDUCCOLL,VA,South,South Atlantic,Yes,64,64,36
Are you a college graduate?,EDUCCOLL,VA,South,South Atlantic,No,36,63,36
Education and race,EDUCWHITE,VA,South,South Atlantic,White college graduates,46,59,41
Education and race,EDUCWHITE,VA,South,South Atlantic,Whites no degree,18,51,46
Education and race,EDUCWHITE,VA,South,South Atlantic,Non-whites college grads,18,76,24
Education and race,EDUCWHITE,VA,South,South Atlantic,Non-whites no degree,17,75,25
Income,INCOME16,VA,South,South Atlantic,Less than $30K,12,57,43
Income,INCOME16,VA,South,South Atlantic,$30K-50K,16,62,38
Income,INCOME16,VA,South,South Atlantic,$50K-100K,30,61,38
Income,INCOME16,VA,South,South Atlantic,$100K-200K,28,69,31
Income,INCOME16,VA,South,South Atlantic,$200K or more,13,67,33
Income,INC50K,VA,South,South Atlantic,Under $50K,29,60,40
Income,INC50K,VA,South,South Atlantic,$50K or More,71,65,35
Income,INC100K,VA,South,South Atlantic,Under $100K,59,60,39
Income,INC100K,VA,South,South Atlantic,$100K or more,41,68,32
Income,INCOME3,VA,South,South Atlantic,Under $50K,29,60,40
Income,INCOME3,VA,South,South Atlantic,$50K-$100K,30,61,38
Income,INCOME3,VA,South,South Atlantic,$100K or more,41,68,32
Ever voted in a Democratic presidential primary?,PREVPRIDEM,VA,South,South Atlantic,Voted before,77,70,30
Ever voted in a Democratic presidential primary?,PREVPRIDEM,VA,South,South Atlantic,First-time voter,23,45,53
Party ID,PARTY,VA,South,South Atlantic,Democrats,76,71,29
Party ID,PARTY,VA,South,South Atlantic,Republicans,3,N/A,N/A
Party ID,PARTY,VA,South,South Atlantic,Independents,22,42,58
Ideology,PHIL4,VA,South,South Atlantic,Very liberal,29,58,42
Ideology,PHIL4,VA,South,South Atlantic,Somewhat liberal,39,61,39
Ideology,PHIL4,VA,South,South Atlantic,Moderate,29,69,30
Ideology,PHIL4,VA,South,South Atlantic,Conservative,3,N/A,N/A
Ideology,PHIL3X,VA,South,South Atlantic,Liberal,68,60,40
Ideology,PHIL3X,VA,South,South Atlantic,Moderate,29,69,30
Ideology,PHIL3X,VA,South,South Atlantic,Conservative,3,N/A,N/A
Ideology ,PHIL2D,VA,South,South Atlantic,Liberal,68,60,40
Ideology ,PHIL2D,VA,South,South Atlantic,Moderate/Conservative,32,70,29
Attend religious services:,ATTEND,VA,South,South Atlantic,More than once a week,12,N/A,N/A
Attend religious services:,ATTEND,VA,South,South Atlantic,Once a week,21,69,31
Attend religious services:,ATTEND,VA,South,South Atlantic,A few times a month,12,N/A,N/A
Attend religious services:,ATTEND,VA,South,South Atlantic,A few times a year,26,62,38
Attend religious services:,ATTEND,VA,South,South Atlantic,Never,28,54,46
Attend religious services:,ATTEND2,VA,South,South Atlantic,Weekly,33,74,26
Attend religious services:,ATTEND2,VA,South,South Atlantic,Occasionally,38,63,36
Attend religious services:,ATTEND2,VA,South,South Atlantic,Never,28,54,46
Most important issue,ISSDEM16,VA,South,South Atlantic,Health care,18,73,27
Most important issue,ISSDEM16,VA,South,South Atlantic,Economy/Jobs,40,67,32
Most important issue,ISSDEM16,VA,South,South Atlantic,Terrorism,9,80,20
Most important issue,ISSDEM16,VA,South,South Atlantic,Income inequality,31,48,51
Top candidate quality,QLT16DEMPRI,VA,South,South Atlantic,Electability,16,86,14
Top candidate quality,QLT16DEMPRI,VA,South,South Atlantic,Cares,23,44,56
Top candidate quality,QLT16DEMPRI,VA,South,South Atlantic,Honest,24,21,78
Top candidate quality,QLT16DEMPRI,VA,South,South Atlantic,Experience,36,95,5
Who shares your values?,VALUESDEM16,VA,South,South Atlantic,Only Clinton,19,100,0
Who shares your values?,VALUESDEM16,VA,South,South Atlantic,Only Sanders,18,2,98
Who shares your values?,VALUESDEM16,VA,South,South Atlantic,Both,57,70,29
