question,pollname,state,region,subregion,answer,percent,clinton,sanders
Gender,SEX,WI,Midwest,East North Central,Men,43,35,64
Gender,SEX,WI,Midwest,East North Central,Women,57,49,50
Age,AGE,WI,Midwest,East North Central,18-29,19,18,82
Age,AGE,WI,Midwest,East North Central,30-44,24,33,66
Age,AGE,WI,Midwest,East North Central,45-64,39,54,46
Age,AGE,WI,Midwest,East North Central,65 and older,18,62,37
Age,AGE65,WI,Midwest,East North Central,18-24,11,16,84
Age,AGE65,WI,Midwest,East North Central,25-29,8,20,79
Age,AGE65,WI,Midwest,East North Central,30-39,17,31,69
Age,AGE65,WI,Midwest,East North Central,40-49,15,44,56
Age,AGE65,WI,Midwest,East North Central,50-64,30,55,44
Age,AGE65,WI,Midwest,East North Central,65 and older,18,62,37
Age,AGE45,WI,Midwest,East North Central,18-44,43,26,73
Age,AGE45,WI,Midwest,East North Central,45 and older,57,56,43
Race,RACE,WI,Midwest,East North Central,White,83,40,59
Race,RACE,WI,Midwest,East North Central,Black,10,69,31
Race,RACE,WI,Midwest,East North Central,Latino,3,N/A,N/A
Race,RACE,WI,Midwest,East North Central,Asian,2,N/A,N/A
Race,RACE,WI,Midwest,East North Central,Other race,2,N/A,N/A
Race,RACE2B,WI,Midwest,East North Central,White,83,40,59
Race,RACE2B,WI,Midwest,East North Central,Non-white,17,57,43
Education,EDUC12R,WI,Midwest,East North Central,High school or less,13,50,49
Education,EDUC12R,WI,Midwest,East North Central,Some college,35,43,57
Education,EDUC12R,WI,Midwest,East North Central,College graduate,29,37,63
Education,EDUC12R,WI,Midwest,East North Central,Postgraduate,23,47,53
Are you a college graduate?,EDUCCOLL,WI,Midwest,East North Central,Yes,52,41,58
Are you a college graduate?,EDUCCOLL,WI,Midwest,East North Central,No,48,45,55
Education and race,EDUCWHITE,WI,Midwest,East North Central,White college graduates,45,40,60
Education and race,EDUCWHITE,WI,Midwest,East North Central,Whites no degree,38,41,59
Education and race,EDUCWHITE,WI,Midwest,East North Central,Non-whites college grads,7,53,47
Education and race,EDUCWHITE,WI,Midwest,East North Central,Non-whites no degree,10,59,41
Income,INCOME16,WI,Midwest,East North Central,Less than $30K,19,41,58
Income,INCOME16,WI,Midwest,East North Central,$30K-50K,19,46,54
Income,INCOME16,WI,Midwest,East North Central,$50K-100K,36,39,61
Income,INCOME16,WI,Midwest,East North Central,$100K-200K,20,46,54
Income,INCOME16,WI,Midwest,East North Central,$200K or more,6,N/A,N/A
Income,INC50K,WI,Midwest,East North Central,Under $50K,37,43,56
Income,INC50K,WI,Midwest,East North Central,$50K or more,63,42,58
Income,INC100K,WI,Midwest,East North Central,Under $100K,74,41,59
