Gender,SEX,AL,South,East South Central,Men,40,73,24
Gender,SEX,AL,South,East South Central,Women,60,80,17
Age,AGE,AL,South,East South Central,18-29,14,52,40
Age,AGE,AL,South,East South Central,30-44,25,77,21
Age,AGE,AL,South,East South Central,45-64,39,82,15
Age,AGE,AL,South,East South Central,65 and older,22,85,13
Age,AGE65,AL,South,East South Central,18-24,7,N/A,N/A
Age,AGE65,AL,South,East South Central,25-29,7,N/A,N/A
Age,AGE65,AL,South,East South Central,30-39,17,76,23
Age,AGE65,AL,South,East South Central,40-49,19,78,18
Age,AGE65,AL,South,East South Central,50-64,29,83,14
Age,AGE65,AL,South,East South Central,65 and older,22,85,13
Age,AGE45,AL,South,East South Central,18-44,39,68,28
Age,AGE45,AL,South,East South Central,45 and older,61,83,14
Race,RACE,AL,South,East South Central,White,40,59,38
Race,RACE,AL,South,East South Central,Black,54,91,6
Race,RACE,AL,South,East South Central,Latino,1,N/A,N/A
Race,RACE,AL,South,East South Central,Asian,1,N/A,N/A
Race,RACE,AL,South,East South Central,Other race,4,N/A,N/A
Race,RACE2B,AL,South,East South Central,White,40,59,38
Race,RACE2B,AL,South,East South Central,Non-white,60,89,7
Race by gender,SEXBYRACE,AL,South,East South Central,White men,20,60,37
Race by gender,SEXBYRACE,AL,South,East South Central,White women,20,58,39
Race by gender,SEXBYRACE,AL,South,East South Central,Black men,17,85,10
Race by gender,SEXBYRACE,AL,South,East South Central,Black women,37,93,5
Race by gender,SEXBYRACE,AL,South,East South Central,Latino men,0,N/A,N/A
Race by gender,SEXBYRACE,AL,South,East South Central,Latino women,1,N/A,N/A
Race by gender,SEXBYRACE,AL,South,East South Central,Others,5,N/A,N/A
Education,EDUC12R,AL,South,East South Central,High school or less,21,85,11
Education,EDUC12R,AL,South,East South Central,Some college,28,75,22
Education,EDUC12R,AL,South,East South Central,College graduate,27,75,24
Education,EDUC12R,AL,South,East South Central,Postgraduate,24,78,20
Are you a college graduate?,EDUCCOLL,AL,South,East South Central,Yes,51,76,22
Are you a college graduate?,EDUCCOLL,AL,South,East South Central,No,49,79,17
Education and race,EDUCWHITE,AL,South,East South Central,White college graduates,26,64,35
Education and race,EDUCWHITE,AL,South,East South Central,Whites no degree,14,N/A,N/A
Education and race,EDUCWHITE,AL,South,East South Central,Non-whites college grads,26,89,10
Education and race,EDUCWHITE,AL,South,East South Central,Non-whites no degree,35,91,6
Income,INCOME16,AL,South,East South Central,Less than $30K,31,84,12
Income,INCOME16,AL,South,East South Central,$30K-50K,23,74,22
Income,INCOME16,AL,South,East South Central,$50K-100K,25,71,27
Income,INCOME16,AL,South,East South Central,$100K-200K,14,80,19
Income,INCOME16,AL,South,East South Central,$200K or more,5,N/A,N/A
Income,INC50K,AL,South,East South Central,Under $50K,55,80,17
Income,INC50K,AL,South,East South Central,$50K or More,45,76,23
Income,INC100K,AL,South,East South Central,Under $100K,80,77,20
Income,INC100K,AL,South,East South Central,$100K or more,20,82,18
Income,INCOME3,AL,South,East South Central,Under $50K,55,80,17
Income,INCOME3,AL,South,East South Central,$50K-$100K,25,71,27
Income,INCOME3,AL,South,East South Central,$100K or more,20,82,18
Ever voted in a Democratic presidential primary?,PREVPRIDEM,AL,South,East South Central,Voted before,87,84,14
Ever voted in a Democratic presidential primary?,PREVPRIDEM,AL,South,East South Central,First-time voter,12,N/A,N/A
Party ID,PARTY,AL,South,East South Central,Democrats,77,85,12
Party ID,PARTY,AL,South,East South Central,Republicans,3,N/A,N/A
Party ID,PARTY,AL,South,East South Central,Independents,20,52,44
Ideology,PHIL4,AL,South,East South Central,Very liberal,27,76,20
Ideology,PHIL4,AL,South,East South Central,Somewhat liberal,29,76,23
Ideology,PHIL4,AL,South,East South Central,Moderate,32,82,17
Ideology,PHIL4,AL,South,East South Central,Conservative,11,N/A,N/A
Ideology,PHIL3X,AL,South,East South Central,Liberal,57,76,22
Ideology,PHIL3X,AL,South,East South Central,Moderate,32,82,17
Ideology,PHIL3X,AL,South,East South Central,Conservative,11,N/A,N/A
Ideology ,PHIL2D,AL,South,East South Central,Liberal,57,76,22
Ideology ,PHIL2D,AL,South,East South Central,Moderate/Conservative,43,81,16
Union household?,UNIONHH12,AL,South,East South Central,Yes,16,N/A,N/A
Union household?,UNIONHH12,AL,South,East South Central,No,84,78,20
Attend religious services:,ATTEND,AL,South,East South Central,More than once a week,30,91,7
Attend religious services:,ATTEND,AL,South,East South Central,Once a week,28,82,13
Attend religious services:,ATTEND,AL,South,East South Central,A few times a month,14,N/A,N/A
Attend religious services:,ATTEND,AL,South,East South Central,A few times a year,14,N/A,N/A
Attend religious services:,ATTEND,AL,South,East South Central,Never,13,N/A,N/A
Attend religious services:,ATTEND2,AL,South,East South Central,Weekly,58,86,10
Attend religious services:,ATTEND2,AL,South,East South Central,Occasionally,28,74,24
Attend religious services:,ATTEND2,AL,South,East South Central,Never,13,N/A,N/A
Most important issue,ISSDEM16,AL,South,East South Central,Health care,23,80,17
Most important issue,ISSDEM16,AL,South,East South Central,Economy/Jobs,40,80,18
Most important issue,ISSDEM16,AL,South,East South Central,Terrorism,10,N/A,N/A
Most important issue,ISSDEM16,AL,South,East South Central,Income inequality,22,70,29
Top candidate quality,QLT16DEMPRI,AL,South,East South Central,Electability,14,92,3
Top candidate quality,QLT16DEMPRI,AL,South,East South Central,Cares,25,70,28
Top candidate quality,QLT16DEMPRI,AL,South,East South Central,Honest,24,59,37
Top candidate quality,QLT16DEMPRI,AL,South,East South Central,Experience,35,91,7
Who shares your values?,VALUESDEM16,AL,South,East South Central,Only Clinton,43,96,2
Who shares your values?,VALUESDEM16,AL,South,East South Central,Only Sanders,10,N/A,N/A
