question,pollname,state,region,subregion,answer,percent,dem,rep
Vote by Gender,SEX,AZ,West,Mountain,Men,49,40,57
Vote by Gender,SEX,AZ,West,Mountain,Women,51,46,53
Vote by Age,AGE,AZ,West,Mountain,18-29,26,63,36
Vote by Age,AGE,AZ,West,Mountain,30-44,29,37,59
Vote by Age,AGE,AZ,West,Mountain,45-64,32,38,61
Vote by Age,AGE,AZ,West,Mountain,65 and Older,12,29,71
Vote by Age,AGE65,AZ,West,Mountain,18-24,13,66,32
Vote by Age,AGE65,AZ,West,Mountain,25-29,13,59,39
Vote by Age,AGE65,AZ,West,Mountain,30-39,20,37,58
Vote by Age,AGE65,AZ,West,Mountain,40-49,19,40,58
Vote by Age,AGE65,AZ,West,Mountain,50-64,23,36,64
Vote by Age,AGE65,AZ,West,Mountain,65 and Older,12,29,71
Vote by Race,RACE,AZ,West,Mountain,White,74,32,66
Vote by Race,RACE,AZ,West,Mountain,African-American,4,N/A,N/A
Vote by Race,RACE,AZ,West,Mountain,Latino,18,74,25
Vote by Race,RACE,AZ,West,Mountain,Asian,2,N/A,N/A
Vote by Race,RACE,AZ,West,Mountain,Other,2,N/A,N/A
Vote by Gender and Race,SEXBYRACE,AZ,West,Mountain,White Men,37,30,67
Vote by Gender and Race,SEXBYRACE,AZ,West,Mountain,White Women,37,35,65
Vote by Gender and Race,SEXBYRACE,AZ,West,Mountain,Black Men,2,N/A,N/A
Vote by Gender and Race,SEXBYRACE,AZ,West,Mountain,Black Women,2,N/A,N/A
Vote by Gender and Race,SEXBYRACE,AZ,West,Mountain,Latino Men,8,71,27
Vote by Gender and Race,SEXBYRACE,AZ,West,Mountain,Latino Women,10,77,22
Vote by Gender and Race,SEXBYRACE,AZ,West,Mountain,All Others,4,N/A,N/A
Vote by Ideology,PHIL3,AZ,West,Mountain,Liberal,19,86,12
Vote by Ideology,PHIL3,AZ,West,Mountain,Moderate,42,51,46
Vote by Ideology,PHIL3,AZ,West,Mountain,Conservative,39,12,87
Vote by Party ID,PARTY,AZ,West,Mountain,Democratic,26,87,12
Vote by Party ID,PARTY,AZ,West,Mountain,Republican,35,7,93
Vote by Party ID,PARTY,AZ,West,Mountain,Independent,39,45,51
Vote by Education,EDUC10,AZ,West,Mountain,No High School,2,N/A,N/A
Vote by Education,EDUC10,AZ,West,Mountain,High School Graduate,19,46,54
Vote by Education,EDUC10,AZ,West,Mountain,Some College,36,42,56
Vote by Education,EDUC10,AZ,West,Mountain,College Graduate,29,36,63
Vote by Education,EDUC10,AZ,West,Mountain,Postgraduate,15,54,42
Are You a College Graduate?,EDUCCOLL,AZ,West,Mountain,Yes,44,42,56
Are You a College Graduate?,EDUCCOLL,AZ,West,Mountain,No,56,44,55
Did You Attend College?,EDUCHS,AZ,West,Mountain,Yes,80,42,56
Did You Attend College?,EDUCHS,AZ,West,Mountain,No,20,46,53
Vote by Income,INCOME3,AZ,West,Mountain,Less Than $50K,45,47,51
Vote by Income,INCOME3,AZ,West,Mountain,$50-100K,33,41,57
Vote by Income,INCOME3,AZ,West,Mountain,$100K or More,23,43,56
Vote by Income,INC50K,AZ,West,Mountain,Less Than $50K,45,47,51
Vote by Income,INC50K,AZ,West,Mountain,$50K or More,55,42,56
Vote by Income,INC100K,AZ,West,Mountain,Less Than $100K,77,44,54
Vote by Income,INC100K,AZ,West,Mountain,$100K or More,23,43,56
How Often Do You Attend Religious Services?,ATTEND,AZ,West,Mountain,More Than Weekly,10,N/A,N/A
How Often Do You Attend Religious Services?,ATTEND,AZ,West,Mountain,Weekly,23,N/A,N/A
How Often Do You Attend Religious Services?,ATTEND,AZ,West,Mountain,Monthly,12,N/A,N/A
How Often Do You Attend Religious Services?,ATTEND,AZ,West,Mountain,Few Times a Year,29,N/A,N/A
How Often Do You Attend Religious Services?,ATTEND,AZ,West,Mountain,Never,27,N/A,N/A
How Often Do You Attend Religious Services?,ATTEND2,AZ,West,Mountain,Weekly,32,17,80
How Often Do You Attend Religious Services?,ATTEND2,AZ,West,Mountain,Occasionally,40,36,63
How Often Do You Attend Religious Services?,ATTEND2,AZ,West,Mountain,Never,27,N/A,N/A
Vote by Religion,REL5,AZ,West,Mountain,Protestant,53,29,70
Vote by Religion,REL5,AZ,West,Mountain,Catholic,20,50,50
Vote by Religion,REL5,AZ,West,Mountain,Jewish,1,N/A,N/A
Vote by Religion,REL5,AZ,West,Mountain,Other,7,N/A,N/A
Vote by Religion,REL5,AZ,West,Mountain,None,19,N/A,N/A
Vote by Religion and Race,WHITEREL,AZ,West,Mountain,White Protestant,44,20,79
Vote by Religion and Race,WHITEREL,AZ,West,Mountain,White Catholic,13,N/A,N/A
Vote by Religion and Race,WHITEREL,AZ,West,Mountain,White Jewish,1,N/A,N/A
Vote by Religion and Race,WHITEREL,AZ,West,Mountain,Whites/Other Religion,4,N/A,N/A
Vote by Religion and Race,WHITEREL,AZ,West,Mountain,Whites/No Religion,15,N/A,N/A
Vote by Religion and Race,WHITEREL,AZ,West,Mountain,Non-white,24,71,27
Vote by Religion and Church Attendance,ATTREL,AZ,West,Mountain,Protestant/Attend Weekly,8,N/A,N/A
Vote by Religion and Church Attendance,ATTREL,AZ,West,Mountain,Protestant/Not Weekly ,15,N/A,N/A
Vote by Religion and Church Attendance,ATTREL,AZ,West,Mountain,Catholic/Attend Weekly,8,N/A,N/A
Vote by Religion and Church Attendance,ATTREL,AZ,West,Mountain,Catholic/Not Weekly,11,N/A,N/A
Vote by Religion and Church Attendance,ATTREL,AZ,West,Mountain,All Others,58,45,53
Are You White Born-Again Christian?,WHTEVANG,AZ,West,Mountain,Yes,21,N/A,N/A
Are You White Born-Again Christian?,WHTEVANG,AZ,West,Mountain,No,79,43,56
Abortion Should Be...,ABORTION,AZ,West,Mountain,Always Legal,26,N/A,N/A
Abortion Should Be...,ABORTION,AZ,West,Mountain,Mostly Legal,37,43,54
Abortion Should Be...,ABORTION,AZ,West,Mountain,Mostly Illegal,27,N/A,N/A
Abortion Should Be...,ABORTION,AZ,West,Mountain,Always Illegal,8,N/A,N/A
Abortion Should Be...,ABORT2,AZ,West,Mountain,Legal,64,51,48
Abortion Should Be...,ABORT2,AZ,West,Mountain,Illegal,35,10,89
Opinion of Tea Party Movement,TEAPARTY12,AZ,West,Mountain,Support,21,N/A,N/A
Opinion of Tea Party Movement,TEAPARTY12,AZ,West,Mountain,Neutral,50,28,71
