question,pollname,state,region,subregion,answer,percent,dem,rep
Vote by Gender,SEX,CT,Northeast,New England,Men,47,51,47
Vote by Gender,SEX,CT,Northeast,New England,Women,53,63,36
Vote by Age,AGE,CT,Northeast,New England,18-29,13,66,30
Vote by Age,AGE,CT,Northeast,New England,30-44,24,55,44
Vote by Age,AGE,CT,Northeast,New England,45-64,43,58,41
Vote by Age,AGE,CT,Northeast,New England,65 and Older,20,54,46
Vote by Age,AGE65,CT,Northeast,New England,18-24,7,65,32
Vote by Age,AGE65,CT,Northeast,New England,25-29,6,67,29
Vote by Age,AGE65,CT,Northeast,New England,30-39,13,57,42
Vote by Age,AGE65,CT,Northeast,New England,40-49,22,57,42
Vote by Age,AGE65,CT,Northeast,New England,50-64,32,57,42
Vote by Age,AGE65,CT,Northeast,New England,65 and Older,20,54,46
Vote by Race,RACE,CT,Northeast,New England,White,79,51,48
Vote by Race,RACE,CT,Northeast,New England,African-American,11,93,7
Vote by Race,RACE,CT,Northeast,New England,Latino,6,79,20
Vote by Race,RACE,CT,Northeast,New England,Asian,2,N/A,N/A
Vote by Race,RACE,CT,Northeast,New England,Other,1,N/A,N/A
Vote by Gender and Race,SEXBYRACE,CT,Northeast,New England,White Men,38,44,54
Vote by Gender and Race,SEXBYRACE,CT,Northeast,New England,White Women,42,57,42
Vote by Gender and Race,SEXBYRACE,CT,Northeast,New England,Black Men,5,N/A,N/A
Vote by Gender and Race,SEXBYRACE,CT,Northeast,New England,Black Women,6,96,3
Vote by Gender and Race,SEXBYRACE,CT,Northeast,New England,Latino Men,2,N/A,N/A
Vote by Gender and Race,SEXBYRACE,CT,Northeast,New England,Latino Women,4,N/A,N/A
Vote by Gender and Race,SEXBYRACE,CT,Northeast,New England,All Others,4,N/A,N/A
Vote by Ideology,PHIL3,CT,Northeast,New England,Liberal,28,93,6
Vote by Ideology,PHIL3,CT,Northeast,New England,Moderate,47,56,42
Vote by Ideology,PHIL3,CT,Northeast,New England,Conservative,24,19,80
Vote by Party ID,PARTY,CT,Northeast,New England,Democratic,41,94,6
Vote by Party ID,PARTY,CT,Northeast,New England,Republican,26,9,91
Vote by Party ID,PARTY,CT,Northeast,New England,Independent,32,51,46
Vote by Education,EDUC10,CT,Northeast,New England,No High School,2,N/A,N/A
Vote by Education,EDUC10,CT,Northeast,New England,High School Graduate,15,62,37
Vote by Education,EDUC10,CT,Northeast,New England,Some College,24,60,39
Vote by Education,EDUC10,CT,Northeast,New England,College Graduate,31,49,49
Vote by Education,EDUC10,CT,Northeast,New England,Postgraduate,29,60,38
Are You a College Graduate?,EDUCCOLL,CT,Northeast,New England,Yes,59,54,44
Are You a College Graduate?,EDUCCOLL,CT,Northeast,New England,No,41,62,37
Did You Attend College?,EDUCHS,CT,Northeast,New England,Yes,83,56,42
Did You Attend College?,EDUCHS,CT,Northeast,New England,No,17,65,34
Vote by Income,INCOME3,CT,Northeast,New England,Less Than $50K,25,73,25
Vote by Income,INCOME3,CT,Northeast,New England,$50-100K,29,54,45
Vote by Income,INCOME3,CT,Northeast,New England,$100K or More,46,53,46
Vote by Income,INC50K,CT,Northeast,New England,Less Than $50K,25,73,25
Vote by Income,INC50K,CT,Northeast,New England,$50K or More,75,53,46
Vote by Income,INC100K,CT,Northeast,New England,Less Than $100K,54,63,36
Vote by Income,INC100K,CT,Northeast,New England,$100K or More,46,53,46
Vote by Religion,REL5,CT,Northeast,New England,Protestant,34,58,40
Vote by Religion,REL5,CT,Northeast,New England,Catholic,41,49,51
Vote by Religion,REL5,CT,Northeast,New England,Jewish,5,N/A,N/A
Vote by Religion,REL5,CT,Northeast,New England,Other,9,N/A,N/A
Vote by Religion,REL5,CT,Northeast,New England,None,12,76,21
Vote by Religion and Race,WHITEREL,CT,Northeast,New England,White Protestant,23,44,55
Vote by Religion and Race,WHITEREL,CT,Northeast,New England,White Catholic,36,46,53
Vote by Religion and Race,WHITEREL,CT,Northeast,New England,White Jewish,5,N/A,N/A
Vote by Religion and Race,WHITEREL,CT,Northeast,New England,Whites/Other Religion,6,N/A,N/A
Vote by Religion and Race,WHITEREL,CT,Northeast,New England,Whites/No Religion,10,N/A,N/A
Vote by Religion and Race,WHITEREL,CT,Northeast,New England,Non-white,20,84,15
Most Important Issue Facing Country,ISSUE12,CT,Northeast,New England,Foreign Policy,4,N/A,N/A
Most Important Issue Facing Country,ISSUE12,CT,Northeast,New England,Deficit,14,41,57
Most Important Issue Facing Country,ISSUE12,CT,Northeast,New England,Economy,62,55,44
Most Important Issue Facing Country,ISSUE12,CT,Northeast,New England,Health Care,17,81,19
Most Important Candidate Quality,QLT12,CT,Northeast,New England,Shares My Values,29,60,39
Most Important Candidate Quality,QLT12,CT,Northeast,New England,Strong Leader,23,52,48
Most Important Candidate Quality,QLT12,CT,Northeast,New England,Cares About People,20,85,14
Most Important Candidate Quality,QLT12,CT,Northeast,New England,Vision for Future,26,41,57
Biggest Economic Problem Facing People Like You,ECONISS12,CT,Northeast,New England,Housing Market,8,N/A,N/A
Biggest Economic Problem Facing People Like You,ECONISS12,CT,Northeast,New England,Unemployment,47,62,37
Biggest Economic Problem Facing People Like You,ECONISS12,CT,Northeast,New England,Taxes,23,39,59
Biggest Economic Problem Facing People Like You,ECONISS12,CT,Northeast,New England,Rising Prices,21,60,37
Who Is More In Touch With People Like You?,INTOUCH12,CT,Northeast,New England,Obama,58,96,3
Who Is More In Touch With People Like You?,INTOUCH12,CT,Northeast,New England,Romney,38,3,97
Who Would Better Handle Economy?,HANDLEECON12,CT,Northeast,New England,Obama,55,98,1
Who Would Better Handle Economy?,HANDLEECON12,CT,Northeast,New England,Romney,42,6,94
Opinion of Government,GOVTDO10,CT,Northeast,New England,Government Should Do More,52,83,16
Opinion of Government,GOVTDO10,CT,Northeast,New England,Government Doing Too Much,42,27,71
National Economic Conditions,NEC,CT,Northeast,New England,Excellent,2,N/A,N/A
National Economic Conditions,NEC,CT,Northeast,New England,Good,23,93,6
National Economic Conditions,NEC,CT,Northeast,New England,Not So Good,47,64,35
National Economic Conditions,NEC,CT,Northeast,New England,Poor,26,10,87
National Economic Conditions,NEC2,CT,Northeast,New England,Excellent/Good,25,93,6
National Economic Conditions,NEC2,CT,Northeast,New England,Not So Good/Poor,73,45,53
U.S. Economic Conditions Are...,ECONBETT,CT,Northeast,New England,Getting Better,45,93,6
U.S. Economic Conditions Are...,ECONBETT,CT,Northeast,New England,Getting Worse,30,15,82
U.S. Economic Conditions Are...,ECONBETT,CT,Northeast,New England,Staying About the Same,23,45,54
U.S. Economic Conditions Are...,ECONDIR,CT,Northeast,New England,Getting Better,45,93,6
U.S. Economic Conditions Are...,ECONDIR,CT,Northeast,New England,Good and Staying the Same,3,N/A,N/A
U.S. Economic Conditions Are...,ECONDIR,CT,Northeast,New England,Poor and Staying the Same,19,40,60
U.S. Economic Conditions Are...,ECONDIR,CT,Northeast,New England,Getting Worse,30,15,82
Your Family's Financial Situation,FINSIT,CT,Northeast,New England,Better,26,89,10
Your Family's Financial Situation,FINSIT,CT,Northeast,New England,Worse,33,21,77
Your Family's Financial Situation,FINSIT,CT,Northeast,New England,Same,41,71,28
