year,question,pollname,state,region,subregion,answer,percent,dem,rep
2012,Vote by Gender,SEX,MI,Midwest,East North Central,Men,49,50,48
2012,Vote by Gender,SEX,MI,Midwest,East North Central,Women,51,57,42
2012,Vote by Age,AGE,MI,Midwest,East North Central,18-29,19,63,35
2012,Vote by Age,AGE,MI,Midwest,East North Central,30-44,23,56,43
2012,Vote by Age,AGE,MI,Midwest,East North Central,45-64,41,51,49
2012,Vote by Age,AGE,MI,Midwest,East North Central,65 and Older,17,48,52
2012,Vote by Age,AGE65,MI,Midwest,East North Central,18-24,10,65,32
2012,Vote by Age,AGE65,MI,Midwest,East North Central,25-29,9,60,39
2012,Vote by Age,AGE65,MI,Midwest,East North Central,30-39,14,59,39
2012,Vote by Age,AGE65,MI,Midwest,East North Central,40-49,19,51,48
2012,Vote by Age,AGE65,MI,Midwest,East North Central,50-64,32,51,49
2012,Vote by Age,AGE65,MI,Midwest,East North Central,65 and Older,17,48,52
2012,Vote by Race,RACE,MI,Midwest,East North Central,White,77,44,55
2012,Vote by Race,RACE,MI,Midwest,East North Central,African-American,16,95,5
2012,Vote by Race,RACE,MI,Midwest,East North Central,Latino,3,63,34
2012,Vote by Race,RACE,MI,Midwest,East North Central,Asian,2,N/A,N/A
2012,Vote by Race,RACE,MI,Midwest,East North Central,Other,2,N/A,N/A
2012,Vote by Gender and Race,SEXBYRACE,MI,Midwest,East North Central,White Men,38,41,58
2012,Vote by Gender and Race,SEXBYRACE,MI,Midwest,East North Central,White Women,39,47,53
2012,Vote by Gender and Race,SEXBYRACE,MI,Midwest,East North Central,Black Men,7,92,7
2012,Vote by Gender and Race,SEXBYRACE,MI,Midwest,East North Central,Black Women,9,96,3
2012,Vote by Gender and Race,SEXBYRACE,MI,Midwest,East North Central,Latino Men,2,N/A,N/A
2012,Vote by Gender and Race,SEXBYRACE,MI,Midwest,East North Central,Latino Women,1,N/A,N/A
2012,Vote by Gender and Race,SEXBYRACE,MI,Midwest,East North Central,All Others,4,71,28
2012,Vote by Ideology,PHIL3,MI,Midwest,East North Central,Liberal,26,91,7
2012,Vote by Ideology,PHIL3,MI,Midwest,East North Central,Moderate,39,60,39
2012,Vote by Ideology,PHIL3,MI,Midwest,East North Central,Conservative,35,16,83
2012,Vote by Party ID,PARTY,MI,Midwest,East North Central,Democratic,40,95,4
2012,Vote by Party ID,PARTY,MI,Midwest,East North Central,Republican,30,4,96
2012,Vote by Party ID,PARTY,MI,Midwest,East North Central,Independent,30,48,49
2012,Vote by Education,EDUC10,MI,Midwest,East North Central,No High School,3,N/A,N/A
2012,Vote by Education,EDUC10,MI,Midwest,East North Central,High School Graduate,19,59,41
2012,Vote by Education,EDUC10,MI,Midwest,East North Central,Some College,32,54,45
2012,Vote by Education,EDUC10,MI,Midwest,East North Central,College Graduate,27,44,55
2012,Vote by Education,EDUC10,MI,Midwest,East North Central,Postgraduate,19,60,39
2012,Are You a College Graduate?,EDUCCOLL,MI,Midwest,East North Central,Yes,46,51,48
2012,Are You a College Graduate?,EDUCCOLL,MI,Midwest,East North Central,No,54,56,43
2012,Did You Attend College?,EDUCHS,MI,Midwest,East North Central,Yes,78,52,47
2012,Did You Attend College?,EDUCHS,MI,Midwest,East North Central,No,22,60,40
2012,Vote by Income,INCOME3,MI,Midwest,East North Central,Less Than $50K,42,62,36
2012,Vote by Income,INCOME3,MI,Midwest,East North Central,$50-100K,32,49,50
2012,Vote by Income,INCOME3,MI,Midwest,East North Central,$100K or More,26,48,52
2012,Vote by Income,INC50K,MI,Midwest,East North Central,Less Than $50K,42,62,36
2012,Vote by Income,INC50K,MI,Midwest,East North Central,$50K or More,58,48,51
2012,Vote by Income,INC100K,MI,Midwest,East North Central,Less Than $100K,74,57,42
2012,Vote by Income,INC100K,MI,Midwest,East North Central,$100K or More,26,48,52
2012,Vote by Religion,REL5,MI,Midwest,East North Central,Protestant,53,48,51
2012,Vote by Religion,REL5,MI,Midwest,East North Central,Catholic,25,44,55
2012,Vote by Religion,REL5,MI,Midwest,East North Central,Jewish,2,N/A,N/A
2012,Vote by Religion,REL5,MI,Midwest,East North Central,Other,6,N/A,N/A
2012,Vote by Religion,REL5,MI,Midwest,East North Central,None,13,78,19
2012,Vote by Religion and Race,WHITEREL,MI,Midwest,East North Central,White Protestant,38,34,65
2012,Vote by Religion and Race,WHITEREL,MI,Midwest,East North Central,White Catholic,23,41,58
2012,Vote by Religion and Race,WHITEREL,MI,Midwest,East North Central,White Jewish,2,N/A,N/A
2012,Vote by Religion and Race,WHITEREL,MI,Midwest,East North Central,Whites/Other Religion,3,N/A,N/A
