question,pollname,state,region,subregion,answer,percent,dem,rep
Vote by Gender,SEX,MS,South,East South Central,Men,45,40,58
Vote by Gender,SEX,MS,South,East South Central,Women,55,46,53
Vote by Age,AGE,MS,South,East South Central,18-29,19,55,43
Vote by Age,AGE,MS,South,East South Central,30-44,29,44,54
Vote by Age,AGE,MS,South,East South Central,45-64,39,45,55
Vote by Age,AGE,MS,South,East South Central,65 and Older,14,22,78
Vote by Age,AGE65,MS,South,East South Central,18-24,11,N/A,N/A
Vote by Age,AGE65,MS,South,East South Central,25-29,8,N/A,N/A
Vote by Age,AGE65,MS,South,East South Central,30-39,18,47,49
Vote by Age,AGE65,MS,South,East South Central,40-49,21,42,58
Vote by Age,AGE65,MS,South,East South Central,50-64,29,45,54
Vote by Age,AGE65,MS,South,East South Central,65 and Older,14,22,78
Vote by Race,RACE,MS,South,East South Central,White,59,10,89
Vote by Race,RACE,MS,South,East South Central,African-American,36,96,4
Vote by Race,RACE,MS,South,East South Central,Latino,3,N/A,N/A
Vote by Race,RACE,MS,South,East South Central,Asian,0,N/A,N/A
Vote by Race,RACE,MS,South,East South Central,Other,1,N/A,N/A
Vote by Gender and Race,SEXBYRACE,MS,South,East South Central,White Men,28,9,88
Vote by Gender and Race,SEXBYRACE,MS,South,East South Central,White Women,31,11,89
Vote by Gender and Race,SEXBYRACE,MS,South,East South Central,Black Men,15,95,5
Vote by Gender and Race,SEXBYRACE,MS,South,East South Central,Black Women,21,96,3
Vote by Gender and Race,SEXBYRACE,MS,South,East South Central,Latino Men,1,N/A,N/A
Vote by Gender and Race,SEXBYRACE,MS,South,East South Central,Latino Women,3,N/A,N/A
Vote by Gender and Race,SEXBYRACE,MS,South,East South Central,All Others,1,N/A,N/A
Vote by Ideology,PHIL3,MS,South,East South Central,Liberal,15,83,15
Vote by Ideology,PHIL3,MS,South,East South Central,Moderate,34,56,42
Vote by Ideology,PHIL3,MS,South,East South Central,Conservative,51,18,81
Vote by Party ID,PARTY,MS,South,East South Central,Democratic,39,92,8
Vote by Party ID,PARTY,MS,South,East South Central,Republican,43,4,96
Vote by Party ID,PARTY,MS,South,East South Central,Independent,18,30,64
Vote by Education,EDUC10,MS,South,East South Central,No High School,5,N/A,N/A
Vote by Education,EDUC10,MS,South,East South Central,High School Graduate,31,47,52
Vote by Education,EDUC10,MS,South,East South Central,Some College,25,46,54
Vote by Education,EDUC10,MS,South,East South Central,College Graduate,26,38,60
Vote by Education,EDUC10,MS,South,East South Central,Postgraduate,13,33,62
Are You a College Graduate?,EDUCCOLL,MS,South,East South Central,Yes,39,36,61
Are You a College Graduate?,EDUCCOLL,MS,South,East South Central,No,61,47,53
Did You Attend College?,EDUCHS,MS,South,East South Central,Yes,64,40,58
Did You Attend College?,EDUCHS,MS,South,East South Central,No,36,48,51
Vote by Income,INCOME3,MS,South,East South Central,Less Than $50K,52,54,45
Vote by Income,INCOME3,MS,South,East South Central,$50-100K,29,30,68
Vote by Income,INCOME3,MS,South,East South Central,$100K or More,19,23,76
Vote by Income,INC50K,MS,South,East South Central,Less Than $50K,52,54,45
Vote by Income,INC50K,MS,South,East South Central,$50K or More,48,27,71
Vote by Income,INC100K,MS,South,East South Central,Less Than $100K,81,46,53
Vote by Income,INC100K,MS,South,East South Central,$100K or More,19,23,76
How Often Do You Attend Religious Services?,ATTEND,MS,South,East South Central,More Than Weekly,35,30,69
How Often Do You Attend Religious Services?,ATTEND,MS,South,East South Central,Weekly,31,43,57
How Often Do You Attend Religious Services?,ATTEND,MS,South,East South Central,Monthly,15,57,43
How Often Do You Attend Religious Services?,ATTEND,MS,South,East South Central,Few Times a Year,14,N/A,N/A
How Often Do You Attend Religious Services?,ATTEND,MS,South,East South Central,Never,4,N/A,N/A
How Often Do You Attend Religious Services?,ATTEND2,MS,South,East South Central,Weekly,66,36,64
