year,question,pollname,state,region,subregion,answer,percent,dem,rep
2012,Vote by Gender,SEX,NH,Northeast,New England,Men,48,47,51
2012,Vote by Gender,SEX,NH,Northeast,New England,Women,52,58,42
2012,Vote by Age,AGE,NH,Northeast,New England,18-29,19,62,34
2012,Vote by Age,AGE,NH,Northeast,New England,30-44,23,48,50
2012,Vote by Age,AGE,NH,Northeast,New England,45-64,43,49,50
2012,Vote by Age,AGE,NH,Northeast,New England,65 and Older,15,55,45
2012,Vote by Age,AGE65,NH,Northeast,New England,18-24,12,67,30
2012,Vote by Age,AGE65,NH,Northeast,New England,25-29,7,56,42
2012,Vote by Age,AGE65,NH,Northeast,New England,30-39,13,53,45
2012,Vote by Age,AGE65,NH,Northeast,New England,40-49,21,45,54
2012,Vote by Age,AGE65,NH,Northeast,New England,50-64,31,50,49
2012,Vote by Age,AGE65,NH,Northeast,New England,65 and Older,15,55,45
2012,Vote by Race,RACE,NH,Northeast,New England,White,93,51,47
2012,Vote by Race,RACE,NH,Northeast,New England,African-American,2,N/A,N/A
2012,Vote by Race,RACE,NH,Northeast,New England,Latino,3,N/A,N/A
2012,Vote by Race,RACE,NH,Northeast,New England,Asian,1,N/A,N/A
2012,Vote by Race,RACE,NH,Northeast,New England,Other,1,N/A,N/A
2012,Vote by Gender and Race,SEXBYRACE,NH,Northeast,New England,White Men,45,46,52
2012,Vote by Gender and Race,SEXBYRACE,NH,Northeast,New England,White Women,48,56,43
2012,Vote by Gender and Race,SEXBYRACE,NH,Northeast,New England,Black Men,0,N/A,N/A
2012,Vote by Gender and Race,SEXBYRACE,NH,Northeast,New England,Black Women,1,N/A,N/A
2012,Vote by Gender and Race,SEXBYRACE,NH,Northeast,New England,Latino Men,2,N/A,N/A
2012,Vote by Gender and Race,SEXBYRACE,NH,Northeast,New England,Latino Women,1,N/A,N/A
2012,Vote by Gender and Race,SEXBYRACE,NH,Northeast,New England,All Others,2,N/A,N/A
2012,Vote by Ideology,PHIL3,NH,Northeast,New England,Liberal,26,92,6
2012,Vote by Ideology,PHIL3,NH,Northeast,New England,Moderate,44,56,42
2012,Vote by Ideology,PHIL3,NH,Northeast,New England,Conservative,30,12,86
2012,Vote by Party ID,PARTY,NH,Northeast,New England,Democratic,30,96,4
2012,Vote by Party ID,PARTY,NH,Northeast,New England,Republican,27,6,94
2012,Vote by Party ID,PARTY,NH,Northeast,New England,Independent,43,52,45
2012,Vote by Education,EDUC10,NH,Northeast,New England,No High School,3,N/A,N/A
2012,Vote by Education,EDUC10,NH,Northeast,New England,High School Graduate,19,48,50
2012,Vote by Education,EDUC10,NH,Northeast,New England,Some College,27,50,48
2012,Vote by Education,EDUC10,NH,Northeast,New England,College Graduate,29,50,48
2012,Vote by Education,EDUC10,NH,Northeast,New England,Postgraduate,23,60,39
2012,Are You a College Graduate?,EDUCCOLL,NH,Northeast,New England,Yes,51,55,44
2012,Are You a College Graduate?,EDUCCOLL,NH,Northeast,New England,No,49,50,48
2012,Did You Attend College?,EDUCHS,NH,Northeast,New England,Yes,79,53,45
2012,Did You Attend College?,EDUCHS,NH,Northeast,New England,No,21,50,48
2012,Vote by Income,INCOME3,NH,Northeast,New England,Less Than $50K,32,60,38
2012,Vote by Income,INCOME3,NH,Northeast,New England,$50-100K,36,51,47
2012,Vote by Income,INCOME3,NH,Northeast,New England,$100K or More,33,47,51
2012,Vote by Income,INC50K,NH,Northeast,New England,Less Than $50K,32,60,38
2012,Vote by Income,INC50K,NH,Northeast,New England,$50K or More,68,49,49
2012,Vote by Income,INC100K,NH,Northeast,New England,Less Than $100K,67,56,43
2012,Vote by Income,INC100K,NH,Northeast,New England,$100K or More,33,47,51
2012,How Often Do You Attend Religious Services?,ATTEND,NH,Northeast,New England,More Than Weekly,6,N/A,N/A
2012,How Often Do You Attend Religious Services?,ATTEND,NH,Northeast,New England,Weekly,19,38,60
2012,How Often Do You Attend Religious Services?,ATTEND,NH,Northeast,New England,Monthly,9,N/A,N/A
2012,How Often Do You Attend Religious Services?,ATTEND,NH,Northeast,New England,Few Times a Year,33,54,45
2012,How Often Do You Attend Religious Services?,ATTEND,NH,Northeast,New England,Never,30,66,32
2012,How Often Do You Attend Religious Services?,ATTEND2,NH,Northeast,New England,Weekly,25,37,62
2012,How Often Do You Attend Religious Services?,ATTEND2,NH,Northeast,New England,Occasionally,42,51,49
2012,How Often Do You Attend Religious Services?,ATTEND2,NH,Northeast,New England,Never,30,66,32
2012,Vote by Religion,REL5,NH,Northeast,New England,Protestant,34,42,57
2012,Vote by Religion,REL5,NH,Northeast,New England,Catholic,39,46,54
2012,Vote by Religion,REL5,NH,Northeast,New England,Jewish,2,N/A,N/A
2012,Vote by Religion,REL5,NH,Northeast,New England,Other,7,N/A,N/A
2012,Vote by Religion,REL5,NH,Northeast,New England,None,18,71,28
2012,Vote by Religion and Race,WHITEREL,NH,Northeast,New England,White Protestant,31,43,56
2012,Vote by Religion and Race,WHITEREL,NH,Northeast,New England,White Catholic,36,45,54
2012,Vote by Religion and Race,WHITEREL,NH,Northeast,New England,White Jewish,2,N/A,N/A
2012,Vote by Religion and Race,WHITEREL,NH,Northeast,New England,Whites/Other Religion,6,N/A,N/A
2012,Vote by Religion and Race,WHITEREL,NH,Northeast,New England,Whites/No Religion,17,70,29
2012,Vote by Religion and Race,WHITEREL,NH,Northeast,New England,Non-white,8,N/A,N/A
2012,Vote by Religion and Church Attendance,ATTREL,NH,Northeast,New England,Protestant/Attend Weekly,7,N/A,N/A
2012,Vote by Religion and Church Attendance,ATTREL,NH,Northeast,New England,Protestant/Not Weekly ,15,44,56
2012,Vote by Religion and Church Attendance,ATTREL,NH,Northeast,New England,Catholic/Attend Weekly,11,35,64
2012,Vote by Religion and Church Attendance,ATTREL,NH,Northeast,New England,Catholic/Not Weekly,27,50,50
2012,Vote by Religion and Church Attendance,ATTREL,NH,Northeast,New England,All Others,39,64,33
2012,Are You White Born-Again Christian?,WHTEVANG,NH,Northeast,New England,Yes,12,25,73
2012,Are You White Born-Again Christian?,WHTEVANG,NH,Northeast,New England,No,88,55,43
2012,Abortion Should Be...,ABORTION,NH,Northeast,New England,Always Legal,40,76,22
2012,Abortion Should Be...,ABORTION,NH,Northeast,New England,Mostly Legal,32,50,49
2012,Abortion Should Be...,ABORTION,NH,Northeast,New England,Mostly Illegal,18,17,82
2012,Abortion Should Be...,ABORTION,NH,Northeast,New England,Always Illegal,7,N/A,N/A
2012,Abortion Should Be...,ABORT2,NH,Northeast,New England,Legal,72,64,34
