year,question,pollname,state,region,subregion,answer,percent,dem,rep
2012,Vote by Gender,SEX,NV,West,Mountain,Men,47,48,49
2012,Vote by Gender,SEX,NV,West,Mountain,Women,53,57,41
2012,Vote by Age,AGE,NV,West,Mountain,18-29,18,68,30
2012,Vote by Age,AGE,NV,West,Mountain,30-44,28,54,42
2012,Vote by Age,AGE,NV,West,Mountain,45-64,37,49,49
2012,Vote by Age,AGE,NV,West,Mountain,65 and Older,18,44,55
2012,Vote by Age,AGE65,NV,West,Mountain,18-24,10,73,23
2012,Vote by Age,AGE65,NV,West,Mountain,25-29,8,60,40
2012,Vote by Age,AGE65,NV,West,Mountain,30-39,17,53,43
2012,Vote by Age,AGE65,NV,West,Mountain,40-49,19,50,47
2012,Vote by Age,AGE65,NV,West,Mountain,50-64,28,50,47
2012,Vote by Age,AGE65,NV,West,Mountain,65 and Older,18,44,55
2012,Vote by Race,RACE,NV,West,Mountain,White,64,43,56
2012,Vote by Race,RACE,NV,West,Mountain,African-American,9,92,6
2012,Vote by Race,RACE,NV,West,Mountain,Latino,19,71,24
2012,Vote by Race,RACE,NV,West,Mountain,Asian,5,50,47
2012,Vote by Race,RACE,NV,West,Mountain,Other,4,51,46
2012,Vote by Gender and Race,SEXBYRACE,NV,West,Mountain,White Men,29,38,60
2012,Vote by Gender and Race,SEXBYRACE,NV,West,Mountain,White Women,35,46,52
2012,Vote by Gender and Race,SEXBYRACE,NV,West,Mountain,Black Men,4,86,9
2012,Vote by Gender and Race,SEXBYRACE,NV,West,Mountain,Black Women,5,96,4
2012,Vote by Gender and Race,SEXBYRACE,NV,West,Mountain,Latino Men,8,70,26
2012,Vote by Gender and Race,SEXBYRACE,NV,West,Mountain,Latino Women,10,72,21
2012,Vote by Gender and Race,SEXBYRACE,NV,West,Mountain,All Others,9,50,46
2012,Vote by Ideology,PHIL3,NV,West,Mountain,Liberal,24,91,7
2012,Vote by Ideology,PHIL3,NV,West,Mountain,Moderate,42,58,39
2012,Vote by Ideology,PHIL3,NV,West,Mountain,Conservative,35,19,79
2012,Vote by Party ID,PARTY,NV,West,Mountain,Democratic,38,96,4
2012,Vote by Party ID,PARTY,NV,West,Mountain,Republican,28,7,93
2012,Vote by Party ID,PARTY,NV,West,Mountain,Independent,34,43,50
2012,Vote by Education,EDUC10,NV,West,Mountain,No High School,5,73,13
2012,Vote by Education,EDUC10,NV,West,Mountain,High School Graduate,21,60,38
2012,Vote by Education,EDUC10,NV,West,Mountain,Some College,33,50,48
2012,Vote by Education,EDUC10,NV,West,Mountain,College Graduate,30,47,52
2012,Vote by Education,EDUC10,NV,West,Mountain,Postgraduate,12,54,44
2012,Are You a College Graduate?,EDUCCOLL,NV,West,Mountain,Yes,42,49,49
2012,Are You a College Graduate?,EDUCCOLL,NV,West,Mountain,No,58,56,42
2012,Did You Attend College?,EDUCHS,NV,West,Mountain,Yes,75,49,49
2012,Did You Attend College?,EDUCHS,NV,West,Mountain,No,25,63,33
2012,Vote by Income,INCOME3,NV,West,Mountain,Less Than $50K,45,68,29
2012,Vote by Income,INCOME3,NV,West,Mountain,$50-100K,33,47,52
2012,Vote by Income,INCOME3,NV,West,Mountain,$100K or More,22,37,61
2012,Vote by Income,INC50K,NV,West,Mountain,Less Than $50K,45,68,29
2012,Vote by Income,INC50K,NV,West,Mountain,$50K or More,55,43,55
2012,Vote by Income,INC100K,NV,West,Mountain,Less Than $100K,78,59,39
2012,Vote by Income,INC100K,NV,West,Mountain,$100K or More,22,37,61
2012,Vote by Religion,REL5,NV,West,Mountain,Protestant,42,43,57
2012,Vote by Religion,REL5,NV,West,Mountain,Catholic,26,51,46
2012,Vote by Religion,REL5,NV,West,Mountain,Jewish,3,N/A,N/A
2012,Vote by Religion,REL5,NV,West,Mountain,Other,6,N/A,N/A
2012,Vote by Religion,REL5,NV,West,Mountain,None,23,65,33
2012,Vote by Religion and Race,WHITEREL,NV,West,Mountain,White Protestant,26,33,67
