question,pollname,state,region,subregion,answer,percent,dem,rep
Vote by Gender,SEX,VT,Northeast,New England,Men,46,60,38
Vote by Gender,SEX,VT,Northeast,New England,Women,54,73,26
Vote by Age,AGE,VT,Northeast,New England,18-29,13,72,27
Vote by Age,AGE,VT,Northeast,New England,30-44,23,74,24
Vote by Age,AGE,VT,Northeast,New England,45-64,45,68,31
Vote by Age,AGE,VT,Northeast,New England,65 and Older,18,51,48
Vote by Age,AGE65,VT,Northeast,New England,18-24,6,N/A,N/A
Vote by Age,AGE65,VT,Northeast,New England,25-29,7,N/A,N/A
Vote by Age,AGE65,VT,Northeast,New England,30-39,15,77,21
Vote by Age,AGE65,VT,Northeast,New England,40-49,21,65,34
Vote by Age,AGE65,VT,Northeast,New England,50-64,33,71,28
Vote by Age,AGE65,VT,Northeast,New England,65 and Older,18,51,48
Vote by Race,RACE,VT,Northeast,New England,White,95,66,33
Vote by Race,RACE,VT,Northeast,New England,African-American,1,N/A,N/A
Vote by Race,RACE,VT,Northeast,New England,Latino,2,N/A,N/A
Vote by Race,RACE,VT,Northeast,New England,Asian,1,N/A,N/A
Vote by Race,RACE,VT,Northeast,New England,Other,2,N/A,N/A
Vote by Gender and Race,SEXBYRACE,VT,Northeast,New England,White Men,44,59,40
Vote by Gender and Race,SEXBYRACE,VT,Northeast,New England,White Women,51,72,27
Vote by Gender and Race,SEXBYRACE,VT,Northeast,New England,Black Men,0,N/A,N/A
Vote by Gender and Race,SEXBYRACE,VT,Northeast,New England,Black Women,0,N/A,N/A
Vote by Gender and Race,SEXBYRACE,VT,Northeast,New England,Latino Men,1,N/A,N/A
Vote by Gender and Race,SEXBYRACE,VT,Northeast,New England,Latino Women,1,N/A,N/A
Vote by Gender and Race,SEXBYRACE,VT,Northeast,New England,All Others,3,N/A,N/A
Vote by Ideology,PHIL3,VT,Northeast,New England,Liberal,38,96,4
Vote by Ideology,PHIL3,VT,Northeast,New England,Moderate,36,71,28
Vote by Ideology,PHIL3,VT,Northeast,New England,Conservative,25,18,80
Vote by Party ID,PARTY,VT,Northeast,New England,Democratic,38,98,2
Vote by Party ID,PARTY,VT,Northeast,New England,Republican,22,11,88
