question,pollname,state,region,subregion,answer,percent,dem,rep
Vote by Gender,SEX,WI,Midwest,East North Central,Men,49,47,51
Vote by Gender,SEX,WI,Midwest,East North Central,Women,51,57,42
Vote by Age,AGE,WI,Midwest,East North Central,18-29,21,60,37
Vote by Age,AGE,WI,Midwest,East North Central,30-44,26,51,48
Vote by Age,AGE,WI,Midwest,East North Central,45-64,37,51,48
Vote by Age,AGE,WI,Midwest,East North Central,65 and Older,16,48,52
Vote by Age,AGE65,WI,Midwest,East North Central,18-24,12,61,35
Vote by Age,AGE65,WI,Midwest,East North Central,25-29,8,58,40
Vote by Age,AGE65,WI,Midwest,East North Central,30-39,18,53,46
Vote by Age,AGE65,WI,Midwest,East North Central,40-49,18,45,54
Vote by Age,AGE65,WI,Midwest,East North Central,50-64,27,53,46
Vote by Age,AGE65,WI,Midwest,East North Central,65 and Older,16,48,52
Vote by Race,RACE,WI,Midwest,East North Central,White,86,48,51
Vote by Race,RACE,WI,Midwest,East North Central,African-American,7,94,6
Vote by Race,RACE,WI,Midwest,East North Central,Latino,4,66,31
Vote by Race,RACE,WI,Midwest,East North Central,Asian,1,N/A,N/A
Vote by Race,RACE,WI,Midwest,East North Central,Other,2,N/A,N/A
Vote by Gender and Race,SEXBYRACE,WI,Midwest,East North Central,White Men,43,42,56
Vote by Gender and Race,SEXBYRACE,WI,Midwest,East North Central,White Women,44,53,46
Vote by Gender and Race,SEXBYRACE,WI,Midwest,East North Central,Black Men,3,92,6
Vote by Gender and Race,SEXBYRACE,WI,Midwest,East North Central,Black Women,4,95,5
Vote by Gender and Race,SEXBYRACE,WI,Midwest,East North Central,Latino Men,2,N/A,N/A
Vote by Gender and Race,SEXBYRACE,WI,Midwest,East North Central,Latino Women,2,N/A,N/A
Vote by Gender and Race,SEXBYRACE,WI,Midwest,East North Central,All Others,3,N/A,N/A
Vote by Ideology,PHIL3,WI,Midwest,East North Central,Liberal,24,90,8
Vote by Ideology,PHIL3,WI,Midwest,East North Central,Moderate,40,61,37
Vote by Ideology,PHIL3,WI,Midwest,East North Central,Conservative,35,14,85
Vote by Party ID,PARTY,WI,Midwest,East North Central,Democratic,37,95,4
Vote by Party ID,PARTY,WI,Midwest,East North Central,Republican,32,5,95
Vote by Party ID,PARTY,WI,Midwest,East North Central,Independent,31,49,47
Vote by Education,EDUC10,WI,Midwest,East North Central,No High School,3,60,34
Vote by Education,EDUC10,WI,Midwest,East North Central,High School Graduate,23,55,44
Vote by Education,EDUC10,WI,Midwest,East North Central,Some College,33,48,51
Vote by Education,EDUC10,WI,Midwest,East North Central,College Graduate,28,49,50
Vote by Education,EDUC10,WI,Midwest,East North Central,Postgraduate,14,62,37
Are You a College Graduate?,EDUCCOLL,WI,Midwest,East North Central,Yes,42,53,46
Are You a College Graduate?,EDUCCOLL,WI,Midwest,East North Central,No,58,51,47
