year,question,pollname,state,region,subregion,answer,percent,dem,rep
2016,Gender,SEX,CO,West,Mountain,Male,49,41,49
2016,Gender,SEX,CO,West,Mountain,Female,51,55,39
2016,Age,AGE,CO,West,Mountain,18-29,19,50,36
2016,Age,AGE,CO,West,Mountain,30-44,26,46,45
2016,Age,AGE,CO,West,Mountain,45-64,38,49,45
2016,Age,AGE,CO,West,Mountain,65 and older,17,49,48
2016,Age,AGE65,CO,West,Mountain,18-24,11,N/A,N/A
2016,Age,AGE65,CO,West,Mountain,25-29,8,N/A,N/A
2016,Age,AGE65,CO,West,Mountain,30-39,17,48,42
2016,Age,AGE65,CO,West,Mountain,40-49,19,43,50
2016,Age,AGE65,CO,West,Mountain,50-64,29,51,43
2016,Age,AGE65,CO,West,Mountain,65 and older,17,49,48
2016,Age,AGE45,CO,West,Mountain,18-44,45,48,41
2016,Age,AGE45,CO,West,Mountain,45 and older,55,49,46
2016,Race,RACE,CO,West,Mountain,White,78,45,47
2016,Race,RACE,CO,West,Mountain,Black,4,N/A,N/A
2016,Race,RACE,CO,West,Mountain,Latino,12,67,30
2016,Race,RACE,CO,West,Mountain,Asian,3,N/A,N/A
2016,Race,RACE,CO,West,Mountain,Other race,4,N/A,N/A
2016,Race,RACE2B,CO,West,Mountain,White,78,45,47
2016,Race,RACE2B,CO,West,Mountain,Non-white,22,62,31
2016,Race and gender,SEXBYRACE,CO,West,Mountain,White men,38,38,50
2016,Race and gender,SEXBYRACE,CO,West,Mountain,White women,40,50,44
2016,Race and gender,SEXBYRACE,CO,West,Mountain,Black men,2,N/A,N/A
2016,Race and gender,SEXBYRACE,CO,West,Mountain,Black women,2,N/A,N/A
2016,Race and gender,SEXBYRACE,CO,West,Mountain,Latino men,6,N/A,N/A
2016,Race and gender,SEXBYRACE,CO,West,Mountain,Latino women,5,N/A,N/A
2016,Race and gender,SEXBYRACE,CO,West,Mountain,Others,7,N/A,N/A
2016,Education,EDUC12R,CO,West,Mountain,High school or less,19,40,51
2016,Education,EDUC12R,CO,West,Mountain,Some college,27,43,49
2016,Education,EDUC12R,CO,West,Mountain,College graduate,34,48,43
2016,Education,EDUC12R,CO,West,Mountain,Postgraduate,20,64,30
2016,Are you a college graduate?,EDUCCOLL,CO,West,Mountain,Yes,54,54,38
2016,Are you a college graduate?,EDUCCOLL,CO,West,Mountain,No,46,42,50
2016,Education and race,EDUCWHITE,CO,West,Mountain,White college graduates,45,53,39
2016,Education and race,EDUCWHITE,CO,West,Mountain,Whites no degree,33,34,58
2016,Education and race,EDUCWHITE,CO,West,Mountain,Non-whites college grads,10,61,34
2016,Education and race,EDUCWHITE,CO,West,Mountain,Non-whites no degree,12,62,29
2016,Education among whites by sex,EDUCWHITEBYSEX,CO,West,Mountain,White college-grad women,23,58,37
2016,Education among whites by sex,EDUCWHITEBYSEX,CO,West,Mountain,White non-college women,18,40,53
2016,Education among whites by sex,EDUCWHITEBYSEX,CO,West,Mountain,White college-grad men,22,47,41
2016,Education among whites by sex,EDUCWHITEBYSEX,CO,West,Mountain,White non-college men,16,26,63
2016,Education among whites by sex,EDUCWHITEBYSEX,CO,West,Mountain,Non-whites,22,61,31
2016,Income,INCOME16GEN,CO,West,Mountain,"Under $30,000",13,44,38
2016,Income,INCOME16GEN,CO,West,Mountain,"$30K-$49,999",22,46,43
2016,Income,INCOME16GEN,CO,West,Mountain,"$50K-$99,999",32,52,44
2016,Income,INCOME16GEN,CO,West,Mountain,"$100K-$199,999",23,49,42
2016,Income,INCOME16GEN,CO,West,Mountain,"$200K-$249,999",4,N/A,N/A
2016,Income,INCOME16GEN,CO,West,Mountain,"$250,000 or more",6,N/A,N/A
2016,Income,INCOME3,CO,West,Mountain,Under $50K,36,46,41
2016,Income,INCOME3,CO,West,Mountain,$50K-$100K,32,52,44
2016,Income,INCOME3,CO,West,Mountain,$100K or more,33,51,41
2016,Income,INC50K,CO,West,Mountain,Under $50K,36,46,41
2016,Income,INC50K,CO,West,Mountain,$50K or more,64,52,42
2016,Income,INC100K,CO,West,Mountain,Under $100K,67,49,42
2016,Income,INC100K,CO,West,Mountain,$100K or more,33,51,41
2016,Party ID,PARTY,CO,West,Mountain,Democrats,32,87,9
2016,Party ID,PARTY,CO,West,Mountain,Republicans,24,8,88
2016,Party ID,PARTY,CO,West,Mountain,Independents,43,42,45
2016,Party by gender,PARTYGENDER,CO,West,Mountain,Democratic men,12,82,12
2016,Party by gender,PARTYGENDER,CO,West,Mountain,Democratic women,20,91,7
2016,Party by gender,PARTYGENDER,CO,West,Mountain,Republican men,12,11,84
2016,Party by gender,PARTYGENDER,CO,West,Mountain,Republican women,12,6,92
2016,Party by gender,PARTYGENDER,CO,West,Mountain,Independent men,25,36,50
2016,Party by gender,PARTYGENDER,CO,West,Mountain,Independent women,18,49,39
2016,Ideology,PHIL3,CO,West,Mountain,Liberal,28,85,10
2016,Ideology,PHIL3,CO,West,Mountain,Moderate,37,53,36
2016,Ideology,PHIL3,CO,West,Mountain,Conservative,35,16,80
2016,When did you decide presidential vote?,TIME16,CO,West,Mountain,Last few days,N/A,N/A,N/A
2016,When did you decide presidential vote?,TIME16,CO,West,Mountain,Last week,6,N/A,N/A
2016,When did you decide presidential vote?,TIME16,CO,West,Mountain,In October,17,35,50
2016,When did you decide presidential vote?,TIME16,CO,West,Mountain,In September,12,42,48
2016,When did you decide presidential vote?,TIME16,CO,West,Mountain,Before September,63,54,41
2016,When did you decide presidential vote?,TIME16WEEK,CO,West,Mountain,In the last week,6,N/A,N/A
2016,When did you decide presidential vote?,TIME16WEEK,CO,West,Mountain,Before that,91,49,43
2016,When did you decide presidential vote?,TIME16MONTH,CO,West,Mountain,In the last month,22,37,48
2016,When did you decide presidential vote?,TIME16MONTH,CO,West,Mountain,Before that,75,52,42
2016,Opinion of presidential candidate you voted for,DESCRIBP12,CO,West,Mountain,Strongly favor ,38,57,38
2016,Opinion of presidential candidate you voted for,DESCRIBP12,CO,West,Mountain,Have reservations,25,46,42
2016,Opinion of presidential candidate you voted for,DESCRIBP12,CO,West,Mountain,Dislike opponents,35,41,51
2016,Most important issue facing the country,ISSUE16,CO,West,Mountain,Foreign policy,17,61,30
2016,Most important issue facing the country,ISSUE16,CO,West,Mountain,Immigration,11,37,59
2016,Most important issue facing the country,ISSUE16,CO,West,Mountain,Economy,54,53,38
2016,Most important issue facing the country,ISSUE16,CO,West,Mountain,Terrorism,14,30,67
2016,Which candidate quality mattered most?,QLT16,CO,West,Mountain,Cares about me,13,49,44
2016,Which candidate quality mattered most?,QLT16,CO,West,Mountain,Can bring change,29,5,88
2016,Which candidate quality mattered most?,QLT16,CO,West,Mountain,Right experience,27,88,8
2016,Which candidate quality mattered most?,QLT16,CO,West,Mountain,Good judgment,28,56,32
2016,Illegal immigrants working in the U.S. should be:,IMMDEPORT,CO,West,Mountain,Offered legal status,78,58,34
2016,Illegal immigrants working in the U.S. should be:,IMMDEPORT,CO,West,Mountain,Deported to home country,16,13,83
2016,View of U.S. wall along the entire Mexican border,IMMWALL,CO,West,Mountain,Support,38,9,89
2016,View of U.S. wall along the entire Mexican border,IMMWALL,CO,West,Mountain,Oppose,59,75,14
