year,question,pollname,state,region,subregion,answer,percent,dem,rep
2016,Gender,SEX,IA,Midwest,West North Central,Male,47,33,61
2016,Gender,SEX,IA,Midwest,West North Central,Female,53,51,44
2016,Age,AGE,IA,Midwest,West North Central,18-29,18,42,48
2016,Age,AGE,IA,Midwest,West North Central,30-44,23,38,52
2016,Age,AGE,IA,Midwest,West North Central,45-64,37,43,53
2016,Age,AGE,IA,Midwest,West North Central,65 and older,22,47,51
2016,Age,AGE65,IA,Midwest,West North Central,18-24,10,48,39
2016,Age,AGE65,IA,Midwest,West North Central,25-29,8,34,58
2016,Age,AGE65,IA,Midwest,West North Central,30-39,17,39,49
2016,Age,AGE65,IA,Midwest,West North Central,40-49,16,35,60
2016,Age,AGE65,IA,Midwest,West North Central,50-64,28,46,51
2016,Age,AGE65,IA,Midwest,West North Central,65 and older,22,47,51
2016,Age,AGE45,IA,Midwest,West North Central,18-44,41,40,50
2016,Age,AGE45,IA,Midwest,West North Central,45 and older,59,44,52
2016,Race,RACE,IA,Midwest,West North Central,White,90,40,54
2016,Race,RACE,IA,Midwest,West North Central,Black,2,N/A,N/A
2016,Race,RACE,IA,Midwest,West North Central,Latino,5,63,26
2016,Race,RACE,IA,Midwest,West North Central,Asian,1,N/A,N/A
2016,Race,RACE,IA,Midwest,West North Central,Other race,2,N/A,N/A
2016,Race,RACE2B,IA,Midwest,West North Central,White,90,40,54
2016,Race,RACE2B,IA,Midwest,West North Central,Non-white,10,63,25
2016,Race and gender,SEXBYRACE,IA,Midwest,West North Central,White men,43,31,64
2016,Race and gender,SEXBYRACE,IA,Midwest,West North Central,White women,48,49,46
2016,Race and gender,SEXBYRACE,IA,Midwest,West North Central,Black men,1,N/A,N/A
2016,Race and gender,SEXBYRACE,IA,Midwest,West North Central,Black women,1,N/A,N/A
2016,Race and gender,SEXBYRACE,IA,Midwest,West North Central,Latino men,3,N/A,N/A
2016,Race and gender,SEXBYRACE,IA,Midwest,West North Central,Latino women,3,N/A,N/A
2016,Race and gender,SEXBYRACE,IA,Midwest,West North Central,Others,2,N/A,N/A
