year,question,pollname,state,region,subregion,answer,percent,dem,rep
2016,Gender,SEX,NC,South,South Atlantic,Male,46,39,56
2016,Gender,SEX,NC,South,South Atlantic,Female,54,53,45
2016,Age,AGE,NC,South,South Atlantic,18-29,18,58,35
2016,Age,AGE,NC,South,South Atlantic,30-44,26,50,46
2016,Age,AGE,NC,South,South Atlantic,45-64,38,44,55
2016,Age,AGE,NC,South,South Atlantic,65 and older,18,37,60
2016,Age,AGE65,NC,South,South Atlantic,18-24,10,59,35
2016,Age,AGE65,NC,South,South Atlantic,25-29,8,56,35
2016,Age,AGE65,NC,South,South Atlantic,30-39,17,50,45
2016,Age,AGE65,NC,South,South Atlantic,40-49,19,45,53
2016,Age,AGE65,NC,South,South Atlantic,50-64,27,45,54
2016,Age,AGE65,NC,South,South Atlantic,65 and older,18,37,60
2016,Age,AGE45,NC,South,South Atlantic,18-44,44,53,41
2016,Age,AGE45,NC,South,South Atlantic,45 and older,56,42,57
2016,Race,RACE,NC,South,South Atlantic,White,70,33,63
2016,Race,RACE,NC,South,South Atlantic,Black,20,90,8
2016,Race,RACE,NC,South,South Atlantic,Latino,5,59,39
2016,Race,RACE,NC,South,South Atlantic,Asian,1,N/A,N/A
2016,Race,RACE,NC,South,South Atlantic,Other race,3,57,40
2016,Race,RACE2B,NC,South,South Atlantic,White,70,33,63
2016,Race,RACE2B,NC,South,South Atlantic,Non-white,30,80,18
2016,Race and gender,SEXBYRACE,NC,South,South Atlantic,White men,33,27,68
2016,Race and gender,SEXBYRACE,NC,South,South Atlantic,White women,37,38,60
2016,Race and gender,SEXBYRACE,NC,South,South Atlantic,Black men,9,82,14
2016,Race and gender,SEXBYRACE,NC,South,South Atlantic,Black women,11,95,3
2016,Race and gender,SEXBYRACE,NC,South,South Atlantic,Latino men,2,N/A,N/A
2016,Race and gender,SEXBYRACE,NC,South,South Atlantic,Latino women,3,71,27
2016,Race and gender,SEXBYRACE,NC,South,South Atlantic,Others,4,59,39
2016,Education,EDUC12R,NC,South,South Atlantic,High school or less,18,45,53
2016,Education,EDUC12R,NC,South,South Atlantic,Some college,32,43,52
2016,Education,EDUC12R,NC,South,South Atlantic,College graduate,33,48,50
2016,Education,EDUC12R,NC,South,South Atlantic,Postgraduate,17,53,44
2016,Are you a college graduate?,EDUCCOLL,NC,South,South Atlantic,Yes,50,50,48
2016,Are you a college graduate?,EDUCCOLL,NC,South,South Atlantic,No,50,43,52
2016,Education and race,EDUCWHITE,NC,South,South Atlantic,White college graduates,37,40,58
2016,Education and race,EDUCWHITE,NC,South,South Atlantic,Whites no degree,33,25,69
2016,Education and race,EDUCWHITE,NC,South,South Atlantic,Non-whites college grads,13,80,17
2016,Education and race,EDUCWHITE,NC,South,South Atlantic,Non-whites no degree,17,79,19
2016,Education among whites by sex,EDUCWHITEBYSEX,NC,South,South Atlantic,White college-grad women,19,46,52
2016,Education among whites by sex,EDUCWHITEBYSEX,NC,South,South Atlantic,White non-college women,18,29,67
2016,Education among whites by sex,EDUCWHITEBYSEX,NC,South,South Atlantic,White college-grad men,18,33,65
2016,Education among whites by sex,EDUCWHITEBYSEX,NC,South,South Atlantic,White non-college men,16,21,71
2016,Education among whites by sex,EDUCWHITEBYSEX,NC,South,South Atlantic,Non-whites,30,80,18
2016,Income,INCOME16GEN,NC,South,South Atlantic,"Under $30,000",19,57,36
2016,Income,INCOME16GEN,NC,South,South Atlantic,"$30K-$49,999",19,56,40
2016,Income,INCOME16GEN,NC,South,South Atlantic,"$50K-$99,999",32,49,49
2016,Income,INCOME16GEN,NC,South,South Atlantic,"$100K-$199,999",23,37,62
2016,Income,INCOME16GEN,NC,South,South Atlantic,"$200K-$249,999",4,N/A,N/A
2016,Income,INCOME16GEN,NC,South,South Atlantic,"$250,000 or more",3,N/A,N/A
2016,Income,INCOME3,NC,South,South Atlantic,Under $50K,38,56,38
2016,Income,INCOME3,NC,South,South Atlantic,$50K-$100K,32,49,49
2016,Income,INCOME3,NC,South,South Atlantic,$100K or more,30,39,60
2016,Income,INC50K,NC,South,South Atlantic,Under $50K,38,56,38
2016,Income,INC50K,NC,South,South Atlantic,$50K or more,62,44,54
2016,Income,INC100K,NC,South,South Atlantic,Under $100K,70,53,43
2016,Income,INC100K,NC,South,South Atlantic,$100K or more,30,39,60
2016,Party ID,PARTY,NC,South,South Atlantic,Democrats,36,91,8
2016,Party ID,PARTY,NC,South,South Atlantic,Republicans,31,4,94
2016,Party ID,PARTY,NC,South,South Atlantic,Independents,33,39,54
2016,Party by gender,PARTYGENDER,NC,South,South Atlantic,Democratic men,12,89,10
2016,Party by gender,PARTYGENDER,NC,South,South Atlantic,Democratic women,23,92,7
2016,Party by gender,PARTYGENDER,NC,South,South Atlantic,Republican men,16,5,94
2016,Party by gender,PARTYGENDER,NC,South,South Atlantic,Republican women,16,4,95
2016,Party by gender,PARTYGENDER,NC,South,South Atlantic,Independent men,18,34,56
