question,pollname,state,region,subregion,answer,percent,dem,rep
Gender,SEX,OR,West,Pacific,Male,48,45,45
Gender,SEX,OR,West,Pacific,Female,52,56,33
Age,AGE,OR,West,Pacific,18-29,16,N/A,N/A
Age,AGE,OR,West,Pacific,30-44,26,50,38
Age,AGE,OR,West,Pacific,45-64,35,48,42
Age,AGE,OR,West,Pacific,65 and older,23,46,47
Age,AGE65,OR,West,Pacific,18-24,8,N/A,N/A
Age,AGE65,OR,West,Pacific,25-29,8,N/A,N/A
Age,AGE65,OR,West,Pacific,30-39,18,49,38
Age,AGE65,OR,West,Pacific,40-49,16,51,38
Age,AGE65,OR,West,Pacific,50-64,27,48,44
Age,AGE65,OR,West,Pacific,65 and older,23,46,47
Age,AGE45,OR,West,Pacific,18-44,42,55,32
Age,AGE45,OR,West,Pacific,45 and older,58,47,44
Race,RACE,OR,West,Pacific,White,81,48,42
Race,RACE,OR,West,Pacific,Black,1,N/A,N/A
Race,RACE,OR,West,Pacific,Latino,9,N/A,N/A
Race,RACE,OR,West,Pacific,Asian,4,N/A,N/A
Race,RACE,OR,West,Pacific,Other race,4,N/A,N/A
Race,RACE2B,OR,West,Pacific,White,81,48,42
Race,RACE2B,OR,West,Pacific,Non-white,19,63,23
Race and gender,SEXBYRACE,OR,West,Pacific,White men,39,41,50
Race and gender,SEXBYRACE,OR,West,Pacific,White women,43,54,36
Race and gender,SEXBYRACE,OR,West,Pacific,Black men,0,N/A,N/A
Race and gender,SEXBYRACE,OR,West,Pacific,Black women,1,N/A,N/A
Race and gender,SEXBYRACE,OR,West,Pacific,Latino men,4,N/A,N/A
Race and gender,SEXBYRACE,OR,West,Pacific,Latino women,5,N/A,N/A
Race and gender,SEXBYRACE,OR,West,Pacific,Others,8,N/A,N/A
Education,EDUC12R,OR,West,Pacific,High school or less,18,38,52
Education,EDUC12R,OR,West,Pacific,Some college,34,43,46
Education,EDUC12R,OR,West,Pacific,College graduate,28,55,32
Education,EDUC12R,OR,West,Pacific,Postgraduate,20,68,23
Are you a college graduate?,EDUCCOLL,OR,West,Pacific,Yes,49,60,29
Are you a college graduate?,EDUCCOLL,OR,West,Pacific,No,51,41,48
Education and race,EDUCWHITE,OR,West,Pacific,White college graduates,41,60,30
Education and race,EDUCWHITE,OR,West,Pacific,Whites no degree,40,36,55
Education and race,EDUCWHITE,OR,West,Pacific,Non-whites college grads,8,N/A,N/A
Education and race,EDUCWHITE,OR,West,Pacific,Non-whites no degree,11,N/A,N/A
Education among whites by sex,EDUCWHITEBYSEX,OR,West,Pacific,White college-grad women,22,65,28
Education among whites by sex,EDUCWHITEBYSEX,OR,West,Pacific,White non-college women,20,43,45
Education among whites by sex,EDUCWHITEBYSEX,OR,West,Pacific,White college-grad men,19,54,33
Education among whites by sex,EDUCWHITEBYSEX,OR,West,Pacific,White non-college men,20,28,65
Education among whites by sex,EDUCWHITEBYSEX,OR,West,Pacific,Non-whites,19,63,23
Income,INCOME16GEN,OR,West,Pacific,"Under $30,000",20,46,38
Income,INCOME16GEN,OR,West,Pacific,"$30K-$49,999",19,42,43
