question,pollname,state,region,subregion,answer,percent,dem,rep
Gender,SEX,TX,South,West South Central,Male,46,37,58
Gender,SEX,TX,South,West South Central,Female,54,49,48
Age,AGE,TX,South,West South Central,18-29,18,55,36
Age,AGE,TX,South,West South Central,30-44,29,46,48
Age,AGE,TX,South,West South Central,45-64,39,39,59
Age,AGE,TX,South,West South Central,65 and older,15,36,64
Age,AGE65,TX,South,West South Central,18-24,10,58,32
Age,AGE65,TX,South,West South Central,25-29,8,51,41
Age,AGE65,TX,South,West South Central,30-39,19,46,47
Age,AGE65,TX,South,West South Central,40-49,20,41,55
Age,AGE65,TX,South,West South Central,50-64,28,39,59
Age,AGE65,TX,South,West South Central,65 and older,15,36,64
Age,AGE45,TX,South,West South Central,18-44,46,49,44
Age,AGE45,TX,South,West South Central,45 and older,54,38,60
Race,RACE,TX,South,West South Central,White,57,26,69
Race,RACE,TX,South,West South Central,Black,11,85,11
Race,RACE,TX,South,West South Central,Latino,24,61,34
Race,RACE,TX,South,West South Central,Asian,5,73,27
Race,RACE,TX,South,West South Central,Other race,3,N/A,N/A
Race,RACE2B,TX,South,West South Central,White,57,26,69
Race,RACE2B,TX,South,West South Central,Non-white,43,67,29
Race and gender,SEXBYRACE,TX,South,West South Central,White men,27,23,72
Race and gender,SEXBYRACE,TX,South,West South Central,White women,30,29,66
Race and gender,SEXBYRACE,TX,South,West South Central,Black men,4,79,14
Race and gender,SEXBYRACE,TX,South,West South Central,Black women,6,88,9
Race and gender,SEXBYRACE,TX,South,West South Central,Latino men,11,53,41
Race and gender,SEXBYRACE,TX,South,West South Central,Latino women,13,69,28
Race and gender,SEXBYRACE,TX,South,West South Central,Others,8,58,40
Education,EDUC12R,TX,South,West South Central,High school or less,17,49,49
Education,EDUC12R,TX,South,West South Central,Some college,32,41,55
Education,EDUC12R,TX,South,West South Central,College graduate,34,41,53
Education,EDUC12R,TX,South,West South Central,Postgraduate,17,48,48
Are you a college graduate?,EDUCCOLL,TX,South,West South Central,Yes,51,43,52
Are you a college graduate?,EDUCCOLL,TX,South,West South Central,No,49,44,53
Education and race,EDUCWHITE,TX,South,West South Central,White college graduates,31,31,63
Education and race,EDUCWHITE,TX,South,West South Central,Whites no degree,26,21,76
Education and race,EDUCWHITE,TX,South,West South Central,Non-whites college grads,20,62,34
Education and race,EDUCWHITE,TX,South,West South Central,Non-whites no degree,23,71,25
Education among whites by sex,EDUCWHITEBYSEX,TX,South,West South Central,White college-grad women,16,35,59
Education among whites by sex,EDUCWHITEBYSEX,TX,South,West South Central,White non-college women,14,23,74
Education among whites by sex,EDUCWHITEBYSEX,TX,South,West South Central,White college-grad men,14,27,67
Education among whites by sex,EDUCWHITEBYSEX,TX,South,West South Central,White non-college men,12,19,78
Education among whites by sex,EDUCWHITEBYSEX,TX,South,West South Central,Non-whites,43,67,29
Income,INCOME16GEN,TX,South,West South Central,"Under $30,000",13,58,35
Income,INCOME16GEN,TX,South,West South Central,"$30K-$49,999",17,45,52
Income,INCOME16GEN,TX,South,West South Central,"$50K-$99,999",31,46,50
Income,INCOME16GEN,TX,South,West South Central,"$100K-$199,999",26,45,49
Income,INCOME16GEN,TX,South,West South Central,"$200K-$249,999",4,N/A,N/A
Income,INCOME16GEN,TX,South,West South Central,"$250,000 or more",9,N/A,N/A
Income,INCOME3,TX,South,West South Central,Under $50K,30,50,45
Income,INCOME3,TX,South,West South Central,$50K-$100K,31,46,50
Income,INCOME3,TX,South,West South Central,$100K or more,39,41,53
Income,INC50K,TX,South,West South Central,Under $50K,30,50,45
Income,INC50K,TX,South,West South Central,$50K or more,70,43,52
Income,INC100K,TX,South,West South Central,Under $100K,61,48,47
Income,INC100K,TX,South,West South Central,$100K or more,39,41,53
Party ID,PARTY,TX,South,West South Central,Democrats,29,93,5
Party ID,PARTY,TX,South,West South Central,Republicans,38,9,88
Party ID,PARTY,TX,South,West South Central,Independents,33,39,53
Party by gender,PARTYGENDER,TX,South,West South Central,Democratic men,11,91,7
Party by gender,PARTYGENDER,TX,South,West South Central,Democratic women,18,94,4
Party by gender,PARTYGENDER,TX,South,West South Central,Republican men,17,9,87
Party by gender,PARTYGENDER,TX,South,West South Central,Republican women,21,9,89
Party by gender,PARTYGENDER,TX,South,West South Central,Independent men,18,31,60
Party by gender,PARTYGENDER,TX,South,West South Central,Independent women,15,48,44
Ideology,PHIL3,TX,South,West South Central,Liberal,20,81,12
Ideology,PHIL3,TX,South,West South Central,Moderate,36,55,39
Ideology,PHIL3,TX,South,West South Central,Conservative,44,15,82
White born-again or evangelical Christian?,WHTEVANG,TX,South,West South Central,Yes,28,12,85
White born-again or evangelical Christian?,WHTEVANG,TX,South,West South Central,No,72,56,40
When did you decide presidential vote?,TIME16,TX,South,West South Central,Last few days,4,49,44
When did you decide presidential vote?,TIME16,TX,South,West South Central,Last week,5,N/A,N/A
When did you decide presidential vote?,TIME16,TX,South,West South Central,In October,14,50,48
When did you decide presidential vote?,TIME16,TX,South,West South Central,In September,13,44,51
When did you decide presidential vote?,TIME16,TX,South,West South Central,Before September,61,45,52
When did you decide presidential vote?,TIME16WEEK,TX,South,West South Central,In the last week,10,41,48
When did you decide presidential vote?,TIME16WEEK,TX,South,West South Central,Before that,88,45,51
When did you decide presidential vote?,TIME16MONTH,TX,South,West South Central,In the last month,24,46,48
When did you decide presidential vote?,TIME16MONTH,TX,South,West South Central,Before that,74,45,52
Opinion of presidential candidate you voted for,DESCRIBP12,TX,South,West South Central,Strongly favor ,38,49,49
Opinion of presidential candidate you voted for,DESCRIBP12,TX,South,West South Central,Have reservations,26,41,56
Opinion of presidential candidate you voted for,DESCRIBP12,TX,South,West South Central,Dislike opponents,34,40,51
Most important issue facing the country,ISSUE16,TX,South,West South Central,Foreign policy,13,55,38
Most important issue facing the country,ISSUE16,TX,South,West South Central,Immigration,13,41,58
Most important issue facing the country,ISSUE16,TX,South,West South Central,Economy,49,47,46
Most important issue facing the country,ISSUE16,TX,South,West South Central,Terrorism,21,35,63
Which candidate quality mattered most?,QLT16,TX,South,West South Central,Cares about me,14,44,50
Which candidate quality mattered most?,QLT16,TX,South,West South Central,Can bring change,34,12,84
Which candidate quality mattered most?,QLT16,TX,South,West South Central,Right experience,24,85,14
Which candidate quality mattered most?,QLT16,TX,South,West South Central,Good judgment,23,57,36
Illegal immigrants working in the U.S. should be:,IMMDEPORT,TX,South,West South Central,Offered legal status,71,53,42
Illegal immigrants working in the U.S. should be:,IMMDEPORT,TX,South,West South Central,Deported to home country,22,9,90
View of U.S. wall along the entire Mexican border,IMMWALL,TX,South,West South Central,Support,44,10,89
View of U.S. wall along the entire Mexican border,IMMWALL,TX,South,West South Central,Oppose,49,75,17
Do you think immigrants to the U.S. today:,IMMBETTER,TX,South,West South Central,Help the country,55,64,29
Do you think immigrants to the U.S. today:,IMMBETTER,TX,South,West South Central,Hurt the country,31,13,85
How do things work in the U.S. today?,RACEFACTOR,TX,South,West South Central,Whites are favored,35,74,17
How do things work in the U.S. today?,RACEFACTOR,TX,South,West South Central,Minorities are favored,16,5,93
How do things work in the U.S. today?,RACEFACTOR,TX,South,West South Central,No group is favored,41,34,63
Does the country's criminal justice system:,FAIRJUSTICE,TX,South,West South Central,Treat all fairly,43,22,75
Does the country's criminal justice system:,FAIRJUSTICE,TX,South,West South Central,Treat blacks unfairly,45,63,32
Feelings about the federal government,GOVTANGR16,TX,South,West South Central,Enthusiastic,3,N/A,N/A
Feelings about the federal government,GOVTANGR16,TX,South,West South Central,Satisfied,21,78,15
Feelings about the federal government,GOVTANGR16,TX,South,West South Central,Dissatisfied,46,41,53
Feelings about the federal government,GOVTANGR16,TX,South,West South Central,Angry,27,12,86
Feelings about the federal government,GOVTANGR16B,TX,South,West South Central,Enthusiastic/Satisfied,25,80,14
Feelings about the federal government,GOVTANGR16B,TX,South,West South Central,Dissatisfied/Angry,73,30,65
Opinion of Barack Obama as president,OBAMA4,TX,South,West South Central,Strongly approve,30,96,2
Opinion of Barack Obama as president,OBAMA4,TX,South,West South Central,Somewhat approve,19,68,24
Opinion of Barack Obama as president,OBAMA4,TX,South,West South Central,Somewhat disapprove,13,21,70
Opinion of Barack Obama as president,OBAMA4,TX,South,West South Central,Strongly disapprove,38,2,96
Opinion of Barack Obama as president,OBAMA2,TX,South,West South Central,Approve,49,85,11
Opinion of Barack Obama as president,OBAMA2,TX,South,West South Central,Disapprove,51,6,89
Opinion of Hillary Clinton,FAVHCLIN16,TX,South,West South Central,Favorable,41,97,3
Opinion of Hillary Clinton,FAVHCLIN16,TX,South,West South Central,Unfavorable,57,8,85
Opinion of Donald Trump,FAVTRUMP,TX,South,West South Central,Favorable,39,3,96
Opinion of Donald Trump,FAVTRUMP,TX,South,West South Central,Unfavorable,59,74,19
Opinion of Clinton and Trump,FAVPRES16,TX,South,West South Central,Both favorable,2,N/A,N/A
Opinion of Clinton and Trump,FAVPRES16,TX,South,West South Central,Only Clinton favorable,39,99,0
Opinion of Clinton and Trump,FAVPRES16,TX,South,West South Central,Only Trump favorable,37,1,98
Opinion of Clinton and Trump,FAVPRES16,TX,South,West South Central,Both unfavorable,19,22,59
Opinion of Ted Cruz,FAVCRUZ,TX,South,West South Central,Favorable,41,22,75
Opinion of Ted Cruz,FAVCRUZ,TX,South,West South Central,Unfavorable,51,60,35
Is Hillary Clinton honest and trustworthy?,CLINHONEST,TX,South,West South Central,Yes,30,96,3
Is Hillary Clinton honest and trustworthy?,CLINHONEST,TX,South,West South Central,No,68,19,75
Is Donald Trump honest and trustworthy?,TRUMPHONEST,TX,South,West South Central,Yes,40,5,94
Is Donald Trump honest and trustworthy?,TRUMPHONEST,TX,South,West South Central,No,58,71,22
Which candidate is honest?,HONEST16,TX,South,West South Central,Both are,2,N/A,N/A
Which candidate is honest?,HONEST16,TX,South,West South Central,Only Clinton is,28,98,0
Which candidate is honest?,HONEST16,TX,South,West South Central,Only Trump is,38,1,98
Which candidate is honest?,HONEST16,TX,South,West South Central,Neither is,29,43,43
Is Clinton qualified to serve as president?,QUALCLINTON,TX,South,West South Central,Yes,48,84,11
Is Clinton qualified to serve as president?,QUALCLINTON,TX,South,West South Central,No,51,1,95
Is Trump qualified to serve as president?,QUALTRUMP,TX,South,West South Central,Yes,45,4,95
Is Trump qualified to serve as president?,QUALTRUMP,TX,South,West South Central,No,54,74,20
Who is qualified to serve as president?,QUALIFIED16,TX,South,West South Central,Both are,6,N/A,N/A
Who is qualified to serve as president?,QUALIFIED16,TX,South,West South Central,Only Clinton is,42,93,3
Who is qualified to serve as president?,QUALIFIED16,TX,South,West South Central,Only Trump is,39,N/A,99
Who is qualified to serve as president?,QUALIFIED16,TX,South,West South Central,Neither is,12,6,83
Does Clinton have the temperament to be president?,TEMPCLINTON,TX,South,West South Central,Yes,50,81,14
Does Clinton have the temperament to be president?,TEMPCLINTON,TX,South,West South Central,No,48,5,90
Does Trump have the temperament to be president?,TEMPTRUMP,TX,South,West South Central,Yes,41,4,95
Does Trump have the temperament to be president?,TEMPTRUMP,TX,South,West South Central,No,57,72,20
Which candidate has the right temperament?,TEMPERAMENT16,TX,South,West South Central,Both do,7,N/A,N/A
Which candidate has the right temperament?,TEMPERAMENT16,TX,South,West South Central,Only Clinton does,43,90,4
Which candidate has the right temperament?,TEMPERAMENT16,TX,South,West South Central,Only Trump does,34,1,99
Which candidate has the right temperament?,TEMPERAMENT16,TX,South,West South Central,Neither does,14,17,69
Does Clinton's use of private email bother you:,CLINTONEMAIL,TX,South,West South Central,A lot,49,5,91
Does Clinton's use of private email bother you:,CLINTONEMAIL,TX,South,West South Central,Some,19,70,29
Does Clinton's use of private email bother you:,CLINTONEMAIL,TX,South,West South Central,Not much,13,86,8
Does Clinton's use of private email bother you:,CLINTONEMAIL,TX,South,West South Central,Not at all,17,88,6
Does Clinton's use of private email bother you?,CLINTONEMAILB,TX,South,West South Central,Yes,68,23,74
Does Clinton's use of private email bother you?,CLINTONEMAILB,TX,South,West South Central,No,31,87,7
Does Donald Trump's treatment of women bother you:,TRUMPWOMEN,TX,South,West South Central,A lot,41,83,13
Does Donald Trump's treatment of women bother you:,TRUMPWOMEN,TX,South,West South Central,Some,22,22,71
Does Donald Trump's treatment of women bother you:,TRUMPWOMEN,TX,South,West South Central,Not much,15,11,87
Does Donald Trump's treatment of women bother you:,TRUMPWOMEN,TX,South,West South Central,Not at all,20,11,88
Does Donald Trump's treatment of women bother you?,TRUMPWOMENB,TX,South,West South Central,Yes,63,61,33
Does Donald Trump's treatment of women bother you?,TRUMPWOMENB,TX,South,West South Central,No,35,11,88
Who would better handle the economy?,HANDLEECON16,TX,South,West South Central,Clinton,41,95,1
Who would better handle the economy?,HANDLEECON16,TX,South,West South Central,Trump,53,5,92
Who would better handle foreign policy?,HANDLEFP16,TX,South,West South Central,Clinton,49,86,7
Who would better handle foreign policy?,HANDLEFP16,TX,South,West South Central,Trump,46,3,97
Condition of national economy,NEC,TX,South,West South Central,Excellent,3,N/A,N/A
