year,question,pollname,state,region,subregion,answer,percent,dem,rep
2016,Gender,SEX,WA,West,Pacific,Male,48,44,42
2016,Gender,SEX,WA,West,Pacific,Female,52,58,30
2016,Age,AGE,WA,West,Pacific,18-29,19,N/A,N/A
2016,Age,AGE,WA,West,Pacific,30-44,25,48,33
2016,Age,AGE,WA,West,Pacific,45-64,37,50,40
2016,Age,AGE,WA,West,Pacific,65 and older,20,57,39
2016,Age,AGE65,WA,West,Pacific,18-24,10,N/A,N/A
2016,Age,AGE65,WA,West,Pacific,25-29,9,N/A,N/A
2016,Age,AGE65,WA,West,Pacific,30-39,16,N/A,N/A
2016,Age,AGE65,WA,West,Pacific,40-49,18,48,36
2016,Age,AGE65,WA,West,Pacific,50-64,28,50,42
2016,Age,AGE65,WA,West,Pacific,65 and older,20,57,39
2016,Age,AGE45,WA,West,Pacific,18-44,43,49,30
2016,Age,AGE45,WA,West,Pacific,45 and older,57,53,40
2016,Race,RACE,WA,West,Pacific,White,81,49,37
2016,Race,RACE,WA,West,Pacific,Black,2,N/A,N/A
2016,Race,RACE,WA,West,Pacific,Latino,7,N/A,N/A
2016,Race,RACE,WA,West,Pacific,Asian,6,N/A,N/A
2016,Race,RACE,WA,West,Pacific,Other race,4,N/A,N/A
2016,Race,RACE2B,WA,West,Pacific,White,81,49,37
2016,Race,RACE2B,WA,West,Pacific,Non-white,19,60,27
2016,Race and gender,SEXBYRACE,WA,West,Pacific,White men,38,45,41
2016,Race and gender,SEXBYRACE,WA,West,Pacific,White women,43,53,34
2016,Race and gender,SEXBYRACE,WA,West,Pacific,Black men,1,N/A,N/A
2016,Race and gender,SEXBYRACE,WA,West,Pacific,Black women,1,N/A,N/A
2016,Race and gender,SEXBYRACE,WA,West,Pacific,Latino men,4,N/A,N/A
2016,Race and gender,SEXBYRACE,WA,West,Pacific,Latino women,4,N/A,N/A
2016,Race and gender,SEXBYRACE,WA,West,Pacific,Others,10,N/A,N/A
2016,Education,EDUC12R,WA,West,Pacific,High school or less,16,50,38
2016,Education,EDUC12R,WA,West,Pacific,Some college,32,43,43
2016,Education,EDUC12R,WA,West,Pacific,College graduate,34,51,34
2016,Education,EDUC12R,WA,West,Pacific,Postgraduate,19,67,26
2016,Are you a college graduate?,EDUCCOLL,WA,West,Pacific,Yes,53,56,31
2016,Are you a college graduate?,EDUCCOLL,WA,West,Pacific,No,47,45,41
2016,Education and race,EDUCWHITE,WA,West,Pacific,White college graduates,43,57,29
2016,Education and race,EDUCWHITE,WA,West,Pacific,Whites no degree,38,41,47
2016,Education and race,EDUCWHITE,WA,West,Pacific,Non-whites college grads,10,N/A,N/A
2016,Education and race,EDUCWHITE,WA,West,Pacific,Non-whites no degree,9,N/A,N/A
2016,Education among whites by sex,EDUCWHITEBYSEX,WA,West,Pacific,White college-grad women,23,63,24
2016,Education among whites by sex,EDUCWHITEBYSEX,WA,West,Pacific,White non-college women,19,41,46
2016,Education among whites by sex,EDUCWHITEBYSEX,WA,West,Pacific,White college-grad men,19,51,34
2016,Education among whites by sex,EDUCWHITEBYSEX,WA,West,Pacific,White non-college men,19,40,48
2016,Education among whites by sex,EDUCWHITEBYSEX,WA,West,Pacific,Non-whites,19,60,27
2016,Income,INCOME16GEN,WA,West,Pacific,"Under $30,000",16,51,30
2016,Income,INCOME16GEN,WA,West,Pacific,"$30K-$49,999",17,39,44
2016,Income,INCOME16GEN,WA,West,Pacific,"$50K-$99,999",34,50,39
2016,Income,INCOME16GEN,WA,West,Pacific,"$100K-$199,999",25,56,32
2016,Income,INCOME16GEN,WA,West,Pacific,"$200K-$249,999",3,N/A,N/A
2016,Income,INCOME16GEN,WA,West,Pacific,"$250,000 or more",4,N/A,N/A
2016,Income,INCOME3,WA,West,Pacific,Under $50K,33,45,37
2016,Income,INCOME3,WA,West,Pacific,$50K-$100K,34,50,39
2016,Income,INCOME3,WA,West,Pacific,$100K or more,33,57,32
2016,Income,INC50K,WA,West,Pacific,Under $50K,33,45,37
2016,Income,INC50K,WA,West,Pacific,$50K or more,67,53,36
2016,Income,INC100K,WA,West,Pacific,Under $100K,67,48,38
2016,Income,INC100K,WA,West,Pacific,$100K or more,33,57,32
2016,Party ID,PARTY,WA,West,Pacific,Democrats,36,88,5
2016,Party ID,PARTY,WA,West,Pacific,Republicans,20,7,83
2016,Party ID,PARTY,WA,West,Pacific,Independents,44,43,38
2016,Party by gender,PARTYGENDER,WA,West,Pacific,Democratic men,13,86,6
2016,Party by gender,PARTYGENDER,WA,West,Pacific,Democratic women,22,89,5
2016,Party by gender,PARTYGENDER,WA,West,Pacific,Republican men,10,N/A,N/A
2016,Party by gender,PARTYGENDER,WA,West,Pacific,Republican women,10,6,80
2016,Party by gender,PARTYGENDER,WA,West,Pacific,Independent men,25,36,44
2016,Party by gender,PARTYGENDER,WA,West,Pacific,Independent women,20,51,31
2016,Ideology,PHIL3,WA,West,Pacific,Liberal,34,82,6
2016,Ideology,PHIL3,WA,West,Pacific,Moderate,35,55,29
2016,Ideology,PHIL3,WA,West,Pacific,Conservative,31,14,76
2016,When did you decide presidential vote?,TIME16,WA,West,Pacific,Last few days,N/A,N/A,N/A
2016,When did you decide presidential vote?,TIME16,WA,West,Pacific,Last week,4,N/A,N/A
2016,When did you decide presidential vote?,TIME16,WA,West,Pacific,In October,17,35,43
2016,When did you decide presidential vote?,TIME16,WA,West,Pacific,In September,14,45,46
2016,When did you decide presidential vote?,TIME16,WA,West,Pacific,Before September,62,58,32
2016,When did you decide presidential vote?,TIME16WEEK,WA,West,Pacific,In the last week,4,N/A,N/A
2016,When did you decide presidential vote?,TIME16WEEK,WA,West,Pacific,Before that,93,52,36
2016,When did you decide presidential vote?,TIME16MONTH,WA,West,Pacific,In the last month,20,34,44
2016,When did you decide presidential vote?,TIME16MONTH,WA,West,Pacific,Before that,76,56,35
2016,Opinion of presidential candidate you voted for,DESCRIBP12,WA,West,Pacific,Strongly favor ,35,56,34
2016,Opinion of presidential candidate you voted for,DESCRIBP12,WA,West,Pacific,Have reservations,26,60,34
2016,Opinion of presidential candidate you voted for,DESCRIBP12,WA,West,Pacific,Dislike opponents,36,42,39
2016,Most important issue facing the country,ISSUE16,WA,West,Pacific,Foreign policy,18,63,25
2016,Most important issue facing the country,ISSUE16,WA,West,Pacific,Immigration,10,N/A,N/A
2016,Most important issue facing the country,ISSUE16,WA,West,Pacific,Economy,50,54,33
2016,Most important issue facing the country,ISSUE16,WA,West,Pacific,Terrorism,15,42,48
2016,Which candidate quality mattered most?,QLT16,WA,West,Pacific,Cares about me,12,41,39
2016,Which candidate quality mattered most?,QLT16,WA,West,Pacific,Can bring change,29,12,81
2016,Which candidate quality mattered most?,QLT16,WA,West,Pacific,Right experience,26,92,6
2016,Which candidate quality mattered most?,QLT16,WA,West,Pacific,Good judgment,27,62,16
2016,Illegal immigrants working in the U.S. should be:,IMMDEPORT,WA,West,Pacific,Offered legal status,75,61,25
2016,Illegal immigrants working in the U.S. should be:,IMMDEPORT,WA,West,Pacific,Deported to home country,18,20,76
2016,Opinion of Barack Obama as president,OBAMA4,WA,West,Pacific,Strongly approve,38,91,5
2016,Opinion of Barack Obama as president,OBAMA4,WA,West,Pacific,Somewhat approve,22,62,14
2016,Opinion of Barack Obama as president,OBAMA4,WA,West,Pacific,Somewhat disapprove,11,N/A,N/A
2016,Opinion of Barack Obama as president,OBAMA4,WA,West,Pacific,Strongly disapprove,28,3,87
2016,Opinion of Barack Obama as president,OBAMA2,WA,West,Pacific,Approve,61,80,8
2016,Opinion of Barack Obama as president,OBAMA2,WA,West,Pacific,Disapprove,38,4,82
2016,Opinion of Hillary Clinton,FAVHCLIN16,WA,West,Pacific,Favorable,43,96,1
