question,pollname,state,region,subregion,answer,percent,dem,rep
Gender,SEX,CA,,,Male,49,57,36
Gender,SEX,CA,,,Female,51,66,30
Age,AGE,CA,,,18-29,20,66,23
Age,AGE,CA,,,30-44,24,67,27
Age,AGE,CA,,,45-64,38,57,39
Age,AGE,CA,,,65 and older,18,61,36
Age,AGE65,CA,,,18-24,11,67,18
Age,AGE65,CA,,,25-29,9,64,29
Age,AGE65,CA,,,30-39,16,70,23
Age,AGE65,CA,,,40-49,18,60,36
Age,AGE65,CA,,,50-64,28,57,40
Age,AGE65,CA,,,65 and older,18,61,36
Age,AGE45,CA,,,18-44,44,67,25
Age,AGE45,CA,,,45 and older,56,58,38
Race,RACE,CA,,,White,48,50,45
Race,RACE,CA,,,Black,6,88,9
Race,RACE,CA,,,Latino,31,71,24
Race,RACE,CA,,,Asian,12,70,17
Race,RACE,CA,,,Other race,3,N/A,N/A
Race,RACE2B,CA,,,White,48,50,45
Race,RACE2B,CA,,,Non-white,52,73,21
Race and gender,SEXBYRACE,CA,,,White men,23,43,50
Race and gender,SEXBYRACE,CA,,,White women,25,57,40
Race and gender,SEXBYRACE,CA,,,Black men,3,N/A,N/A
Race and gender,SEXBYRACE,CA,,,Black women,3,N/A,N/A
Race and gender,SEXBYRACE,CA,,,Latino men,13,68,27
Race and gender,SEXBYRACE,CA,,,Latino women,18,73,22
Race and gender,SEXBYRACE,CA,,,Others,15,70,20
Education,EDUC12R,CA,,,High school or less,15,61,31
Education,EDUC12R,CA,,,Some college,31,56,39
Education,EDUC12R,CA,,,College graduate,35,63,32
Education,EDUC12R,CA,,,Postgraduate,19,67,27
Are you a college graduate?,EDUCCOLL,CA,,,Yes,54,65,30
Are you a college graduate?,EDUCCOLL,CA,,,No,46,57,36
Education and race,EDUCWHITE,CA,,,White college graduates,29,59,35
Education and race,EDUCWHITE,CA,,,Whites no degree,19,36,59
Education and race,EDUCWHITE,CA,,,Non-whites college grads,25,72,23
Education and race,EDUCWHITE,CA,,,Non-whites no degree,27,73,20
Education among whites by sex,EDUCWHITEBYSEX,CA,,,White college-grad women,15,67,30
Education among whites by sex,EDUCWHITEBYSEX,CA,,,White non-college women,10,42,54
Education among whites by sex,EDUCWHITEBYSEX,CA,,,White college-grad men,14,51,41
Education among whites by sex,EDUCWHITEBYSEX,CA,,,White non-college men,9,29,64
Education among whites by sex,EDUCWHITEBYSEX,CA,,,Non-whites,52,72,21
Income,INCOME16GEN,CA,,,"Under $30,000",17,66,29
Income,INCOME16GEN,CA,,,"$30K-$49,999",20,75,20
Income,INCOME16GEN,CA,,,"$50K-$99,999",26,67,26
Income,INCOME16GEN,CA,,,"$100K-$199,999",26,56,42
Income,INCOME16GEN,CA,,,"$200K-$249,999",7,N/A,N/A
Income,INCOME16GEN,CA,,,"$250,000 or more",4,N/A,N/A
Income,INC50K,CA,,,Under $50K,37,71,24
Income,INC50K,CA,,,$50K or more,63,61,34
Income,INC100K,CA,,,Under $100K,63,69,25
Income,INC100K,CA,,,$100K or more,37,57,40
Income,INCOME3,CA,,,Under $50K,37,71,24
Income,INCOME3,CA,,,$50K-$100K,26,67,26
Income,INCOME3,CA,,,$100K or more,37,57,40
Party ID,PARTY,CA,,,Democrats,47,92,5
Party ID,PARTY,CA,,,Republicans,23,13,84
Party ID,PARTY,CA,,,Independents,30,50,37
Party by gender,PARTYGENDER,CA,,,Democratic men,19,90,5
Party by gender,PARTYGENDER,CA,,,Democratic women,28,93,5
Party by gender,PARTYGENDER,CA,,,Republican men,11,13,83
Party by gender,PARTYGENDER,CA,,,Republican women,11,12,85
Party by gender,PARTYGENDER,CA,,,Independent men,19,48,39
Party by gender,PARTYGENDER,CA,,,Independent women,11,54,35
Ideology,PHIL3,CA,,,Liberal,37,88,8
Ideology,PHIL3,CA,,,Moderate,35,60,33
Ideology,PHIL3,CA,,,Conservative,28,28,68
Marital status,MARRIED,CA,,,Married,57,58,38
Marital status,MARRIED,CA,,,Unmarried,43,65,27
Marital status by gender,SEXWED,CA,,,Married men,28,57,39
Marital status by gender,SEXWED,CA,,,Married women,29,60,38
Marital status by gender,SEXWED,CA,,,Unmarried men,17,56,31
Marital status by gender,SEXWED,CA,,,Unmarried women,26,70,25
White born-again or evangelical Christian?,WHTEVANG,CA,,,Yes,13,N/A,N/A
White born-again or evangelical Christian?,WHTEVANG,CA,,,No,87,69,26
Religion,REL5,CA,,,Protestant,41,45,51
Religion,REL5,CA,,,Catholic,28,63,32
Religion,REL5,CA,,,Jewish,3,N/A,N/A
Religion,REL5,CA,,,Another religion,7,N/A,N/A
Religion,REL5,CA,,,No religion,21,78,12
How often do you attend religious services?,ATTEND16,CA,,,Weekly or more,27,46,52
How often do you attend religious services?,ATTEND16,CA,,,Monthly,13,N/A,N/A
How often do you attend religious services?,ATTEND16,CA,,,Few times a year,29,63,31
How often do you attend religious services?,ATTEND16,CA,,,Never,31,73,19
How often do you attend religious services?,ATTEND16B,CA,,,Monthly or more,40,52,46
How often do you attend religious services?,ATTEND16B,CA,,,Less often than that,60,68,24
Union household?,UNIONHH12,CA,,,Yes,16,66,31
Union household?,UNIONHH12,CA,,,No,84,61,32
Served in the U.S. military,VETVOTER,CA,,,Veterans,13,N/A,N/A
Served in the U.S. military,VETVOTER,CA,,,Non-veterans,87,65,30
Were you born a U.S. citizen?,BORNCITIZEN,CA,,,Yes,78,59,35
