question,pollname,state,region,subregion,answer,percent,dem,rep
Gender,SEX,GA,South,South Atlantic,Male,45,37,60
Gender,SEX,GA,South,South Atlantic,Female,55,54,43
Age,AGE,GA,South,South Atlantic,18-29,18,63,33
Age,AGE,GA,South,South Atlantic,30-44,28,51,44
Age,AGE,GA,South,South Atlantic,45-64,38,41,57
Age,AGE,GA,South,South Atlantic,65 and older,16,31,67
Age,AGE65,GA,South,South Atlantic,18-24,9,65,29
Age,AGE65,GA,South,South Atlantic,25-29,9,60,37
Age,AGE65,GA,South,South Atlantic,30-39,18,50,44
Age,AGE65,GA,South,South Atlantic,40-49,21,45,51
Age,AGE65,GA,South,South Atlantic,50-64,27,42,57
Age,AGE65,GA,South,South Atlantic,65 and older,16,31,67
Age,AGE45,GA,South,South Atlantic,18-44,46,55,40
Age,AGE45,GA,South,South Atlantic,45 and older,54,38,60
Race,RACE,GA,South,South Atlantic,White,60,21,75
Race,RACE,GA,South,South Atlantic,Black,30,89,9
Race,RACE,GA,South,South Atlantic,Latino,4,67,27
Race,RACE,GA,South,South Atlantic,Asian,3,N/A,N/A
Race,RACE,GA,South,South Atlantic,Other race,2,N/A,N/A
Race,RACE2B,GA,South,South Atlantic,White,60,21,75
Race,RACE2B,GA,South,South Atlantic,Non-white,40,83,14
Race and gender,SEXBYRACE,GA,South,South Atlantic,White men,30,16,80
Race and gender,SEXBYRACE,GA,South,South Atlantic,White women,31,26,70
Race and gender,SEXBYRACE,GA,South,South Atlantic,Black men,12,83,15
Race and gender,SEXBYRACE,GA,South,South Atlantic,Black women,19,94,5
Race and gender,SEXBYRACE,GA,South,South Atlantic,Latino men,2,N/A,N/A
Race and gender,SEXBYRACE,GA,South,South Atlantic,Latino women,2,N/A,N/A
Race and gender,SEXBYRACE,GA,South,South Atlantic,Others,5,63,36
Education,EDUC12R,GA,South,South Atlantic,High school or less,19,39,57
Education,EDUC12R,GA,South,South Atlantic,Some college,31,46,51
Education,EDUC12R,GA,South,South Atlantic,College graduate,34,49,49
Education,EDUC12R,GA,South,South Atlantic,Postgraduate,17,50,47
Are you a college graduate?,EDUCCOLL,GA,South,South Atlantic,Yes,50,49,48
Are you a college graduate?,EDUCCOLL,GA,South,South Atlantic,No,50,43,54
Education and race,EDUCWHITE,GA,South,South Atlantic,White college graduates,30,28,69
Education and race,EDUCWHITE,GA,South,South Atlantic,Whites no degree,30,15,81
Education and race,EDUCWHITE,GA,South,South Atlantic,Non-whites college grads,20,82,16
Education and race,EDUCWHITE,GA,South,South Atlantic,Non-whites no degree,20,85,13
Education among whites by sex,EDUCWHITEBYSEX,GA,South,South Atlantic,White college-grad women,16,34,63
Education among whites by sex,EDUCWHITEBYSEX,GA,South,South Atlantic,White non-college women,15,18,78
Education among whites by sex,EDUCWHITEBYSEX,GA,South,South Atlantic,White college-grad men,15,21,76
Education among whites by sex,EDUCWHITEBYSEX,GA,South,South Atlantic,White non-college men,15,11,85
Education among whites by sex,EDUCWHITEBYSEX,GA,South,South Atlantic,Non-whites,40,83,14
Income,INCOME16GEN,GA,South,South Atlantic,"Under $30,000",16,54,41
Income,INCOME16GEN,GA,South,South Atlantic,"$30K-$49,999",20,40,53
Income,INCOME16GEN,GA,South,South Atlantic,"$50K-$99,999",33,49,49
Income,INCOME16GEN,GA,South,South Atlantic,"$100K-$199,999",21,41,57
Income,INCOME16GEN,GA,South,South Atlantic,"$200K-$249,999",4,N/A,N/A
Income,INCOME16GEN,GA,South,South Atlantic,"$250,000 or more",6,N/A,N/A
Income,INCOME3,GA,South,South Atlantic,Under $50K,36,47,48
Income,INCOME3,GA,South,South Atlantic,$50K-$100K,33,49,49
Income,INCOME3,GA,South,South Atlantic,$100K or more,32,42,56
Income,INC50K,GA,South,South Atlantic,Under $50K,36,47,48
Income,INC50K,GA,South,South Atlantic,$50K or more,64,46,52
Income,INC100K,GA,South,South Atlantic,Under $100K,68,48,48
Income,INC100K,GA,South,South Atlantic,$100K or more,32,42,56
Party ID,PARTY,GA,South,South Atlantic,Democrats,34,94,5
Party ID,PARTY,GA,South,South Atlantic,Republicans,36,4,94
Party ID,PARTY,GA,South,South Atlantic,Independents,30,41,52
