question,pollname,state,region,subregion,answer,percent,dem,rep
Gender,SEX,KY,South,East South Central,Male,49,26,71
Gender,SEX,KY,South,East South Central,Female,51,40,54
Age,AGE,KY,South,East South Central,18-29,19,34,59
Age,AGE,KY,South,East South Central,30-44,23,29,66
Age,AGE,KY,South,East South Central,45-64,42,33,63
Age,AGE,KY,South,East South Central,65 and older,17,37,61
Age,AGE65,KY,South,East South Central,18-24,10,31,61
Age,AGE65,KY,South,East South Central,25-29,9,N/A,N/A
Age,AGE65,KY,South,East South Central,30-39,15,33,61
Age,AGE65,KY,South,East South Central,40-49,18,24,72
Age,AGE65,KY,South,East South Central,50-64,32,35,61
Age,AGE65,KY,South,East South Central,65 and older,17,37,61
Age,AGE45,KY,South,East South Central,18-44,42,31,63
Age,AGE45,KY,South,East South Central,45 and older,58,34,62
Race,RACE,KY,South,East South Central,White,88,27,68
Race,RACE,KY,South,East South Central,Black,8,N/A,N/A
Race,RACE,KY,South,East South Central,Latino,3,N/A,N/A
Race,RACE,KY,South,East South Central,Asian,1,N/A,N/A
Race,RACE,KY,South,East South Central,Other race,1,N/A,N/A
Race,RACE2B,KY,South,East South Central,White,88,27,68
Race,RACE2B,KY,South,East South Central,Non-white,12,73,20
Race and gender,SEXBYRACE,KY,South,East South Central,White men,43,20,77
Race and gender,SEXBYRACE,KY,South,East South Central,White women,44,35,60
Race and gender,SEXBYRACE,KY,South,East South Central,Black men,4,N/A,N/A
Race and gender,SEXBYRACE,KY,South,East South Central,Black women,4,N/A,N/A
Race and gender,SEXBYRACE,KY,South,East South Central,Latino men,1,N/A,N/A
Race and gender,SEXBYRACE,KY,South,East South Central,Latino women,1,N/A,N/A
Race and gender,SEXBYRACE,KY,South,East South Central,Others,2,N/A,N/A
Education,EDUC12R,KY,South,East South Central,High school or less,25,28,66
Education,EDUC12R,KY,South,East South Central,Some college,36,33,64
Education,EDUC12R,KY,South,East South Central,College graduate,24,28,67
Education,EDUC12R,KY,South,East South Central,Postgraduate,15,53,42
Are you a college graduate?,EDUCCOLL,KY,South,East South Central,Yes,40,38,58
Are you a college graduate?,EDUCCOLL,KY,South,East South Central,No,60,31,65
Education and race,EDUCWHITE,KY,South,East South Central,White college graduates,36,34,61
Education and race,EDUCWHITE,KY,South,East South Central,Whites no degree,52,23,73
Education and race,EDUCWHITE,KY,South,East South Central,Non-whites college grads,4,N/A,N/A
Education and race,EDUCWHITE,KY,South,East South Central,Non-whites no degree,9,N/A,N/A
Education among whites by sex,EDUCWHITEBYSEX,KY,South,East South Central,White college-grad women,19,42,52
Education among whites by sex,EDUCWHITEBYSEX,KY,South,East South Central,White non-college women,26,28,66
Education among whites by sex,EDUCWHITEBYSEX,KY,South,East South Central,White college-grad men,17,26,71
