question,pollname,state,region,subregion,answer,percent,dem,rep
Gender,SEX,NJ,Northeast,Middle Atlantic,Male,48,50,46
Gender,SEX,NJ,Northeast,Middle Atlantic,Female,52,58,39
Age,AGE,NJ,Northeast,Middle Atlantic,18-29,15,62,30
Age,AGE,NJ,Northeast,Middle Atlantic,30-44,25,57,41
Age,AGE,NJ,Northeast,Middle Atlantic,45-64,45,54,44
Age,AGE,NJ,Northeast,Middle Atlantic,65 and older,16,47,50
Age,AGE65,NJ,Northeast,Middle Atlantic,18-24,8,64,29
Age,AGE65,NJ,Northeast,Middle Atlantic,25-29,7,60,32
Age,AGE65,NJ,Northeast,Middle Atlantic,30-39,15,54,42
Age,AGE65,NJ,Northeast,Middle Atlantic,40-49,21,57,41
Age,AGE65,NJ,Northeast,Middle Atlantic,50-64,33,53,45
Age,AGE65,NJ,Northeast,Middle Atlantic,65 and older,16,47,50
Age,AGE45,NJ,Northeast,Middle Atlantic,18-44,39,59,37
Age,AGE45,NJ,Northeast,Middle Atlantic,45 and older,61,52,46
Race,RACE,NJ,Northeast,Middle Atlantic,White,67,42,55
Race,RACE,NJ,Northeast,Middle Atlantic,Black,14,89,9
Race,RACE,NJ,Northeast,Middle Atlantic,Latino,14,76,23
Race,RACE,NJ,Northeast,Middle Atlantic,Asian,4,N/A,N/A
Race,RACE,NJ,Northeast,Middle Atlantic,Other race,1,N/A,N/A
Race,RACE2B,NJ,Northeast,Middle Atlantic,White,67,42,55
Race,RACE2B,NJ,Northeast,Middle Atlantic,Non-white,33,82,17
Race and gender,SEXBYRACE,NJ,Northeast,Middle Atlantic,White men,33,37,58
Race and gender,SEXBYRACE,NJ,Northeast,Middle Atlantic,White women,34,46,51
Race and gender,SEXBYRACE,NJ,Northeast,Middle Atlantic,Black men,7,N/A,N/A
Race and gender,SEXBYRACE,NJ,Northeast,Middle Atlantic,Black women,7,92,8
Race and gender,SEXBYRACE,NJ,Northeast,Middle Atlantic,Latino men,6,N/A,N/A
Race and gender,SEXBYRACE,NJ,Northeast,Middle Atlantic,Latino women,8,77,22
Race and gender,SEXBYRACE,NJ,Northeast,Middle Atlantic,Others,5,78,20
Education,EDUC12R,NJ,Northeast,Middle Atlantic,High school or less,12,48,49
Education,EDUC12R,NJ,Northeast,Middle Atlantic,Some college,31,48,50
Education,EDUC12R,NJ,Northeast,Middle Atlantic,College graduate,33,55,41
Education,EDUC12R,NJ,Northeast,Middle Atlantic,Postgraduate,24,67,29
Are you a college graduate?,EDUCCOLL,NJ,Northeast,Middle Atlantic,Yes,57,60,36
Are you a college graduate?,EDUCCOLL,NJ,Northeast,Middle Atlantic,No,43,48,50
Education and race,EDUCWHITE,NJ,Northeast,Middle Atlantic,White college graduates,41,52,44
Education and race,EDUCWHITE,NJ,Northeast,Middle Atlantic,Whites no degree,27,26,70
Education and race,EDUCWHITE,NJ,Northeast,Middle Atlantic,Non-whites college grads,17,81,16
Education and race,EDUCWHITE,NJ,Northeast,Middle Atlantic,Non-whites no degree,16,83,17
Education among whites by sex,EDUCWHITEBYSEX,NJ,Northeast,Middle Atlantic,White college-grad women,22,56,41
Education among whites by sex,EDUCWHITEBYSEX,NJ,Northeast,Middle Atlantic,White non-college women,13,28,69
Education among whites by sex,EDUCWHITEBYSEX,NJ,Northeast,Middle Atlantic,White college-grad men,18,47,48
Education among whites by sex,EDUCWHITEBYSEX,NJ,Northeast,Middle Atlantic,White non-college men,13,24,71
Education among whites by sex,EDUCWHITEBYSEX,NJ,Northeast,Middle Atlantic,Non-whites,33,82,16
Income,INCOME16GEN,NJ,Northeast,Middle Atlantic,"Under $30,000",9,N/A,N/A
Income,INCOME16GEN,NJ,Northeast,Middle Atlantic,"$30K-$49,999",12,67,26
Income,INCOME16GEN,NJ,Northeast,Middle Atlantic,"$50K-$99,999",32,54,43
Income,INCOME16GEN,NJ,Northeast,Middle Atlantic,"$100K-$199,999",31,47,50
Income,INCOME16GEN,NJ,Northeast,Middle Atlantic,"$200K-$249,999",6,N/A,N/A
Income,INCOME16GEN,NJ,Northeast,Middle Atlantic,"$250,000 or more",10,58,39
Income,INCOME3,NJ,Northeast,Middle Atlantic,Under $50K,21,64,32
Income,INCOME3,NJ,Northeast,Middle Atlantic,$50K-$100K,32,54,43
Income,INCOME3,NJ,Northeast,Middle Atlantic,$100K or more,47,50,46
Income,INC50K,NJ,Northeast,Middle Atlantic,Under $50K,21,64,32
Income,INC50K,NJ,Northeast,Middle Atlantic,$50K or more,79,52,45
Income,INC100K,NJ,Northeast,Middle Atlantic,Under $100K,53,58,39
Income,INC100K,NJ,Northeast,Middle Atlantic,$100K or more,47,50,46
Party ID,PARTY,NJ,Northeast,Middle Atlantic,Democrats,43,86,12
Party ID,PARTY,NJ,Northeast,Middle Atlantic,Republicans,27,12,86
Party ID,PARTY,NJ,Northeast,Middle Atlantic,Independents,30,48,46
Party by gender,PARTYGENDER,NJ,Northeast,Middle Atlantic,Democratic men,19,83,14
Party by gender,PARTYGENDER,NJ,Northeast,Middle Atlantic,Democratic women,24,89,10
Party by gender,PARTYGENDER,NJ,Northeast,Middle Atlantic,Republican men,13,13,85
Party by gender,PARTYGENDER,NJ,Northeast,Middle Atlantic,Republican women,14,11,87
Party by gender,PARTYGENDER,NJ,Northeast,Middle Atlantic,Independent men,15,44,48
Party by gender,PARTYGENDER,NJ,Northeast,Middle Atlantic,Independent women,15,52,44
Ideology,PHIL3,NJ,Northeast,Middle Atlantic,Liberal,28,84,13
Ideology,PHIL3,NJ,Northeast,Middle Atlantic,Moderate,49,56,40
Ideology,PHIL3,NJ,Northeast,Middle Atlantic,Conservative,23,17,81
Marital status,MARRIED,NJ,Northeast,Middle Atlantic,Married,61,51,47
Marital status,MARRIED,NJ,Northeast,Middle Atlantic,Unmarried,39,60,35
Marital status by gender,SEXWED,NJ,Northeast,Middle Atlantic,Married men,29,51,46
Marital status by gender,SEXWED,NJ,Northeast,Middle Atlantic,Married women,32,50,48
Marital status by gender,SEXWED,NJ,Northeast,Middle Atlantic,Unmarried men,18,52,42
Marital status by gender,SEXWED,NJ,Northeast,Middle Atlantic,Unmarried women,20,66,29
Union household?,UNIONHH12,NJ,Northeast,Middle Atlantic,Yes,28,58,38
Union household?,UNIONHH12,NJ,Northeast,Middle Atlantic,No,72,51,45
When did you decide presidential vote?,TIME16,NJ,Northeast,Middle Atlantic,Last few days,12,52,38
When did you decide presidential vote?,TIME16,NJ,Northeast,Middle Atlantic,Last week,5,N/A,N/A
When did you decide presidential vote?,TIME16,NJ,Northeast,Middle Atlantic,In October,9,N/A,N/A
When did you decide presidential vote?,TIME16,NJ,Northeast,Middle Atlantic,In September,7,N/A,N/A
When did you decide presidential vote?,TIME16,NJ,Northeast,Middle Atlantic,Before September,67,55,43
When did you decide presidential vote?,TIME16WEEK,NJ,Northeast,Middle Atlantic,In the last week,16,49,42
When did you decide presidential vote?,TIME16WEEK,NJ,Northeast,Middle Atlantic,Before that,83,55,43
When did you decide presidential vote?,TIME16MONTH,NJ,Northeast,Middle Atlantic,In the last month,25,50,42
When did you decide presidential vote?,TIME16MONTH,NJ,Northeast,Middle Atlantic,Before that,74,55,43
Opinion of presidential candidate you voted for,DESCRIBP12,NJ,Northeast,Middle Atlantic,Strongly favor ,50,58,40
Opinion of presidential candidate you voted for,DESCRIBP12,NJ,Northeast,Middle Atlantic,Have reservations,30,55,42
