question,pollname,state,region,subregion,answer,percent,dem,rep
Gender,SEX,NM,West,Mountain,Male,47,42,44
Gender,SEX,NM,West,Mountain,Female,53,54,36
Age,AGE,NM,West,Mountain,18-29,19,52,27
Age,AGE,NM,West,Mountain,30-44,26,48,38
Age,AGE,NM,West,Mountain,45-64,36,45,46
Age,AGE,NM,West,Mountain,65 and older,19,53,42
Age,AGE65,NM,West,Mountain,18-24,12,53,26
Age,AGE65,NM,West,Mountain,25-29,8,49,29
Age,AGE65,NM,West,Mountain,30-39,17,45,37
Age,AGE65,NM,West,Mountain,40-49,17,48,44
Age,AGE65,NM,West,Mountain,50-64,27,46,46
Age,AGE65,NM,West,Mountain,65 and older,19,53,42
Age,AGE45,NM,West,Mountain,18-44,45,49,34
Age,AGE45,NM,West,Mountain,45 and older,55,48,45
Race,RACE,NM,West,Mountain,White,49,42,47
Race,RACE,NM,West,Mountain,Black,1,N/A,N/A
Race,RACE,NM,West,Mountain,Latino,40,54,33
Race,RACE,NM,West,Mountain,Asian,1,N/A,N/A
Race,RACE,NM,West,Mountain,Other race,9,53,33
Race,RACE2B,NM,West,Mountain,White,49,42,47
Race,RACE2B,NM,West,Mountain,Non-white,51,55,32
Race and gender,SEXBYRACE,NM,West,Mountain,White men,24,38,48
Race and gender,SEXBYRACE,NM,West,Mountain,White women,25,45,46
Race and gender,SEXBYRACE,NM,West,Mountain,Black men,1,N/A,N/A
Race and gender,SEXBYRACE,NM,West,Mountain,Black women,0,N/A,N/A
Race and gender,SEXBYRACE,NM,West,Mountain,Latino men,17,45,39
Race and gender,SEXBYRACE,NM,West,Mountain,Latino women,23,61,28
Race and gender,SEXBYRACE,NM,West,Mountain,Others,10,54,32
Education,EDUC12R,NM,West,Mountain,High school or less,17,49,42
Education,EDUC12R,NM,West,Mountain,Some college,34,43,43
Education,EDUC12R,NM,West,Mountain,College graduate,28,47,41
Education,EDUC12R,NM,West,Mountain,Postgraduate,21,57,32
Are you a college graduate?,EDUCCOLL,NM,West,Mountain,Yes,49,51,37
Are you a college graduate?,EDUCCOLL,NM,West,Mountain,No,51,45,43
Education and race,EDUCWHITE,NM,West,Mountain,White college graduates,29,51,38
Education and race,EDUCWHITE,NM,West,Mountain,Whites no degree,21,30,60
Education and race,EDUCWHITE,NM,West,Mountain,Non-whites college grads,20,52,36
Education and race,EDUCWHITE,NM,West,Mountain,Non-whites no degree,31,56,30
Education among whites by sex,EDUCWHITEBYSEX,NM,West,Mountain,White college-grad women,14,55,37
Education among whites by sex,EDUCWHITEBYSEX,NM,West,Mountain,White non-college women,11,34,57
Education among whites by sex,EDUCWHITEBYSEX,NM,West,Mountain,White college-grad men,15,47,38
Education among whites by sex,EDUCWHITEBYSEX,NM,West,Mountain,White non-college men,10,25,64
Education among whites by sex,EDUCWHITEBYSEX,NM,West,Mountain,Non-whites,50,54,33
Income,INCOME16GEN,NM,West,Mountain,"Under $30,000",25,54,30
Income,INCOME16GEN,NM,West,Mountain,"$30K-$49,999",20,50,38
Income,INCOME16GEN,NM,West,Mountain,"$50K-$99,999",30,44,46
Income,INCOME16GEN,NM,West,Mountain,"$100K-$199,999",21,47,43
Income,INCOME16GEN,NM,West,Mountain,"$200K-$249,999",2,N/A,N/A
Income,INCOME16GEN,NM,West,Mountain,"$250,000 or more",2,N/A,N/A
Income,INCOME3,NM,West,Mountain,Under $50K,45,52,33
Income,INCOME3,NM,West,Mountain,$50K-$100K,30,44,46
Income,INCOME3,NM,West,Mountain,$100K or more,25,47,43
Income,INC50K,NM,West,Mountain,Under $50K,45,52,33
Income,INC50K,NM,West,Mountain,$50K or more,55,45,45
Income,INC100K,NM,West,Mountain,Under $100K,75,49,38
Income,INC100K,NM,West,Mountain,$100K or more,25,47,43
Party ID,PARTY,NM,West,Mountain,Democrats,41,85,8
Party ID,PARTY,NM,West,Mountain,Republicans,27,6,86
Party ID,PARTY,NM,West,Mountain,Independents,32,37,42
Party by gender,PARTYGENDER,NM,West,Mountain,Democratic men,16,82,10
Party by gender,PARTYGENDER,NM,West,Mountain,Democratic women,25,88,6
Party by gender,PARTYGENDER,NM,West,Mountain,Republican men,12,6,84
Party by gender,PARTYGENDER,NM,West,Mountain,Republican women,15,6,88
Party by gender,PARTYGENDER,NM,West,Mountain,Independent men,19,30,47
Party by gender,PARTYGENDER,NM,West,Mountain,Independent women,13,46,34
Ideology,PHIL3,NM,West,Mountain,Liberal,29,82,9
Ideology,PHIL3,NM,West,Mountain,Moderate,38,51,33
Ideology,PHIL3,NM,West,Mountain,Conservative,34,15,75
Marital status,MARRIED,NM,West,Mountain,Married,54,41,47
Marital status,MARRIED,NM,West,Mountain,Unmarried,46,57,30
Marital status by gender,SEXWED,NM,West,Mountain,Married men,26,36,52
Marital status by gender,SEXWED,NM,West,Mountain,Married women,27,45,43
Marital status by gender,SEXWED,NM,West,Mountain,Unmarried men,22,45,39
Marital status by gender,SEXWED,NM,West,Mountain,Unmarried women,24,69,21
When did you decide presidential vote?,TIME16,NM,West,Mountain,Last few days,10,40,50
When did you decide presidential vote?,TIME16,NM,West,Mountain,Last week,4,N/A,N/A
When did you decide presidential vote?,TIME16,NM,West,Mountain,In October,14,34,37
When did you decide presidential vote?,TIME16,NM,West,Mountain,In September,12,N/A,N/A
When did you decide presidential vote?,TIME16,NM,West,Mountain,Before September,58,53,39
