question,pollname,state,region,subregion,answer,percent,dem,rep
Gender,SEX,VA,South,South Atlantic,Male,47,43,52
Gender,SEX,VA,South,South Atlantic,Female,53,56,39
Age,AGE,VA,South,South Atlantic,18-29,18,54,36
Age,AGE,VA,South,South Atlantic,30-44,25,53,40
Age,AGE,VA,South,South Atlantic,45-64,41,47,50
Age,AGE,VA,South,South Atlantic,65 and older,16,45,52
Age,AGE65,VA,South,South Atlantic,18-24,9,51,38
Age,AGE65,VA,South,South Atlantic,25-29,9,57,34
Age,AGE65,VA,South,South Atlantic,30-39,16,55,37
Age,AGE65,VA,South,South Atlantic,40-49,21,51,45
Age,AGE65,VA,South,South Atlantic,50-64,30,45,52
Age,AGE65,VA,South,South Atlantic,65 and older,16,45,52
Age,AGE45,VA,South,South Atlantic,18-44,43,54,38
Age,AGE45,VA,South,South Atlantic,45 and older,57,47,51
Race,RACE,VA,South,South Atlantic,White,67,35,59
Race,RACE,VA,South,South Atlantic,Black,21,88,9
Race,RACE,VA,South,South Atlantic,Latino,6,65,30
Race,RACE,VA,South,South Atlantic,Asian,3,N/A,N/A
Race,RACE,VA,South,South Atlantic,Other race,3,N/A,N/A
Race,RACE2B,VA,South,South Atlantic,White,67,35,59
Race,RACE2B,VA,South,South Atlantic,Non-white,33,79,17
Race and gender,SEXBYRACE,VA,South,South Atlantic,White men,32,29,65
Race and gender,SEXBYRACE,VA,South,South Atlantic,White women,35,41,54
Race and gender,SEXBYRACE,VA,South,South Atlantic,Black men,9,84,13
Race and gender,SEXBYRACE,VA,South,South Atlantic,Black women,12,91,7
Race and gender,SEXBYRACE,VA,South,South Atlantic,Latino men,3,N/A,N/A
Race and gender,SEXBYRACE,VA,South,South Atlantic,Latino women,3,N/A,N/A
Race and gender,SEXBYRACE,VA,South,South Atlantic,Others,6,62,30
Education,EDUC12R,VA,South,South Atlantic,High school or less,14,44,52
Education,EDUC12R,VA,South,South Atlantic,Some college,31,44,51
Education,EDUC12R,VA,South,South Atlantic,College graduate,31,51,44
Education,EDUC12R,VA,South,South Atlantic,Postgraduate,23,61,33
Are you a college graduate?,EDUCCOLL,VA,South,South Atlantic,Yes,54,55,39
Are you a college graduate?,EDUCCOLL,VA,South,South Atlantic,No,46,44,51
Education and race,EDUCWHITE,VA,South,South Atlantic,White college graduates,38,45,49
Education and race,EDUCWHITE,VA,South,South Atlantic,Whites no degree,29,24,71
Education and race,EDUCWHITE,VA,South,South Atlantic,Non-whites college grads,16,78,17
Education and race,EDUCWHITE,VA,South,South Atlantic,Non-whites no degree,16,81,16
Education among whites by sex,EDUCWHITEBYSEX,VA,South,South Atlantic,White college-grad women,21,50,44
Education among whites by sex,EDUCWHITEBYSEX,VA,South,South Atlantic,White non-college women,15,29,66
Education among whites by sex,EDUCWHITEBYSEX,VA,South,South Atlantic,White college-grad men,17,40,54
Education among whites by sex,EDUCWHITEBYSEX,VA,South,South Atlantic,White non-college men,15,19,75
